id;translation_key;locale;text_value
v374-001-en;settings.whatsapp;en-US;WhatsApp Integration
v374-001-ar;settings.whatsapp;ar-EG;تكامل واتساب
v374-002-en;settings.whatsappHint;en-US;Configure WhatsApp Cloud API for outbound notifications
v374-002-ar;settings.whatsappHint;ar-EG;إعداد واجهة برمجة واتساب للإشعارات الصادرة
v374-003-en;settings.whatsappProvider;en-US;Provider
v374-003-ar;settings.whatsappProvider;ar-EG;مزوّد الخدمة
v374-004-en;settings.whatsappConfigured;en-US;Configured
v374-004-ar;settings.whatsappConfigured;ar-EG;مُعدّ
v374-005-en;settings.whatsappNotConfigured;en-US;Not Configured
v374-005-ar;settings.whatsappNotConfigured;ar-EG;غير مُعدّ
v374-006-en;settings.whatsappTestSend;en-US;Test Send
v374-006-ar;settings.whatsappTestSend;ar-EG;إرسال تجريبي
v374-007-en;settings.whatsappTestPhone;en-US;Phone Number
v374-007-ar;settings.whatsappTestPhone;ar-EG;رقم الهاتف
v374-008-en;settings.whatsappTemplates;en-US;Template Mappings
v374-008-ar;settings.whatsappTemplates;ar-EG;قوالب الرسائل
v374-009-en;settings.whatsappLogTitle;en-US;Outbound Message Log
v374-009-ar;settings.whatsappLogTitle;ar-EG;سجل الرسائل الصادرة
v374-010-en;settings.whatsappResendFailed;en-US;Resend Failed
v374-010-ar;settings.whatsappResendFailed;ar-EG;إعادة إرسال الفاشلة
v374-011-en;settings.whatsappRetryAll;en-US;Retry All Failed
v374-011-ar;settings.whatsappRetryAll;ar-EG;إعادة محاولة الكل الفاشل
v374-012-en;settings.whatsappConsent;en-US;WhatsApp Consent
v374-012-ar;settings.whatsappConsent;ar-EG;موافقة واتساب
v374-013-en;settings.whatsappConsentHint;en-US;Allow sending WhatsApp messages to this contact
v374-013-ar;settings.whatsappConsentHint;ar-EG;السماح بإرسال رسائل واتساب لهذاجهة الاتصال
v374-014-en;settings.whatsappNoConsent;en-US;No consent — messages will not be sent
v374-014-ar;settings.whatsappNoConsent;ar-EG;لا موافقة — لن يتم إرسال الرسائل
v374-015-en;settings.whatsappProviderOff;en-US;WhatsApp provider is not configured
v374-015-ar;settings.whatsappProviderOff;ar-EG;مزوّد واتساب غير مُعدّ
