id;translation_key;locale;text_value
v250-001-en;smartImport.backLink;en-US;Attendance imports
v250-002-ar;smartImport.backLink;ar-EG;استيراد الحضور
v250-003-en;smartImport.title;en-US;Smart Import Center
v250-004-ar;smartImport.title;ar-EG;مركز الاستيراد الذكي
v250-005-en;smartImport.description;en-US;Excel/CSV onboarding, validation and controlled commit workflows.
v250-006-ar;smartImport.description;ar-EG;استيراد Excel/CSV مع التحقق والمعاينة والحفظ المنضبط.
v250-007-en;smartImport.allWorkflows;en-US;All workflows
v250-008-ar;smartImport.allWorkflows;ar-EG;كل المسارات
v250-009-en;smartImport.domainCommitWired;en-US;Domain commit wired
v250-010-ar;smartImport.domainCommitWired;ar-EG;الحفظ الفعلي مربوط
v250-011-en;smartImport.validationReady;en-US;Validation/template ready
v250-012-ar;smartImport.validationReady;ar-EG;القالب والتحقق جاهزان
v250-013-en;smartImport.step1;en-US;Template
v250-014-ar;smartImport.step1;ar-EG;القالب
v250-015-en;smartImport.step2;en-US;Upload
v250-016-ar;smartImport.step2;ar-EG;الرفع
v250-017-en;smartImport.step3;en-US;Preview & edit
v250-018-ar;smartImport.step3;ar-EG;المعاينة والتعديل
v250-019-en;smartImport.step4;en-US;Validate & commit
v250-020-ar;smartImport.step4;ar-EG;التحقق والحفظ
v250-021-en;smartImport.step5;en-US;Result / errors
v250-022-ar;smartImport.step5;ar-EG;النتيجة / الأخطاء
v250-023-en;smartImport.downloadWorkbookTitle;en-US;1. Download the controlled workbook
v250-024-ar;smartImport.downloadWorkbookTitle;ar-EG;1. تنزيل ملف العمل المنضبط
v250-025-en;smartImport.downloadWorkbookHint;en-US;English and Arabic column headers are accepted during upload.
v250-026-ar;smartImport.downloadWorkbookHint;ar-EG;يتم قبول عناوين الأعمدة الإنجليزية والعربية عند الرفع.
v250-027-en;smartImport.includeSample;en-US;Include sample row
v250-028-ar;smartImport.includeSample;ar-EG;إضافة صف مثال
v250-029-en;smartImport.downloadTemplate;en-US;Download XLSX template
v250-030-ar;smartImport.downloadTemplate;ar-EG;تنزيل قالب XLSX
v250-031-en;smartImport.uploadTitle;en-US;2. Upload XLSX / XLS / CSV
v250-032-ar;smartImport.uploadTitle;ar-EG;2. رفع XLSX / XLS / CSV
v250-033-en;smartImport.chooseFile;en-US;Choose file
v250-034-ar;smartImport.chooseFile;ar-EG;اختيار ملف
v250-035-en;smartImport.dragAndDrop;en-US;or drag and drop here
v250-036-ar;smartImport.dragAndDrop;ar-EG;أو اسحب الملف إلى هنا
v250-037-en;smartImport.parsePreview;en-US;Parse & preview
v250-038-ar;smartImport.parsePreview;ar-EG;تحليل ومعاينة
v250-039-en;smartImport.clear;en-US;Clear
v250-040-ar;smartImport.clear;ar-EG;مسح
v250-041-en;smartImport.gridTitle;en-US;3. Pre-commit validation grid
v250-042-ar;smartImport.gridTitle;ar-EG;3. جدول التحقق قبل الحفظ
v250-043-en;smartImport.rows;en-US;Rows
v250-044-ar;smartImport.rows;ar-EG;الصفوف
v250-045-en;smartImport.valid;en-US;Valid
v250-046-ar;smartImport.valid;ar-EG;صحيح
v250-047-en;smartImport.withErrors;en-US;With errors
v250-048-ar;smartImport.withErrors;ar-EG;به أخطاء
v250-049-en;smartImport.skipInvalid;en-US;Skip invalid rows instead of strict all-or-nothing
v250-050-ar;smartImport.skipInvalid;ar-EG;تخطي الصفوف غير الصحيحة بدل الإيقاف الكامل
v250-051-en;smartImport.revalidateCommit;en-US;Revalidate & commit
v250-052-ar;smartImport.revalidateCommit;ar-EG;إعادة التحقق والحفظ
v250-053-en;smartImport.strictBlockedHint;en-US;Strict mode is blocked until all validation errors are corrected.
v250-054-ar;smartImport.strictBlockedHint;ar-EG;الوضع الصارم متوقف حتى يتم تصحيح كل أخطاء التحقق.
v250-055-en;smartImport.resultTitle;en-US;5. Import result
v250-056-ar;smartImport.resultTitle;ar-EG;5. نتيجة الاستيراد
v250-057-en;smartImport.status;en-US;Status
v250-058-ar;smartImport.status;ar-EG;الحالة
v250-059-en;smartImport.committed;en-US;Committed
v250-060-ar;smartImport.committed;ar-EG;تم حفظه
v250-061-en;smartImport.rejected;en-US;Rejected
v250-062-ar;smartImport.rejected;ar-EG;مرفوض
v250-063-en;smartImport.downloadRejected;en-US;Download annotated rejected rows
v250-064-ar;smartImport.downloadRejected;ar-EG;تنزيل الصفوف المرفوضة مع تعليقات الأخطاء
