id;key;locale;text
v268-001-ar;approvals.engineEyebrow;ar-EG;مُحرك الاعتمادات المتعددة
v268-001-en;approvals.engineEyebrow;en-US;Multi-approval engine
v268-002-ar;approvals.engineHeading;ar-EG;مسارات الاعتماد وتحديد الصلاحيات
v268-002-en;approvals.engineHeading;en-US;Approval paths and permissions
v268-003-ar;approvals.engineDescription;ar-EG;تحديد وإدارة خطوات الاعتماد لكل نوع مستند داخل النظام.
v268-003-en;approvals.engineDescription;en-US;Define and manage approval steps for each document type inside the system.
v268-004-ar;approvals.createNewPath;ar-EG;＋ إنشاء مسار جديد
v268-004-en;approvals.createNewPath;en-US;+ Create new path
v268-005-ar;approvals.loadingPaths;ar-EG;جارٍ تحميل مسارات الاعتماد…
v268-005-en;approvals.loadingPaths;en-US;Loading approval paths…
v268-006-ar;approvals.colDocument;ar-EG;المستند
v268-006-en;approvals.colDocument;en-US;Document
v268-007-ar;approvals.colPathName;ar-EG;اسم المسار
v268-007-en;approvals.colPathName;en-US;Path name
v268-008-ar;approvals.colStepCount;ar-EG;عدد الخطوات
v268-008-en;approvals.colStepCount;en-US;Step count
v268-009-ar;approvals.colVersion;ar-EG;الإصدار
v268-009-en;approvals.colVersion;en-US;Version
v268-010-ar;approvals.colStatus;ar-EG;الحالة
v268-010-en;approvals.colStatus;en-US;Status
v268-011-ar;approvals.colLastUpdated;ar-EG;تاريخ التحديث
v268-011-en;approvals.colLastUpdated;en-US;Last updated
v268-012-ar;approvals.colActions;ar-EG;الإجراءات
v268-012-en;approvals.colActions;en-US;Actions
v268-013-ar;approvals.stepsSuffix;ar-EG;خطوات
v268-013-en;approvals.stepsSuffix;en-US;steps
v268-014-ar;approvals.editSteps;ar-EG;✏ تعديل الخطوات
v268-014-en;approvals.editSteps;en-US;✏ Edit steps
v268-015-ar;approvals.noPathsYet;ar-EG;لا توجد مسارات اعتماد معرفة حتى الآن.
v268-015-en;approvals.noPathsYet;en-US;No approval paths defined yet.
v268-016-ar;approvals.docTypeLabel;ar-EG;نوع المستند
v268-016-en;approvals.docTypeLabel;en-US;Document type
v268-017-ar;approvals.docTypePO;ar-EG;أمر شراء (PURCHASE_ORDER)
v268-017-en;approvals.docTypePO;en-US;Purchase order (PURCHASE_ORDER)
