id;key;locale;value
v450-ar-001;workspace.aiIntelligence;ar-EG;الذكاء الاصطناعي وتحليل البيانات
v450-en-001;workspace.aiIntelligence;en-US;AI Intelligence & Analytics
v450-ar-002;nav.aiIntelligence;ar-EG;مركز الذكاء والمساعد
v450-en-002;nav.aiIntelligence;en-US;AI & Analytics Center
v450-ar-003;nav.aiIntelligenceHint;ar-EG;التنبؤ بالتدفق النقدي، كشف شذوذ المصروفات، وتصنيف مخاطر التحصيل
v450-en-003;nav.aiIntelligenceHint;en-US;Cash flow forecast, expense anomalies, and collections risk scoring
v450-ar-004;ai.title;ar-EG;مركز الذكاء الاصطناعي والمساعد التحليلي
v450-en-004;ai.title;en-US;AI Intelligence & Analytics Center
v450-ar-005;ai.subtitle;ar-EG;نماذج تنبؤية لمساندة القرار، كشف الشذوذ المالي، والإجابة عن الاستفسارات باللغة الطبيعية
v450-en-005;ai.subtitle;en-US;Decision-support predictive models, expense anomaly detection, and natural language analytics
v450-ar-006;ai.tabCashFlow;ar-EG;توقعات التدفق النقدي
v450-en-006;ai.tabCashFlow;en-US;Cash Flow Forecast
v450-ar-007;ai.tabAnomalies;ar-EG;شذوذ المصروفات
v450-en-007;ai.tabAnomalies;en-US;Expense Anomalies
v450-ar-008;ai.tabDemand;ar-EG;توقعات الطلب والمخزون
v450-en-008;ai.tabDemand;en-US;Inventory Demand
v450-ar-009;ai.tabCollections;ar-EG;مخاطر تحصيل العملاء
v450-en-009;ai.tabCollections;en-US;Collections Risk
v450-ar-010;ai.tabNlQuery;ar-EG;المساعد الذكي (NL Q&A)
v450-en-010;ai.tabNlQuery;en-US;AI Assistant (NL Q&A)
v450-ar-011;ai.inflow;ar-EG;التدفقات الداخلة المتوقعة
v450-en-011;ai.inflow;en-US;Projected Inflow
v450-ar-012;ai.outflow;ar-EG;التدفقات الخارجة المتوقعة
v450-en-012;ai.outflow;en-US;Projected Outflow
v450-ar-013;ai.netCash;ar-EG;صافي النقد المتوقع
v450-en-013;ai.netCash;en-US;Projected Net Cash
v450-ar-014;ai.confidenceBand;ar-EG;نطاق الثقة (الحد الأدنى - الحد الأقصى)
v450-en-014;ai.confidenceBand;en-US;Confidence Band (Min - Max)
v450-ar-015;ai.anomalyVendor;ar-EG;المورد / الطرف
v450-en-015;ai.anomalyVendor;en-US;Vendor / Party
v450-ar-016;ai.anomalyZScore;ar-EG;مؤشر الانحراف (Z-Score)
v450-en-016;ai.anomalyZScore;en-US;Deviation Score (Z-Score)
v450-ar-017;ai.anomalyMean;ar-EG;المتوسط التاريخي (6 أشهر)
v450-en-017;ai.anomalyMean;en-US;Rolling 6-Month Mean
v450-ar-018;ai.suggestedReorder;ar-EG;كمية إعادة الطلب المقترحة
v450-en-018;ai.suggestedReorder;en-US;Suggested Reorder Qty
v450-ar-019;ai.leadTimeDays;ar-EG;فترة التوريد (أيام)
v450-en-019;ai.leadTimeDays;en-US;Lead Time (Days)
v450-ar-020;ai.collectionsScore;ar-EG;تقييم سلوك السداد
v450-en-020;ai.collectionsScore;en-US;Payment Behavior Score
v450-ar-021;ai.riskBand;ar-EG;فئة المخاطر (A/B/C)
v450-en-021;ai.riskBand;en-US;Risk Band (A/B/C)
v450-ar-022;ai.avgDaysLate;ar-EG;متوسط التأخير (أيام)
v450-en-022;ai.avgDaysLate;en-US;Avg Days Overdue
v450-ar-023;ai.askPrompt;ar-EG;اطرح سؤالاً عن المبيعات أو المخزون أو المصروفات...
v450-en-023;ai.askPrompt;en-US;Ask a question about sales, inventory, or expenses...
v450-ar-024;ai.runQuery;ar-EG;تحليل واستفسار
v450-en-024;ai.runQuery;en-US;Analyze & Query
v450-ar-025;ai.citedFilters;ar-EG;المعايير المطبقة في الإجابة
v450-en-025;ai.citedFilters;en-US;Cited Filters & Context
v450-ar-026;ANALYTICS_NOT_ENOUGH_DATA;ar-EG;البيانات التاريخية غير كافية لإنشاء التوقعات (مطلوب 3 أشهر على الأقل).
v450-en-026;ANALYTICS_NOT_ENOUGH_DATA;en-US;Insufficient historical data for forecasting (at least 3 months required).
v450-ar-027;ANALYTICS_QUERY_INVALID;ar-EG;استعلام التحليل غير صالح أو يحتوي على معايير غير مصرح بها.
v450-en-027;ANALYTICS_QUERY_INVALID;en-US;Analytics query is invalid or contains unauthorized fields.
v450-ar-028;ANALYTICS_DATASET_NOT_FOUND;ar-EG;مجموعة البيانات المطلوبة غير موجودة في سجل النماذج.
v450-en-028;ANALYTICS_DATASET_NOT_FOUND;en-US;Requested dataset was not found in model registry.
v450-ar-029;ANALYTICS_FEATURE_DISABLED;ar-EG;ميزة المساعد الذكي غير مفعلة لهذا الحساب.
v450-en-029;ANALYTICS_FEATURE_DISABLED;en-US;AI Assistant feature is disabled for this account.
v450-ar-030;common.balance;ar-EG;الرصيد القائم
v450-en-030;common.balance;en-US;Balance
v450-ar-031;common.months;ar-EG;أشهر
v450-en-031;common.months;en-US;months

