id;key;locale;text
v177-001;risk.tab;en-US;Partner risk
v177-002;risk.tab;ar-EG;مخاطر الشركاء
v177-003;risk.title;en-US;Supplier and contractor scores
v177-004;risk.title;ar-EG;درجات الموردين والمقاولين
v177-005;risk.description;en-US;Transparent evidence-based scores with direct remediation
v177-006;risk.description;ar-EG;درجات شفافة مبنية على الأدلة مع معالجة مباشرة
v177-007;risk.refresh;en-US;Refresh score evidence
v177-008;risk.refresh;ar-EG;تحديث دليل الدرجات
v177-009;risk.refreshed;en-US;Risk score snapshots refreshed
v177-010;risk.refreshed;ar-EG;تم تحديث لقطات درجات المخاطر
v177-011;risk.ruleSaved;en-US;Risk thresholds saved
v177-012;risk.ruleSaved;ar-EG;تم حفظ حدود المخاطر
v177-013;risk.thresholds;en-US;Risk band thresholds
v177-014;risk.thresholds;ar-EG;حدود فئات المخاطر
v177-015;risk.lowMinimum;en-US;Low risk minimum
v177-016;risk.lowMinimum;ar-EG;الحد الأدنى للمخاطر المنخفضة
v177-017;risk.mediumMinimum;en-US;Medium risk minimum
v177-018;risk.mediumMinimum;ar-EG;الحد الأدنى للمخاطر المتوسطة
v177-019;risk.highMinimum;en-US;High risk minimum
v177-020;risk.highMinimum;ar-EG;الحد الأدنى للمخاطر المرتفعة
v177-021;risk.supplier;en-US;Supplier
v177-022;risk.supplier;ar-EG;مورد
v177-023;risk.contractor;en-US;Contractor
v177-024;risk.contractor;ar-EG;مقاول
v177-025;risk.band.low;en-US;Low risk
v177-026;risk.band.low;ar-EG;مخاطر منخفضة
v177-027;risk.band.medium;en-US;Medium risk
v177-028;risk.band.medium;ar-EG;مخاطر متوسطة
v177-029;risk.band.high;en-US;High risk
v177-030;risk.band.high;ar-EG;مخاطر مرتفعة
v177-031;risk.band.critical;en-US;Critical risk
v177-032;risk.band.critical;ar-EG;مخاطر حرجة
v177-033;risk.fix;en-US;Fix evidence
v177-034;risk.fix;ar-EG;معالجة الدليل
v177-035;risk.empty;en-US;No suppliers or contractors are available
v177-036;risk.empty;ar-EG;لا يوجد موردون أو مقاولون
v177-037;risk.lifecycle;en-US;Active lifecycle
v177-038;risk.lifecycle;ar-EG;دورة حياة نشطة
v177-039;risk.compliance;en-US;Mandatory compliance documents
v177-040;risk.compliance;ar-EG;مستندات الامتثال الإلزامية
v177-041;risk.bank;en-US;Verified bank account
v177-042;risk.bank;ar-EG;حساب بنكي موثق
v177-043;risk.profile;en-US;Profile completeness
v177-044;risk.profile;ar-EG;اكتمال الملف
v177-045;risk.declared;en-US;Declared risk assessment
v177-046;risk.declared;ar-EG;تقييم المخاطر المعلن
v177-047;risk.workers;en-US;Active worker coverage
v177-048;risk.workers;ar-EG;تغطية العمال النشطين
v177-049;risk.settlements;en-US;Paid settlement performance
v177-050;risk.settlements;ar-EG;أداء التسويات المدفوعة
v177-051;risk.quality;en-US;Settlement issue quality
v177-052;risk.quality;ar-EG;جودة مشكلات التسوية
v177-053;PARTNER_RISK_SNAPSHOT_INVALID;en-US;The partner risk score evidence is invalid.
v177-054;PARTNER_RISK_SNAPSHOT_INVALID;ar-EG;دليل درجة مخاطر الشريك غير صالح.
v177-055;PARTNER_RISK_THRESHOLDS_INVALID;en-US;Risk thresholds must be strictly descending and between 1 and 100.
v177-056;PARTNER_RISK_THRESHOLDS_INVALID;ar-EG;يجب أن تكون حدود المخاطر تنازلية بصرامة وبين 1 و100.
