id;translation_key;locale;text_value
v273-001;dpr.title;ar-EG;تقارير الموقع اليومية (DPR)
v273-002;dpr.title;en-US;Daily Site Progress Reports (DPR)
v273-003;dpr.subtitle;ar-EG;توثيق الأعمال المنفذة وموارد العمالة والمعدات والمواد والملاحظات الفنية
v273-004;dpr.subtitle;en-US;Record daily progress, manpower headcount, equipment utilization, and materials
v273-005;dpr.createReport;ar-EG;تقرير يومي جديد
v273-006;dpr.createReport;en-US;New Daily Report
v273-007;dpr.copyPreviousDay;ar-EG;نسخ من اليوم السابق
v273-008;dpr.copyPreviousDay;en-US;Copy Previous Day
v273-009;dpr.reportNumber;ar-EG;رقم التقرير
v273-010;dpr.reportNumber;en-US;Report Number
v273-011;dpr.reportDate;ar-EG;تاريخ التقرير
v273-012;dpr.reportDate;en-US;Report Date
v273-013;dpr.shift;ar-EG;الوردية
v273-014;dpr.shift;en-US;Shift
v273-015;dpr.shiftDay;ar-EG;وردية نهارية (صباحية)
v273-016;dpr.shiftDay;en-US;Day Shift
v273-017;dpr.shiftNight;ar-EG;وردية ليلية
v273-018;dpr.shiftNight;en-US;Night Shift
v273-019;dpr.shiftFullDay;ar-EG;يوم كامل (24 ساعة)
v273-020;dpr.shiftFullDay;en-US;Full Day
v273-021;dpr.weather;ar-EG;حالة الطقس
v273-022;dpr.weather;en-US;Weather Condition
v273-023;dpr.weatherSunny;ar-EG;مشمس / صافٍ
v273-024;dpr.weatherSunny;en-US;Sunny / Clear
v273-025;dpr.weatherRainy;ar-EG;ممطر
v273-026;dpr.weatherRainy;en-US;Rainy
v273-027;dpr.weatherWindy;ar-EG;رياح شديدة
v273-028;dpr.weatherWindy;en-US;Windy
v273-029;dpr.weatherHot;ar-EG;شديد الحرارة
v273-030;dpr.weatherHot;en-US;Hot
v273-031;dpr.weatherDusty;ar-EG;غبار وأتربة
v273-032;dpr.weatherDusty;en-US;Dusty
v273-033;dpr.weatherStormy;ar-EG;عاصف
v273-034;dpr.weatherStormy;en-US;Stormy
v273-035;dpr.temperature;ar-EG;درجة الحرارة (م°)
v273-036;dpr.temperature;en-US;Temperature (°C)
v273-037;dpr.statusDraft;ar-EG;مسودة
v273-038;dpr.statusDraft;en-US;Draft
v273-039;dpr.statusSubmitted;ar-EG;مقدم للاعتماد
v273-040;dpr.statusSubmitted;en-US;Submitted
v273-041;dpr.statusApproved;ar-EG;معتمد
v273-042;dpr.statusApproved;en-US;Approved
v273-043;dpr.statusReopened;ar-EG;معاد فتحه
v273-044;dpr.statusReopened;en-US;Reopened
v273-045;dpr.totalWorkforce;ar-EG;إجمالي العمالة
v273-046;dpr.totalWorkforce;en-US;Total Workforce
v273-047;dpr.totalEquipment;ar-EG;إجمالي المعدات
v273-048;dpr.totalEquipment;en-US;Total Equipment
v273-049;dpr.generalNotes;ar-EG;الملاحظات وسير العمل العام
v273-050;dpr.generalNotes;en-US;General Operations & Notes
v273-051;dpr.generalNotesPlaceholder;ar-EG;اكتب ملخصاً عاماً للأعمال التي تمت في الموقع اليوم...
v273-052;dpr.generalNotesPlaceholder;en-US;Enter a summary of operations executed today...
v273-053;dpr.blockers;ar-EG;معوقات ومشاكل الموقع
v273-054;dpr.blockers;en-US;Site Blockers & Delays
v273-055;dpr.blockersPlaceholder;ar-EG;سجل أي عوائق أو تأخيرات في استلام الأعمال أو نقص التوريدات...
v273-056;dpr.blockersPlaceholder;en-US;Record any site blockers, consultant delays, or material shortages...
v273-057;dpr.safety;ar-EG;ملاحظات السلامة والصحة المهنية (HSE)
v273-058;dpr.safety;en-US;HSE & Safety Observations
