id;translation_key;locale;text_value
v100-ar-001;roles.access.superAdmin;ar-EG;مدير النظام الأعلى
v100-en-001;roles.access.superAdmin;en-US;Super Admin
v100-ar-002;roles.access.superAdmin.description;ar-EG;تحكم كامل في المنصة: المستخدمون والإعدادات وجميع الوحدات والتدقيق.
v100-en-002;roles.access.superAdmin.description;en-US;Full platform control: users, settings, all modules, audit.
v100-ar-003;role.superAdminHint;ar-EG;تحكم كامل في المنصة: المستخدمون والإعدادات وجميع الوحدات والتدقيق.
v100-en-003;role.superAdminHint;en-US;Full platform control: users, settings, all modules, audit.
v100-ar-004;roles.access.admin;ar-EG;مدير النظام
v100-en-004;roles.access.admin;en-US;Admin
v100-ar-005;roles.access.admin.description;ar-EG;مدير المنصة بصلاحيات كاملة.
v100-en-005;roles.access.admin.description;en-US;Platform administrator with full access.
v100-ar-006;roles.access.hrManager;ar-EG;مدير الموارد البشرية
v100-en-006;roles.access.hrManager;en-US;HR Manager
v100-ar-007;roles.access.hrManager.description;ar-EG;إدارة الموظفين والفئات والتقارير واعتماد سير العمل.
v100-en-007;roles.access.hrManager.description;en-US;Manages employees, categories, reports and approves HR workflows.
v100-ar-008;roles.access.hrReviewer;ar-EG;مراجع الموارد البشرية
v100-en-008;roles.access.hrReviewer;en-US;HR Reviewer
v100-ar-009;roles.access.hrReviewer.description;ar-EG;مراجعة واعتماد قرارات الموارد البشرية والحضور.
v100-en-009;roles.access.hrReviewer.description;en-US;Reviews and approves HR decisions and attendance.
v100-ar-010;roles.access.viewer;ar-EG;عارض
v100-en-010;roles.access.viewer;en-US;Viewer
v100-ar-011;roles.access.viewer.description;ar-EG;وصول للقراءة فقط عبر جميع الوحدات.
v100-en-011;roles.access.viewer.description;en-US;Read-only access across all modules.
v100-ar-012;roles.access.financeManager;ar-EG;مدير مالية
v100-en-012;roles.access.financeManager;en-US;Finance Manager
v100-ar-013;roles.access.financeManager.description;ar-EG;مسؤول عن اليومية والمدفوعات واعتمادات المالية.
v100-en-013;roles.access.financeManager.description;en-US;Owns journal, payments and finance approvals.
v100-ar-014;role.financeManager;ar-EG;مدير مالية
v100-en-014;role.financeManager;en-US;Finance Manager
v100-ar-015;role.financeManagerHint;ar-EG;مسؤول عن اليومية والمدفوعات واعتمادات المالية.
v100-en-015;role.financeManagerHint;en-US;Owns journal, payments and finance approvals.
v100-ar-016;roles.access.accountant;ar-EG;محاسب
v100-en-016;roles.access.accountant;en-US;Accountant
v100-ar-017;roles.access.accountant.description;ar-EG;إنشاء وترحيل قيود اليومية وإدارة المدفوعات.
v100-en-017;roles.access.accountant.description;en-US;Creates and posts journal entries and manages payments.
v100-ar-018;role.accountant;ar-EG;محاسب
v100-en-018;role.accountant;en-US;Accountant
v100-ar-019;role.accountantHint;ar-EG;إنشاء وترحيل قيود اليومية وإدارة المدفوعات.
v100-en-019;role.accountantHint;en-US;Creates and posts journal entries and manages payments.
v100-ar-020;roles.access.treasuryUser;ar-EG;مستخدم الخزينة
v100-en-020;roles.access.treasuryUser;en-US;Treasury User
v100-ar-021;roles.access.treasuryUser.description;ar-EG;إدارة النقدية وحركات اليومية.
v100-en-021;roles.access.treasuryUser.description;en-US;Manages cash and journal transactions.
v100-ar-022;role.treasuryUser;ar-EG;مستخدم الخزينة
v100-en-022;role.treasuryUser;en-US;Treasury User
v100-ar-023;role.treasuryUserHint;ar-EG;إدارة النقدية وحركات اليومية.
v100-en-023;role.treasuryUserHint;en-US;Manages cash and journal transactions.
v100-ar-024;roles.access.procurementManager;ar-EG;مدير مشتريات
v100-en-024;roles.access.procurementManager;en-US;Procurement Manager
v100-ar-025;roles.access.procurementManager.description;ar-EG;إدارة أوامر الشراء والإيصالات واعتماد المدفوعات.
v100-en-025;roles.access.procurementManager.description;en-US;Manages purchase orders, receipts and payments approval.
v100-ar-026;role.procurementManager;ar-EG;مدير مشتريات
v100-en-026;role.procurementManager;en-US;Procurement Manager
v100-ar-027;role.procurementManagerHint;ar-EG;إدارة أوامر الشراء والإيصالات واعتماد المدفوعات.
v100-en-027;role.procurementManagerHint;en-US;Manages purchase orders, receipts and payments approval.
v100-ar-028;roles.access.procurementUser;ar-EG;مستخدم مشتريات
v100-en-028;roles.access.procurementUser;en-US;Procurement User
v100-ar-029;roles.access.procurementUser.description;ar-EG;عرض أوامر الشراء والمخزون.
v100-en-029;roles.access.procurementUser.description;en-US;Views purchase orders and inventory.
v100-ar-030;role.procurementUser;ar-EG;مستخدم مشتريات
v100-en-030;role.procurementUser;en-US;Procurement User
v100-ar-031;role.procurementUserHint;ar-EG;عرض أوامر الشراء والمخزون.
v100-en-031;role.procurementUserHint;en-US;Views purchase orders and inventory.
v100-ar-032;roles.access.salesManager;ar-EG;مدير مبيعات
v100-en-032;roles.access.salesManager;en-US;Sales Manager
v100-ar-033;roles.access.salesManager.description;ar-EG;إدارة أوامر المبيعات والعملاء.
v100-en-033;roles.access.salesManager.description;en-US;Manages sales orders and customers.
v100-ar-034;role.salesManager;ar-EG;مدير مبيعات
v100-en-034;role.salesManager;en-US;Sales Manager
v100-ar-035;role.salesManagerHint;ar-EG;إدارة أوامر المبيعات والعملاء.
v100-en-035;role.salesManagerHint;en-US;Manages sales orders and customers.
v100-ar-036;roles.access.inventoryManager;ar-EG;مدير مخزون
v100-en-036;roles.access.inventoryManager;en-US;Inventory Manager
v100-ar-037;roles.access.inventoryManager.description;ar-EG;إدارة المخزون وحركاته.
v100-en-037;roles.access.inventoryManager.description;en-US;Manages inventory and stock movements.
v100-ar-038;role.inventoryManager;ar-EG;مدير مخزون
v100-en-038;role.inventoryManager;en-US;Inventory Manager
v100-ar-039;role.inventoryManagerHint;ar-EG;إدارة المخزون وحركاته.
v100-en-039;role.inventoryManagerHint;en-US;Manages inventory and stock movements.
v100-ar-040;roles.access.manufacturingManager;ar-EG;مدير إنتاج
v100-en-040;roles.access.manufacturingManager;en-US;Manufacturing Manager
v100-ar-041;roles.access.manufacturingManager.description;ar-EG;إدارة أوامر الإنتاج وعرض الجودة.
v100-en-041;roles.access.manufacturingManager.description;en-US;Manages production orders and quality views.
v100-ar-042;role.manufacturingManager;ar-EG;مدير إنتاج
v100-en-042;role.manufacturingManager;en-US;Manufacturing Manager
v100-ar-043;role.manufacturingManagerHint;ar-EG;إدارة أوامر الإنتاج وعرض الجودة.
v100-en-043;role.manufacturingManagerHint;en-US;Manages production orders and quality views.
v100-ar-044;roles.access.qualityManager;ar-EG;مدير جودة
v100-en-044;roles.access.qualityManager;en-US;Quality Manager
v100-ar-045;roles.access.qualityManager.description;ar-EG;إدارة فحوصات الجودة والتفتيش.
v100-en-045;roles.access.qualityManager.description;en-US;Manages quality checks and inspections.
v100-ar-046;role.qualityManager;ar-EG;مدير جودة
v100-en-046;role.qualityManager;en-US;Quality Manager
v100-ar-047;role.qualityManagerHint;ar-EG;إدارة فحوصات الجودة والتفتيش.
v100-en-047;role.qualityManagerHint;en-US;Manages quality checks and inspections.
v100-ar-048;roles.access.payrollManager;ar-EG;مدير رواتب
v100-en-048;roles.access.payrollManager;en-US;Payroll Manager
v100-ar-049;roles.access.payrollManager.description;ar-EG;إعداد واعتماد دورات الرواتب.
v100-en-049;roles.access.payrollManager.description;en-US;Prepares and approves payroll cycles.
v100-ar-050;role.payrollManager;ar-EG;مدير رواتب
v100-en-050;role.payrollManager;en-US;Payroll Manager
v100-ar-051;role.payrollManagerHint;ar-EG;إعداد واعتماد دورات الرواتب.
v100-en-051;role.payrollManagerHint;en-US;Prepares and approves payroll cycles.
v100-ar-052;roles.access.workforceManager;ar-EG;مدير العمالة
v100-en-052;roles.access.workforceManager;en-US;Workforce Manager
v100-ar-053;roles.access.workforceManager.description;ar-EG;إدارة العمال والحضور والتسويات والسلف.
v100-en-053;roles.access.workforceManager.description;en-US;Manages workers, attendance, settlements and advances.
v100-ar-054;role.workforceManager;ar-EG;مدير العمالة
v100-en-054;role.workforceManager;en-US;Workforce Manager
v100-ar-055;role.workforceManagerHint;ar-EG;إدارة العمال والحضور والتسويات والسلف.
v100-en-055;role.workforceManagerHint;en-US;Manages workers, attendance, settlements and advances.
v100-ar-056;roles.access.workforceReviewer;ar-EG;مراجع العمالة
v100-en-056;roles.access.workforceReviewer;en-US;Workforce Reviewer
v100-ar-057;roles.access.workforceReviewer.description;ar-EG;مراجعة الحضور والاعتمادات في وحدة العمالة.
v100-en-057;roles.access.workforceReviewer.description;en-US;Reviews attendance and approvals for the workforce module.
v100-ar-058;role.workforceReviewer;ar-EG;مراجع العمالة
v100-en-058;role.workforceReviewer;en-US;Workforce Reviewer
v100-ar-059;role.workforceReviewerHint;ar-EG;مراجعة الحضور والاعتمادات في وحدة العمالة.
v100-en-059;role.workforceReviewerHint;en-US;Reviews attendance and approvals for the workforce module.
v100-ar-060;roles.access.workforceFinance;ar-EG;مالية العمالة
v100-en-060;roles.access.workforceFinance;en-US;Workforce Finance
v100-ar-061;roles.access.workforceFinance.description;ar-EG;إعداد تسويات العمالة وحسابات المقاولين.
v100-en-061;roles.access.workforceFinance.description;en-US;Prepares workforce settlements and contractor accounts.
v100-ar-062;role.workforceFinance;ar-EG;مالية العمالة
v100-en-062;role.workforceFinance;en-US;Workforce Finance
v100-ar-063;role.workforceFinanceHint;ar-EG;إعداد تسويات العمالة وحسابات المقاولين.
v100-en-063;role.workforceFinanceHint;en-US;Prepares workforce settlements and contractor accounts.
v100-ar-064;roles.access.auditor;ar-EG;مدقق
v100-en-064;roles.access.auditor;en-US;Auditor
v100-ar-065;roles.access.auditor.description;ar-EG;اطلاع للقراءة فقط على التدقيق والمالية.
v100-en-065;roles.access.auditor.description;en-US;Read-only audit and financial visibility.
v100-ar-066;role.auditor;ar-EG;مدقق
v100-en-066;role.auditor;en-US;Auditor
v100-ar-067;role.auditorHint;ar-EG;اطلاع للقراءة فقط على التدقيق والمالية.
v100-en-067;role.auditorHint;en-US;Read-only audit and financial visibility.
v100-ar-068;access.sensitive.superAdmin;ar-EG;يمنح هذا الدور تحكمًا إداريًا كاملًا في المنصة.
v100-en-068;access.sensitive.superAdmin;en-US;This role grants full administrative control over the platform.
v100-ar-069;access.sensitive.admin;ar-EG;يمنح هذا الدور تحكمًا إداريًا كاملًا في المنصة.
v100-en-069;access.sensitive.admin;en-US;This role grants full administrative control over the platform.
v100-ar-070;access.sensitive.hrManager;ar-EG;يمكن لهذا الدور اعتماد سير عمل الموارد البشرية والتقارير.
v100-en-070;access.sensitive.hrManager;en-US;This role can approve HR workflows and reports.
v100-ar-071;access.sensitive.hrReviewer;ar-EG;يمكن لهذا الدور مراجعة واعتماد الحضور وقرارات الموارد البشرية.
v100-en-071;access.sensitive.hrReviewer;en-US;This role can review and approve attendance and HR decisions.
