id;key;locale;text
v165-001;sales.ar.title;en-US;Accounts receivable and collections
v165-002;sales.ar.title;ar-EG;الذمم المدينة والتحصيل
v165-003;sales.ar.description;en-US;Issue customer invoices allocate receipts and follow overdue balances
v165-004;sales.ar.description;ar-EG;إصدار فواتير العملاء وتخصيص التحصيلات ومتابعة الأرصدة المتأخرة
v165-005;sales.ar.totalOutstanding;en-US;Total outstanding
v165-006;sales.ar.totalOutstanding;ar-EG;إجمالي المستحق
v165-007;sales.ar.openInvoices;en-US;Open invoices
v165-008;sales.ar.openInvoices;ar-EG;الفواتير المفتوحة
v165-009;sales.ar.over90;en-US;Over 90 days
v165-010;sales.ar.over90;ar-EG;أكثر من 90 يوماً
v165-011;sales.ar.collectionTasks;en-US;Collection tasks
v165-012;sales.ar.collectionTasks;ar-EG;مهام التحصيل
v165-013;sales.ar.invoices;en-US;Invoices
v165-014;sales.ar.invoices;ar-EG;الفواتير
v165-015;sales.ar.receipts;en-US;Receipts
v165-016;sales.ar.receipts;ar-EG;التحصيلات
v165-017;sales.ar.collections;en-US;Collections
v165-018;sales.ar.collections;ar-EG;المتابعات
v165-019;sales.ar.creditControl;en-US;Credit control
v165-020;sales.ar.creditControl;ar-EG;الرقابة الائتمانية
v165-021;sales.ar.invoiceNumber;en-US;Invoice number
v165-022;sales.ar.invoiceNumber;ar-EG;رقم الفاتورة
v165-023;sales.ar.customerId;en-US;Customer ID
v165-024;sales.ar.customerId;ar-EG;معرف العميل
v165-025;sales.ar.invoiceDate;en-US;Invoice date
v165-026;sales.ar.invoiceDate;ar-EG;تاريخ الفاتورة
v165-027;sales.ar.dueDate;en-US;Due date
v165-028;sales.ar.dueDate;ar-EG;تاريخ الاستحقاق
v165-029;sales.ar.currency;en-US;Currency
v165-030;sales.ar.currency;ar-EG;العملة
v165-031;sales.ar.amount;en-US;Amount
v165-032;sales.ar.amount;ar-EG;المبلغ
v165-033;sales.ar.createInvoice;en-US;Create invoice
v165-034;sales.ar.createInvoice;ar-EG;إنشاء فاتورة
v165-035;sales.ar.current;en-US;Current
v165-036;sales.ar.current;ar-EG;حالي
v165-037;sales.ar.days1To30;en-US;1–30 days
v165-038;sales.ar.days1To30;ar-EG;1–30 يوماً
v165-039;sales.ar.days31To60;en-US;31–60 days
v165-040;sales.ar.days31To60;ar-EG;31–60 يوماً
v165-041;sales.ar.days61To90;en-US;61–90 days
v165-042;sales.ar.days61To90;ar-EG;61–90 يوماً
v165-043;sales.ar.outstanding;en-US;Outstanding
v165-044;sales.ar.outstanding;ar-EG;المتبقي
v165-045;sales.ar.issue;en-US;Issue
v165-046;sales.ar.issue;ar-EG;إصدار
v165-047;sales.ar.noInvoices;en-US;No customer invoices yet
v165-048;sales.ar.noInvoices;ar-EG;لا توجد فواتير عملاء بعد
v165-049;sales.ar.receiptNumber;en-US;Receipt number
v165-050;sales.ar.receiptNumber;ar-EG;رقم التحصيل
v165-051;sales.ar.receiptDate;en-US;Receipt date
v165-052;sales.ar.receiptDate;ar-EG;تاريخ التحصيل
v165-053;sales.ar.unallocated;en-US;Unallocated advance
v165-054;sales.ar.unallocated;ar-EG;دفعة مقدمة غير مخصصة
v165-055;sales.ar.allocationAmount;en-US;Allocation amount
v165-056;sales.ar.allocationAmount;ar-EG;مبلغ التخصيص
v165-057;sales.ar.recordReceipt;en-US;Record receipt
v165-058;sales.ar.recordReceipt;ar-EG;تسجيل التحصيل
v165-059;sales.ar.noReceipts;en-US;No customer receipts yet
v165-060;sales.ar.noReceipts;ar-EG;لا توجد تحصيلات عملاء بعد
v165-061;sales.ar.daysOverdue;en-US;Days overdue
