id;translation_key;locale;text_value
v247-en-001;translations.importTitle;en-US;Import translations from Excel
v247-ar-001;translations.importTitle;ar-EG;استيراد الترجمات من Excel
v247-en-002;translations.importDescription;en-US;Import multiple translations into the language and scope selected above without editing each row manually.
v247-ar-002;translations.importDescription;ar-EG;استورد مجموعة ترجمات إلى اللغة والنطاق المحددين أعلاه دون الحاجة إلى تعديل كل صف يدويًا.
v247-en-003;translations.chooseExcelFile;en-US;Choose Excel file
v247-ar-003;translations.chooseExcelFile;ar-EG;اختيار ملف Excel
v247-en-004;translations.noFileSelected;en-US;No file selected yet
v247-ar-004;translations.noFileSelected;ar-EG;لم يتم اختيار ملف بعد
v247-en-005;translations.importing;en-US;Importing...
v247-ar-005;translations.importing;ar-EG;جارٍ الاستيراد...
v247-en-006;translations.importAction;en-US;Import file
v247-ar-006;translations.importAction;ar-EG;استيراد الملف
v247-en-007;translations.excelColumns;en-US;File format:
v247-ar-007;translations.excelColumns;ar-EG;تنسيق الملف:
v247-en-008;translations.importNote;en-US;The first sheet must contain key and value columns. Existing rows are updated and new keys are created in the current language and scope.
v247-ar-008;translations.importNote;ar-EG;أول ورقة يجب أن تحتوي على العمودين key و value. الصفوف الحالية تُحدّث والمفاتيح الجديدة تُنشأ ضمن اللغة والنطاق الحاليين.
v247-en-009;translations.invalidExcelFile;en-US;Choose an Excel file in XLSX or XLS format.
v247-ar-009;translations.invalidExcelFile;ar-EG;اختر ملف Excel بصيغة XLSX أو XLS.
v247-en-010;translations.excelFileTooLarge;en-US;The Excel file must not exceed 5 MB.
v247-ar-010;translations.excelFileTooLarge;ar-EG;حجم ملف Excel يجب ألا يتجاوز 5 ميجابايت.
v247-en-011;translations.importSuccess;en-US;Imported {imported} translations: {created} created, {updated} updated, {unchanged} unchanged.
v247-ar-011;translations.importSuccess;ar-EG;تم استيراد {imported} ترجمة: {created} جديدة، {updated} محدثة، {unchanged} بدون تغيير.
v247-en-012;translations.clearSelectedFile;en-US;Clear selected file
v247-ar-012;translations.clearSelectedFile;ar-EG;مسح الملف المحدد
v247-en-013;I18N_IMPORT_FILE_REQUIRED;en-US;Choose an Excel translation file to import.
v247-ar-013;I18N_IMPORT_FILE_REQUIRED;ar-EG;اختر ملف Excel للترجمات قبل الاستيراد.
v247-en-014;I18N_IMPORT_FILE_TOO_LARGE;en-US;The translation Excel file must not exceed 5 MB.
v247-ar-014;I18N_IMPORT_FILE_TOO_LARGE;ar-EG;ملف Excel للترجمات يجب ألا يتجاوز 5 ميجابايت.
v247-en-015;I18N_IMPORT_INVALID_FILE_TYPE;en-US;The translation file must be an XLSX or XLS workbook.
v247-ar-015;I18N_IMPORT_INVALID_FILE_TYPE;ar-EG;يجب أن يكون ملف الترجمات بصيغة XLSX أو XLS.
v247-en-016;I18N_IMPORT_INVALID_HEADER;en-US;The first Excel sheet must include key and value columns.
v247-ar-016;I18N_IMPORT_INVALID_HEADER;ar-EG;يجب أن تحتوي أول ورقة Excel على العمودين key و value.
v247-en-017;I18N_IMPORT_INVALID_ROW;en-US;Each imported row must contain both a translation key and a value.
v247-ar-017;I18N_IMPORT_INVALID_ROW;ar-EG;يجب أن يحتوي كل صف مستورد على مفتاح ترجمة وقيمة معًا.
v247-en-018;I18N_IMPORT_ROW_LIMIT;en-US;The Excel import cannot contain more than 5,000 non-empty translation rows.
v247-ar-018;I18N_IMPORT_ROW_LIMIT;ar-EG;لا يمكن أن يتجاوز ملف الاستيراد 5000 صف ترجمة غير فارغ.
v247-en-019;I18N_IMPORT_EMPTY_DATA;en-US;The uploaded Excel file does not contain translation rows.
v247-ar-019;I18N_IMPORT_EMPTY_DATA;ar-EG;ملف Excel المرفوع لا يحتوي على صفوف ترجمات.
v247-en-020;I18N_IMPORT_DUPLICATE_KEYS;en-US;The Excel file contains duplicate translation keys. Remove duplicates and try again.
v247-ar-020;I18N_IMPORT_DUPLICATE_KEYS;ar-EG;يحتوي ملف Excel على مفاتيح ترجمة مكررة. احذف التكرارات ثم أعد المحاولة.
v247-en-021;I18N_IMPORT_INVALID_FILE;en-US;The uploaded Excel file could not be read. Verify that the workbook is valid and try again.
v247-ar-021;I18N_IMPORT_INVALID_FILE;ar-EG;تعذر قراءة ملف Excel المرفوع. تحقق من سلامة الملف ثم أعد المحاولة.
v247-en-022;I18N_IMPORT_EMPTY_FILE;en-US;The uploaded Excel file is empty.
v247-ar-022;I18N_IMPORT_EMPTY_FILE;ar-EG;ملف Excel المرفوع فارغ.
v247-en-023;I18N_IMPORT_MISSING_HEADER;en-US;The uploaded Excel file is missing a header row.
v247-ar-023;I18N_IMPORT_MISSING_HEADER;ar-EG;ملف Excel المرفوع لا يحتوي على صف عناوين.
v247-en-024;I18N_INVALID_PAGE;en-US;Page index must not be negative.
v247-ar-024;I18N_INVALID_PAGE;ar-EG;رقم الصفحة يجب ألا يكون سالبًا.
v247-en-025;I18N_INVALID_PAGE_SIZE;en-US;Page size must be between 1 and 200.
v247-ar-025;I18N_INVALID_PAGE_SIZE;ar-EG;حجم الصفحة يجب أن يكون بين 1 و 200.

