id;key;locale;text
v181-001;subscription.tab;en-US;Plans
v181-002;subscription.tab;ar-EG;الخطط
v181-003;subscription.title;en-US;Subscription control plane
v181-004;subscription.title;ar-EG;إدارة الاشتراكات والخطط
v181-005;subscription.description;en-US;Manage plan features limits lifecycle and immutable change history
v181-006;subscription.description;ar-EG;إدارة مزايا وحدود ودورة حياة الخطط وسجل التغييرات الثابت
v181-007;subscription.current;en-US;Current subscription
v181-008;subscription.current;ar-EG;الاشتراك الحالي
v181-009;subscription.plan;en-US;Plan
v181-010;subscription.plan;ar-EG;الخطة
v181-011;subscription.status;en-US;Status
v181-012;subscription.status;ar-EG;الحالة
v181-013;subscription.startsAt;en-US;Starts at
v181-014;subscription.startsAt;ar-EG;تاريخ البدء
v181-015;subscription.renewsAt;en-US;Renews at
v181-016;subscription.renewsAt;ar-EG;تاريخ التجديد
v181-017;subscription.endsAt;en-US;Ends at
v181-018;subscription.endsAt;ar-EG;تاريخ الانتهاء
v181-019;subscription.change;en-US;Apply plan change
v181-020;subscription.change;ar-EG;تطبيق تغيير الخطة
v181-021;subscription.reason;en-US;Commercial reason
v181-022;subscription.reason;ar-EG;السبب التجاري
v181-023;subscription.history;en-US;Change history
v181-024;subscription.history;ar-EG;سجل التغييرات
v181-025;subscription.features;en-US;Features
v181-026;subscription.features;ar-EG;المزايا
v181-027;subscription.userLimit;en-US;User limit
v181-028;subscription.userLimit;ar-EG;حد المستخدمين
v181-029;subscription.usersUsed;en-US;Users used
v181-030;subscription.usersUsed;ar-EG;المستخدمون الحاليون
v181-031;subscription.unlimited;en-US;Unlimited
v181-032;subscription.unlimited;ar-EG;غير محدود
v181-033;subscription.saved;en-US;Subscription updated
v181-034;subscription.saved;ar-EG;تم تحديث الاشتراك
v181-035;subscription.saveFailed;en-US;Subscription update failed
v181-036;subscription.saveFailed;ar-EG;تعذر تحديث الاشتراك
v181-037;subscription.noSubscription;en-US;No subscription assigned
v181-038;subscription.noSubscription;ar-EG;لا يوجد اشتراك معين
v181-039;SUBSCRIPTION_PLAN_CODE_INVALID;en-US;Plan code is invalid
v181-040;SUBSCRIPTION_PLAN_CODE_INVALID;ar-EG;رمز الخطة غير صالح
v181-041;SUBSCRIPTION_PLAN_NOT_FOUND;en-US;Active subscription plan was not found
v181-042;SUBSCRIPTION_PLAN_NOT_FOUND;ar-EG;لم يتم العثور على خطة اشتراك نشطة
v181-043;SUBSCRIPTION_DATES_INVALID;en-US;Renewal and end dates must follow the start date
v181-044;SUBSCRIPTION_DATES_INVALID;ar-EG;يجب أن يلي تاريخ التجديد والانتهاء تاريخ البدء
v181-045;SUBSCRIPTION_PLAN_CONFIGURATION_INVALID;en-US;Subscription plan configuration is invalid
v181-046;SUBSCRIPTION_PLAN_CONFIGURATION_INVALID;ar-EG;إعدادات خطة الاشتراك غير صالحة
v181-047;SUBSCRIPTION_USER_LIMIT_REACHED;en-US;The subscription user limit has been reached
v181-048;SUBSCRIPTION_USER_LIMIT_REACHED;ar-EG;تم الوصول إلى حد مستخدمي الاشتراك
v181-049;subscription.planDefinitions;en-US;Plan definitions
v181-050;subscription.planDefinitions;ar-EG;تعريفات الخطط
v181-051;subscription.nameAr;en-US;Arabic name
v181-052;subscription.nameAr;ar-EG;الاسم العربي
v181-053;subscription.nameEn;en-US;English name
v181-054;subscription.nameEn;ar-EG;الاسم الإنجليزي
v181-055;subscription.active;en-US;Active for new assignments
v181-056;subscription.active;ar-EG;نشطة للتعيينات الجديدة
v181-057;subscription.savePlan;en-US;Save plan definition
v181-058;subscription.savePlan;ar-EG;حفظ تعريف الخطة
v181-059;subscription.planSaved;en-US;Plan definition saved
v181-060;subscription.planSaved;ar-EG;تم حفظ تعريف الخطة
v181-061;subscription.actor;en-US;Changed by
v181-062;subscription.actor;ar-EG;تم التغيير بواسطة
v181-063;subscription.status.active;en-US;Active
v181-064;subscription.status.active;ar-EG;نشط
v181-065;subscription.status.trial;en-US;Trial
v181-066;subscription.status.trial;ar-EG;تجريبي
v181-067;subscription.status.pastDue;en-US;Past due
v181-068;subscription.status.pastDue;ar-EG;متأخر السداد
v181-069;subscription.status.canceled;en-US;Canceled
v181-070;subscription.status.canceled;ar-EG;ملغي
v181-071;subscription.changeSeparator;en-US;to
v181-072;subscription.changeSeparator;ar-EG;إلى
v181-073;subscription.nameSeparator;en-US;-
v181-074;subscription.nameSeparator;ar-EG;-
v181-075;subscription.limitSeparator;en-US;of
v181-076;subscription.limitSeparator;ar-EG;من
v181-077;SUBSCRIPTION_INACTIVE;en-US;The subscription does not permit adding users
v181-078;SUBSCRIPTION_INACTIVE;ar-EG;الاشتراك لا يسمح بإضافة مستخدمين
