id;translation_key;locale;text_value
v380-001-en;settings.sso;en-US;Single Sign-On (SSO)
v380-001-ar;settings.sso;ar-EG;تسجيل الدخول الموحد (SSO)
v380-002-en;settings.ssoHint;en-US;Configure Google or Microsoft Workspace SSO
v380-002-ar;settings.ssoHint;ar-EG;تكوين تسجيل الدخول الموحد مع Google أو Microsoft
v380-003-en;sso.google;en-US;Sign in with Google
v380-003-ar;sso.google;ar-EG;تسجيل الدخول بحساب Google
v380-004-en;sso.microsoft;en-US;Sign in with Microsoft
v380-004-ar;sso.microsoft;ar-EG;تسجيل الدخول بحساب Microsoft
v380-005-en;sso.configured;en-US;Configured
v380-005-ar;sso.configured;ar-EG;تم التكوين
v380-006-en;sso.createConfig;en-US;Create SSO Config
v380-006-ar;sso.createConfig;ar-EG;إنشاء تكوين SSO
v380-007-en;sso.provider;en-US;Provider
v380-007-ar;sso.provider;ar-EG;مزوّد الخدمة
v380-008-en;sso.clientId;en-US;Client ID
v380-008-ar;sso.clientId;ar-EG;معرف العميل
v380-009-en;sso.clientSecret;en-US;Client Secret
v380-009-ar;sso.clientSecret;ar-EG;سر العميل
v380-010-en;sso.autoProvision;en-US;Auto-provision users
v380-010-ar;sso.autoProvision;ar-EG;إنشاء حسابات المستخدمين تلقائياً
v380-011-en;sso.autoProvisionHint;en-US;Automatically create a new user on first SSO login
v380-011-ar;sso.autoProvisionHint;ar-EG;إنشاء حساب جديد تلقائياً عند أول تسجيل دخول عبر SSO
v380-012-en;sso.defaultRole;en-US;Default Role
v380-012-ar;sso.defaultRole;ar-EG;الدور الافتراضي
v380-013-en;sso.linkedAccounts;en-US;Linked Accounts
v380-013-ar;sso.linkedAccounts;ar-EG;الحسابات المرتبطة
v380-014-en;sso.noConfigs;en-US;No SSO configurations found
v380-014-ar;sso.noConfigs;ar-EG;لم يتم العثور على تكوينات SSO
v380-015-en;sso.unknownEmail;en-US;This email is not linked to any account. Contact your administrator.
v380-015-ar;sso.unknownEmail;ar-EG;هذا البريد الإلكتروني غير مرتبط بأي حساب. تواصل مع المسؤول.
v380-016-en;sso.configSaved;en-US;SSO configuration saved
v380-016-ar;sso.configSaved;ar-EG;تم حفظ تكوين SSO
v380-017-en;sso.configDeleted;en-US;SSO configuration deleted
v380-017-ar;sso.configDeleted;ar-EG;تم حذف تكوين SSO
v380-018-en;sso.stateInvalid;en-US;SSO state is invalid or expired
v380-018-ar;sso.stateInvalid;ar-EG;حالة SSO غير صالحة أو منتهية الصلاحية
