id;translation_key;locale;text_value
err-ar-001;error.authenticationTitle;ar-EG;فشل التحقق من الهوية
err-en-001;error.authenticationTitle;en-US;Authentication failed
err-ar-002;error.invalidCredentials;ar-EG;اسم المستخدم أو كلمة المرور غير صحيحة.
err-en-002;error.invalidCredentials;en-US;The username or password is incorrect.
err-ar-003;error.notFoundTitle;ar-EG;الموارد غير موجودة
err-en-003;error.notFoundTitle;en-US;Resource not found
err-ar-004;error.conflictTitle;ar-EG;تعارض مع قواعد العمل
err-en-004;error.conflictTitle;en-US;Business rule conflict
err-ar-005;error.dataConflictDetail;ar-EG;العملية تتعارض مع البيانات الحالية في النظام.
err-en-005;error.dataConflictDetail;en-US;The operation conflicts with existing data.
err-ar-006;error.validationTitle;ar-EG;فشل التحقق من صحة البيانات
err-en-006;error.validationTitle;en-US;Validation failed
err-ar-007;error.validationDetail;ar-EG;واحد أو أكثر من الحقول غير صالحة.
err-en-007;error.validationDetail;en-US;One or more fields are invalid.
