id;translation_key;locale;text_value
v411-001-en;export.doc.colNo;en-US;#
v411-001-ar;export.doc.colNo;ar-EG;#
v411-002-en;export.doc.total;en-US;Total
v411-002-ar;export.doc.total;ar-EG;الإجمالي
v411-003-en;export.doc.issueDate;en-US;Issue date
v411-003-ar;export.doc.issueDate;ar-EG;تاريخ الإصدار
v411-004-en;export.file.coo;en-US;certificate-of-origin
v411-004-ar;export.file.coo;ar-EG;شهادة-المنشأ
v411-005-en;export.file.packing-list;en-US;packing-list
v411-005-ar;export.file.packing-list;ar-EG;قائمة-التعبئة
v411-006-en;export.file.phytosanitary;en-US;phytosanitary
v411-006-ar;export.file.phytosanitary;ar-EG;شهادة-صحية-نباتية
v411-007-en;export.selectShipmentFirst;en-US;Select a shipment first
v411-007-ar;export.selectShipmentFirst;ar-EG;حدد شحنة أولاً
