id;app_id;vertical;code;name_key;menu_ids;permission_prefixes;sort_order;created_at;updated_at
urt-doctor;;MEDICAL;DOCTOR;users.template.doctor;employees,leaves,reports,approvals-my-tasks;hr:employee,hr:leave:approve,hr:attendance;10;1787755200000;1787755200000
urt-nurse;;MEDICAL;NURSE;users.template.nurse;employees,reports;hr:employee:read,hr:attendance:read;20;1787755200000;1787755200000
urt-pharmacist;;MEDICAL;PHARMACIST;users.template.pharmacist;sales,pos,operations,reports;sales:so:read,pos:checkout,inventory:stock:read;30;1787755200000;1787755200000
urt-lab-tech;;MEDICAL;LAB_TECH;users.template.labTech;operations,quality,imports,reports;inventory:movement:create,inventory:stock:read,manufacturing:quality:inspect;40;1787755200000;1787755200000
urt-radiologist;;MEDICAL;RADIOLOGIST;users.template.radiologist;employees,imports,reports;hr:employee:read,hr:biometric:import;50;1787755200000;1787755200000
urt-insurance-officer;;MEDICAL;INSURANCE_OFFICER;users.template.insuranceOfficer;parties,sales,accounts,reports;finance:ar:view_position,sales:so:read,sales:invoice:read;60;1787755200000;1787755200000
urt-clinic-cashier;;MEDICAL;CLINIC_CASHIER;users.template.clinicCashier;pos,accounts;pos:session:open,pos:cashbox:transact,finance:cashbox:transact;70;1787755200000;1787755200000
urt-plant-supervisor;;MANUFACTURING;PLANT_SUPERVISOR;users.template.plantSupervisor;production,operations,procurement,reports;manufacturing:order:create,manufacturing:material:issue,inventory:stock:read;10;1787755200000;1787755200000
urt-qc-inspector;;MANUFACTURING;QC_INSPECTOR;users.template.qcInspector;quality,production,reports;manufacturing:quality:inspect,inventory:lot:read;20;1787755200000;1787755200000
urt-storekeeper;;MANUFACTURING;STOREKEEPER;users.template.storekeeper;operations,inventory,reports;inventory:movement:create,inventory:warehouse:read,inventory:transfer:create;30;1787755200000;1787755200000
urt-maintenance-planner;;MANUFACTURING;MAINTENANCE_PLANNER;users.template.maintenancePlanner;operations,procurement,reports;procurement:pr:create,procurement:grn:read,inventory:stock:read;40;1787755200000;1787755200000
urt-production-planner;;MANUFACTURING;PRODUCTION_PLANNER;users.template.productionPlanner;production,procurement,inventory;manufacturing:bom:read,manufacturing:order:create,procurement:pr:create;50;1787755200000;1787755200000
urt-cashier;;RETAIL;CASHIER;users.template.cashier;pos;pos:checkout,pos:session:open,pos:session:close;10;1787755200000;1787755200000
urt-merchandiser;;RETAIL;MERCHANDISER;users.template.merchandiser;operations,inventory,reports;inventory:item:read,inventory:stock:read,inventory:transfer:create;20;1787755200000;1787755200000
urt-van-sales-rep;;RETAIL;VAN_SALES_REP;users.template.vanSalesRep;sales,pos,crm,reports;sales:so:create,sales:van:sync,crm:lead:create;30;1787755200000;1787755200000
urt-branch-manager;;RETAIL;BRANCH_MANAGER;users.template.branchManager;sales,pos,inventory,reports,employees,approvals-my-tasks;sales:so:approve,pos:discount:apply,inventory:stock:read,hr:employee:read;40;1787755200000;1787755200000
urt-site-engineer;;CIVIL;SITE_ENGINEER;users.template.siteEngineer;projects,workforce-attendance,workforce-reports,reports;contracting:dpr:create,contracting:wbs:read,hr:attendance:enter;10;1787755200000;1787755200000
urt-quantity-surveyor;;CIVIL;QUANTITY_SURVEYOR;users.template.quantitySurveyor;projects,budgets,accounts,reports;contracting:claim:create,contracting:cost:read,finance:budget:read;20;1787755200000;1787755200000
urt-subcontractor-coordinator;;CIVIL;SUBCONTRACTOR_COORDINATOR;users.template.subcontractorCoordinator;workforce-dashboard,workforce-contractors,workforce-workers,workforce-requests,projects;hr:contractor:manage,hr:labor_request:create,contracting:project:read;30;1787755200000;1787755200000
urt-consultant;;SERVICES;CONSULTANT;users.template.consultant;crm,projects,reports;crm:lead:create,crm:activity:log,crm:conversation:reply;10;1787755200000;1787755200000
urt-support-agent;;SERVICES;SUPPORT_AGENT;users.template.supportAgent;crm,notifications-send;crm:conversation:read,crm:conversation:reply,access:notification:send;20;1787755200000;1787755200000
urt-accountant;;GENERAL;ACCOUNTANT;users.template.accountant;accounts,journal-entries,tax-currency,fiscal-periods,eta-tax,reports;finance:journal:create,finance:account:read,compliance:eta:submit;10;1787755200000;1787755200000
urt-hr-officer;;GENERAL;HR_OFFICER;users.template.hrOfficer;employees,categories,leaves,performance,payroll,imports,organization;hr:employee:create,hr:leave:entitlement_manage,hr:payroll:prepare;20;1787755200000;1787755200000
urt-purchasing-officer;;GENERAL;PURCHASING_OFFICER;users.template.purchasingOfficer;procurement,parties,operations,reports;procurement:pr:create,procurement:po:create,procurement:supplier:onboard;30;1787755200000;1787755200000
