id;translation_key;locale;text_value
v364-001-en;taxCurrency.fxRevaluation;en-US;FX Revaluation
v364-001-ar;taxCurrency.fxRevaluation;ar-EG;重新 تقييم العملات
v364-002-en;taxCurrency.fxRevaluationHint;en-US;Month-end unrealized gain/loss on foreign currency balances
v364-002-ar;taxCurrency.fxRevaluationHint;ar-EG;الارباح / الخسائر غير المحققة نهاية الشهر على أرصدة العملات الأجنبية
v364-003-en;taxCurrency.fxRunRevaluation;en-US;Run Revaluation
v364-003-ar;taxCurrency.fxRunRevaluation;ar-EG;تنفيذ إعادة التقييم
v364-004-en;taxCurrency.fxRunRevaluationHint;en-US;Compute and post unrealized FX gain/loss for all foreign currencies
v364-004-ar;taxCurrency.fxRunRevaluationHint;ar-EG;حساب وتقديد ارباح / خسائر العملات غير المحققة لجميع العملات الأجنبية
v364-005-en;taxCurrency.fxRevaluationHistory;en-US;Revaluation History
v364-005-ar;taxCurrency.fxRevaluationHistory;ar-EG;سجل إعادة التقييم
v364-006-en;taxCurrency.fxColCurrency;en-US;Currency
v364-006-ar;taxCurrency.fxColCurrency;ar-EG;العملة
v364-007-en;taxCurrency.fxColPeriod;en-US;Period
v364-007-ar;taxCurrency.fxColPeriod;ar-EG;الفترة
v364-008-en;taxCurrency.fxColGain;en-US;Unrealized Gain
v364-008-ar;taxCurrency.fxColGain;ar-EG;ربح غير محقق
v364-009-en;taxCurrency.fxColLoss;en-US;Unrealized Loss
v364-009-ar;taxCurrency.fxColLoss;ar-EG;خسارة غير محققة
v364-010-en;taxCurrency.fxColJournal;en-US;Journal Entry
v364-010-ar;taxCurrency.fxColJournal;ar-EG;قيود يومية
v364-011-en;taxCurrency.fxColPostedAt;en-US;Posted At
v364-011-ar;taxCurrency.fxColPostedAt;ar-EG;تاريخ القيود
v364-012-en;taxCurrency.fxColPostedBy;en-US;Posted By
v364-012-ar;taxCurrency.fxColPostedBy;ar-EG;قام بالتقديد
v364-013-en;taxCurrency.fxRevaluationSuccess;en-US;FX revaluation completed
v364-013-ar;taxCurrency.fxRevaluationSuccess;ar-EG;اكتملت إعادة تقييم العملات
v364-014-en;taxCurrency.fxRevaluationZeroResult;en-US;No foreign currency balances to revalue
v364-014-ar;taxCurrency.fxRevaluationZeroResult;ar-EG;لا توجد أرصدة عملات أجنبية لإعادة تقييمها
v364-015-en;taxCurrency.fxRevaluationEmpty;en-US;No revaluation runs yet
v364-015-ar;taxCurrency.fxRevaluationEmpty;ar-EG;لم يتم تنفيذ أي إعادة تقييم بعد
v364-016-en;taxCurrency.fxColNetBalance;en-US;Net Balance
v364-016-ar;taxCurrency.fxColNetBalance;ar-EG;الرصيد الصافي
v364-017-en;taxCurrency.fxColRate;en-US;Rate
v364-017-ar;taxCurrency.fxColRate;ar-EG;سعر الصرف
v364-018-en;taxCurrency.fxColEgpValue;en-US;EGP Value
v364-018-ar;taxCurrency.fxColEgpValue;ar-EG;القيمة بالجنيه المصري
v364-019-en;taxCurrency.fxRevaluationRunning;en-US;Running revaluation...
v364-019-ar;taxCurrency.fxRevaluationRunning;ar-EG;جارٍ تنفيذ إعادة التقييم...
v364-020-en;taxCurrency.fxRevaluationSkipped;en-US;Revaluation already posted for this month
v364-020-ar;taxCurrency.fxRevaluationSkipped;ar-EG;تم تقديم إعادة التقييم بالفعل لهذا الشهر
