id;translation_key;locale;text_value
v318-001;org.tabConsolidation;ar-EG;التجميع المالي للشركات والفروع
v318-002;org.tabConsolidation;en-US;Multi-Branch Financial Consolidation
v318-003;org.tabIntercompany;ar-EG;المعاملات بين الشركات والتسويات
v318-004;org.tabIntercompany;en-US;Intercompany & Due-To/Due-From Ledger
v318-005;org.totalRevenue;ar-EG;إجمالي الإيرادات المجمعة
v318-006;org.totalRevenue;en-US;Consolidated Total Revenue
v318-007;org.totalExpenses;ar-EG;إجمالي المصروفات المجمعة
v318-008;org.totalExpenses;en-US;Consolidated Total Expenses
v318-009;org.eliminatedTransfers;ar-EG;التحويلات المستبعدة (Eliminations)
v318-010;org.eliminatedTransfers;en-US;Eliminated Inter-Branch Transfers
v318-011;org.consolidatedNetMargin;ar-EG;صافي الأرباح المجمعة
v318-012;org.consolidatedNetMargin;en-US;Consolidated Net Profit
v318-013;org.activeBranches;ar-EG;الفروع النشطة
v318-014;org.activeBranches;en-US;Active Branches
v318-015;org.totalHeadcount;ar-EG;إجمالي القوى العاملة
v318-016;org.totalHeadcount;en-US;Total Headcount
v318-017;org.branchMatrix;ar-EG;مصفوفة الأداء المالي والتشغيلي للفروع
v318-018;org.branchMatrix;en-US;Branch Financial & Operational Performance Matrix
v318-019;org.branchCode;ar-EG;كود الفرع
v318-020;org.branchCode;en-US;Branch Code
v318-021;org.branchName;ar-EG;اسم الفرع
v318-022;org.branchName;en-US;Branch Name
v318-023;org.company;ar-EG;الشركة
v318-024;org.company;en-US;Company
v318-025;org.revenue;ar-EG;الإيرادات
v318-026;org.revenue;en-US;Revenue
v318-027;org.expenses;ar-EG;المصروفات
v318-028;org.expenses;en-US;Expenses
v318-029;org.netProfit;ar-EG;صافي الربح
v318-030;org.netProfit;en-US;Net Profit
v318-031;org.marginPercent;ar-EG;هامش الربح %
v318-032;org.marginPercent;en-US;Profit Margin %
v318-033;org.inventoryValue;ar-EG;قيمة المخزون
v318-034;org.inventoryValue;en-US;Inventory Value
v318-035;org.headcount;ar-EG;عدد الموظفين
v318-036;org.headcount;en-US;Headcount
