id;translation_key;locale;text_value
x8-ar-001;settings.excelTitle;ar-EG;تنسيق تصدير Excel
x8-en-001;settings.excelTitle;en-US;Excel export style
x8-ar-002;settings.excelHint;ar-EG;اختر شكل جدول Excel المفضل. سيُستخدم في كل ملفات التصدير مع لغة حسابك.
x8-en-002;settings.excelHint;en-US;Choose your preferred Excel table style. It is used for every export with your account language.
x8-ar-003;settings.excelGold;ar-EG;ذهبي
x8-en-003;settings.excelGold;en-US;Gold
x8-ar-004;settings.excelBlue;ar-EG;أزرق
x8-en-004;settings.excelBlue;en-US;Blue
x8-ar-005;settings.excelGreen;ar-EG;أخضر
x8-en-005;settings.excelGreen;en-US;Green
x8-ar-006;settings.excelGray;ar-EG;رمادي
x8-en-006;settings.excelGray;en-US;Gray
x8-ar-007;export.sheet.categories;ar-EG;الفئات
x8-en-007;export.sheet.categories;en-US;Categories
x8-ar-008;export.sheet.employees;ar-EG;الموظفون
x8-en-008;export.sheet.employees;en-US;Employees
x8-ar-009;export.sheet.imports;ar-EG;سجل الاستيراد
x8-en-009;export.sheet.imports;en-US;Imports
x8-ar-010;export.sheet.unmatched;ar-EG;هويات بصمة غير مربوطة
x8-en-010;export.sheet.unmatched;en-US;Unmatched identities
x8-ar-011;export.sheet.summary;ar-EG;ملخص التقرير
x8-en-011;export.sheet.summary;en-US;Report summary
x8-ar-012;export.sheet.dailyAttendance;ar-EG;الحضور اليومي
x8-en-012;export.sheet.dailyAttendance;en-US;Daily attendance
x8-ar-013;export.column.code;ar-EG;الكود
x8-en-013;export.column.code;en-US;Code
x8-ar-014;export.column.name;ar-EG;الاسم
x8-en-014;export.column.name;en-US;Name
x8-ar-015;export.column.defaultMinutes;ar-EG;الدقائق اليومية
x8-en-015;export.column.defaultMinutes;en-US;Daily minutes
x8-ar-016;export.column.attendanceMode;ar-EG;نمط الحضور
x8-en-016;export.column.attendanceMode;en-US;Attendance mode
x8-ar-017;export.column.payCycle;ar-EG;دورة الاستحقاق
x8-en-017;export.column.payCycle;en-US;Pay cycle
x8-ar-018;export.column.active;ar-EG;نشط
x8-en-018;export.column.active;en-US;Active
x8-ar-019;export.column.deviceUserId;ar-EG;كود جهاز البصمة
x8-en-019;export.column.deviceUserId;en-US;Biometric device ID
x8-ar-020;export.column.category;ar-EG;الفئة
x8-en-020;export.column.category;en-US;Category
x8-ar-021;export.column.employmentType;ar-EG;نوع العمالة
x8-en-021;export.column.employmentType;en-US;Employment type
x8-ar-022;export.column.from;ar-EG;من تاريخ
x8-en-022;export.column.from;en-US;From date
x8-ar-023;export.column.to;ar-EG;إلى تاريخ
x8-en-023;export.column.to;en-US;To date
x8-ar-024;export.column.file;ar-EG;الملف
x8-en-024;export.column.file;en-US;File
x8-ar-025;export.column.device;ar-EG;الجهاز
x8-en-025;export.column.device;en-US;Device
x8-ar-026;export.column.status;ar-EG;الحالة
x8-en-026;export.column.status;en-US;Status
x8-ar-027;export.column.rows;ar-EG;إجمالي الصفوف
x8-en-027;export.column.rows;en-US;Total rows
x8-ar-028;export.column.imported;ar-EG;تم الاستيراد
x8-en-028;export.column.imported;en-US;Imported
x8-ar-029;export.column.errors;ar-EG;الأخطاء
x8-en-029;export.column.errors;en-US;Errors
x8-ar-030;export.column.by;ar-EG;بواسطة
x8-en-030;export.column.by;en-US;By
x8-ar-031;export.column.at;ar-EG;التاريخ والوقت
x8-en-031;export.column.at;en-US;Date and time
x8-ar-032;export.column.observedName;ar-EG;الاسم المسجل
x8-en-032;export.column.observedName;en-US;Observed name
x8-ar-033;export.column.punchCount;ar-EG;عدد البصمات
x8-en-033;export.column.punchCount;en-US;Punch count
x8-ar-034;export.column.firstPunch;ar-EG;أول بصمة
x8-en-034;export.column.firstPunch;en-US;First punch
x8-ar-035;export.column.lastPunch;ar-EG;آخر بصمة
x8-en-035;export.column.lastPunch;en-US;Last punch
x8-ar-036;export.column.field;ar-EG;البيان
x8-en-036;export.column.field;en-US;Field
x8-ar-037;export.column.value;ar-EG;القيمة
x8-en-037;export.column.value;en-US;Value
x8-ar-038;export.column.date;ar-EG;اليوم
x8-en-038;export.column.date;en-US;Date
x8-ar-039;export.column.employeeCode;ar-EG;كود الموظف
x8-en-039;export.column.employeeCode;en-US;Employee code
x8-ar-040;export.column.employee;ar-EG;الموظف
x8-en-040;export.column.employee;en-US;Employee
x8-ar-041;export.column.punches;ar-EG;عدد البصمات
x8-en-041;export.column.punches;en-US;Punches
x8-ar-042;export.column.expectedMinutes;ar-EG;الدقائق المطلوبة
x8-en-042;export.column.expectedMinutes;en-US;Expected minutes
x8-ar-043;export.column.workedMinutes;ar-EG;دقائق العمل
