id;translation_key;locale;text_value
v327-001;diagnostics.tab;ar-EG;فحص ومراقبة النظام
v327-002;diagnostics.tab;en-US;System Health & Diagnostics
v327-003;backups.tab;ar-EG;النسخ الاحتياطي والتعافي
v327-004;backups.tab;en-US;Backups & Disaster Recovery
v327-005;licensing.tab;ar-EG;التراخيص والشهادات الرقمية
v327-006;licensing.tab;en-US;Licensing & Digital Certificates
v327-007;diagnostics.systemStatus;ar-EG;حالة النظام العامة
v327-008;diagnostics.systemStatus;en-US;Overall System Status
v327-009;diagnostics.dbStatus;ar-EG;حالة قاعدة البيانات
v327-010;diagnostics.dbStatus;en-US;Database Status
v327-011;diagnostics.dbLatency;ar-EG;زمن استجابة قاعدة البيانات
v327-012;diagnostics.dbLatency;en-US;DB Query Latency
v327-013;diagnostics.storageUtilization;ar-EG;استهلاك مساحة التخزين
v327-014;diagnostics.storageUtilization;en-US;Storage Utilization
v327-015;diagnostics.activeSessions;ar-EG;الجلسات النشطة
v327-016;diagnostics.activeSessions;en-US;Active User Sessions
v327-017;diagnostics.backgroundJobs;ar-EG;المهام المجدولة والخلفية
v327-018;diagnostics.backgroundJobs;en-US;Background Scheduled Jobs
v327-019;diagnostics.jvmMemory;ar-EG;ذاكرة JVM المستخدمة
v327-020;diagnostics.jvmMemory;en-US;JVM Memory Utilization
v327-021;diagnostics.uptime;ar-EG;مدة التشغيل المستمر
v327-022;diagnostics.uptime;en-US;System Uptime
v327-023;diagnostics.securityAudit;ar-EG;تدقيق التكوين والأمان السحابي
v327-024;diagnostics.securityAudit;en-US;Security & Cloud Config Audit
v327-025;diagnostics.trustedProxies;ar-EG;الوكلاء الموثوقون (CIDR)
v327-026;diagnostics.trustedProxies;en-US;Trusted Proxies (CIDR)
v327-027;diagnostics.corsOrigins;ar-EG;نطاقات CORS المسموحة
v327-028;diagnostics.corsOrigins;en-US;Allowed CORS Origins
v327-029;diagnostics.jwtSecretConfig;ar-EG;مفتاح تشفير الجلسات JWT
v327-030;diagnostics.jwtSecretConfig;en-US;JWT Secret Configuration
v327-031;diagnostics.refreshDiagnostics;ar-EG;تحديث مؤشرات الفحص
v327-032;diagnostics.refreshDiagnostics;en-US;Refresh Diagnostics
v327-033;backups.title;ar-EG;النسخ الاحتياطي وإدارة التعافي من الكوارث (DR)
v327-034;backups.title;en-US;Backups & Disaster Recovery Management (DR)
v327-035;backups.triggerBackup;ar-EG;إنشاء نسخة احتياطية جديدة
v327-036;backups.triggerBackup;en-US;Trigger New Backup
v327-037;backups.colSnapshotName;ar-EG;اسم النسخة الاحتياطية
v327-038;backups.colSnapshotName;en-US;Snapshot Name
v327-039;backups.colBackupType;ar-EG;نوع النسخ
v327-040;backups.colBackupType;en-US;Backup Type
v327-041;backups.colSize;ar-EG;الحجم المشفر
v327-042;backups.colSize;en-US;Encrypted Size
v327-043;backups.colChecksum;ar-EG;بصمة SHA-256
v327-044;backups.colChecksum;en-US;SHA-256 Checksum
v327-045;backups.colEncryption;ar-EG;خوارزمية التشفير
v327-046;backups.colEncryption;en-US;Encryption
v327-047;backups.colStatus;ar-EG;الحالة
v327-048;backups.colStatus;en-US;Status
v327-049;backups.colDrillStatus;ar-EG;فحص الاسترجاع الآلي
v327-050;backups.colDrillStatus;en-US;Automated Drill Status
v327-051;backups.colCreatedAt;ar-EG;تاريخ الإنشاء
v327-052;backups.colCreatedAt;en-US;Created At
v327-053;backups.colActions;ar-EG;الإجراءات
v327-054;backups.colActions;en-US;Actions
v327-055;backups.runRestoreDrill;ar-EG;اختبار الاسترجاع
v327-056;backups.runRestoreDrill;en-US;Run Restore Drill
v327-057;backups.drillSuccess;ar-EG;تم اجتياز اختبار استرجاع النسخة بنجاح
v327-058;backups.drillSuccess;en-US;Restore verification drill passed successfully
v327-059;backups.backupCreated;ar-EG;تم إنشاء النسخة الاحتياطية وتشفيرها بنجاح
v327-060;backups.backupCreated;en-US;Backup snapshot created and encrypted successfully
v327-061;dr.rpoTarget;ar-EG;الهدف الأقصى لفقدان البيانات (RPO)
v327-062;dr.rpoTarget;en-US;Target Recovery Point Objective (RPO)
v327-063;dr.rtoTarget;ar-EG;الهدف الأقصى لزمن الاستعادة (RTO)
v327-064;dr.rtoTarget;en-US;Target Recovery Time Objective (RTO)
v327-065;dr.actualRpo;ar-EG;الفعلي لـ RPO
v327-066;dr.actualRpo;en-US;Actual RPO
v327-067;dr.actualRto;ar-EG;الفعلي لـ RTO
v327-068;dr.actualRto;en-US;Actual RTO
v327-069;dr.drillsHistory;ar-EG;سجل اختبارات التعافي الميدانية
v327-070;dr.drillsHistory;en-US;Disaster Recovery Drills History
v327-071;licensing.title;ar-EG;شهادات الترخيص الرقمية والتشغيل دون اتصال
v327-072;licensing.title;en-US;Digital License Certificates & Offline Operations
v327-073;licensing.installCert;ar-EG;تثبيت شهادة ترخيص
v327-074;licensing.installCert;en-US;Install License Certificate
v327-075;licensing.certPayload;ar-EG;حمولة الشهادة الرقمية (Base64/JSON)
v327-076;licensing.certPayload;en-US;Digital Certificate Payload (Base64/JSON)
v327-077;licensing.signature;ar-EG;التوقيع الرقمي (Ed25519)
v327-078;licensing.signature;en-US;Digital Signature (Ed25519)
v327-079;licensing.fingerprint;ar-EG;بصمة الجهاز / التثبيت
v327-080;licensing.fingerprint;en-US;Device / Installation Fingerprint
v327-081;licensing.seatsQuota;ar-EG;المقاعد المرخصة
v327-082;licensing.seatsQuota;en-US;Licensed Seats Quota
v327-083;licensing.isPerpetual;ar-EG;ترخيص دائم مدى الحياة
v327-084;licensing.isPerpetual;en-US;Perpetual Lifetime License
v327-085;licensing.gracePeriod;ar-EG;فترة السماح عند انقطاع الاتصال
v327-086;licensing.gracePeriod;en-US;Offline Grace Period
v327-087;licensing.daysRemaining;ar-EG;الأيام المتبقية
v327-088;licensing.daysRemaining;en-US;Days Remaining
v327-089;licensing.validateNow;ar-EG;التحقق الفوري من الشهادة
v327-090;licensing.validateNow;en-US;Validate Certificate Now
v327-091;licensing.certInstalled;ar-EG;تم تثبيت شهادة الترخيص الرقمية وتفعيلها بنجاح
v327-092;licensing.certInstalled;en-US;License certificate installed and activated successfully
v327-093;licensing.certValid;ar-EG;الشهادة الرقمية صالحة ومطابقة للتوقيع
v327-094;licensing.certValid;en-US;Digital certificate is valid and signature verified
v327-095;dr.minutes;ar-EG;دقيقة
v327-096;dr.minutes;en-US;min
v327-097;dr.drillsCount;ar-EG;اختبارات مسجلة
v327-098;dr.drillsCount;en-US;drills recorded
v327-099;diagnostics.ms;ar-EG;مللي ثانية
v327-100;diagnostics.ms;en-US;ms
v327-101;diagnostics.mb;ar-EG;ميغابايت
v327-102;diagnostics.mb;en-US;MB
v327-103;diagnostics.seconds;ar-EG;ثانية
v327-104;diagnostics.seconds;en-US;s
v327-105;licensing.seats;ar-EG;مقعد
v327-106;licensing.seats;en-US;Seats
v327-107;licensing.days;ar-EG;أيام
v327-108;licensing.days;en-US;days
v327-109;licensing.keyLabel;ar-EG;مفتاح الترخيص
v327-110;licensing.keyLabel;en-US;License Key
v327-111;licensing.verifiedEd25519;ar-EG;موثق بتوقيع Ed25519
v327-112;licensing.verifiedEd25519;en-US;Ed25519 Verified
