id;translation_key;locale;text_value
v367-001-en;nav.exportShipments;en-US;Export Shipments
v367-001-ar;nav.exportShipments;ar-EG;شحنات التصدير
v367-002-en;nav.exportShipmentsHint;en-US;Export shipments with COO, packing lists, phytosanitary docs and ACID tracking
v367-002-ar;nav.exportShipmentsHint;ar-EG;شحنات التصدير مع شهادة المنشأ وقوائم التعبئة والشهادات الصحية وتتبع ACID
v367-003-en;export.shipment;en-US;Shipment
v367-003-ar;export.shipment;ar-EG;الشحنة
v367-004-en;export.shipmentNumber;en-US;Shipment Number
v367-004-ar;export.shipmentNumber;ar-EG;رقم الشحنة
v367-005-en;export.customer;en-US;Customer
v367-005-ar;export.customer;ar-EG;العميل
v367-006-en;export.contractRef;en-US;Contract Ref
v367-006-ar;export.contractRef;ar-EG;مرجع العقد
v367-007-en;export.containerNo;en-US;Container No
v367-007-ar;export.containerNo;ar-EG;رقم الحاوية
v367-008-en;export.bookingNo;en-US;Booking No
v367-008-ar;export.bookingNo;ar-EG;رقم الحجز
v367-009-en;export.acidNo;en-US;ACID No
v367-009-ar;export.acidNo;ar-EG;رقم ACID
v367-010-en;export.portOfLoading;en-US;Port of Loading
v367-010-ar;export.portOfLoading;ar-EG;ميناء التحميل
v367-011-en;export.portOfDischarge;en-US;Port of Discharge
v367-011-ar;export.portOfDischarge;ar-EG;ميناء التفريغ
v367-012-en;export.etbDate;en-US;ETB Date
v367-012-ar;export.etbDate;ar-EG;تاريخ_ETB
v367-013-en;export.etaDate;en-US;ETA Date
v367-013-ar;export.etaDate;ar-EG;تاريخ_ETA
v367-014-en;export.status;en-US;Status
v367-014-ar;export.status;ar-EG;الحالة
v367-015-en;export.notes;en-US;Notes
v367-015-ar;export.notes;ar-EG;ملاحظات
v367-016-en;export.lines;en-US;Shipment Lines
v367-016-ar;export.lines;ar-EG;بنود الشحنة
v367-017-en;export.itemName;en-US;Item Name
v367-017-ar;export.itemName;ar-EG;اسم الصنف
v367-018-en;export.lotReference;en-US;Lot Reference
