id;translation_key;locale;text_value
v101-ar-001;action.expandAll;ar-EG;توسيع الكل
v101-en-001;action.expandAll;en-US;Expand all
v101-ar-002;login.invalidCredentials;ar-EG;اسم المستخدم أو كلمة المرور غير صحيحة
v101-en-002;login.invalidCredentials;en-US;Invalid username or password
v101-ar-003;login.sessionExpired;ar-EG;انتهت صلاحية الجلسة. يرجى تسجيل الدخول مرة أخرى.
v101-en-003;login.sessionExpired;en-US;Your session has expired. Please sign in again.
v101-ar-004;reports.thirtyDays;ar-EG;آخر 30 يومًا
v101-en-004;reports.thirtyDays;en-US;Last 30 days
v101-ar-005;settings.maxRecentlyUsed;ar-EG;الحد الأقصى لعدد العناصر المستخدمة مؤخراً
v101-en-005;settings.maxRecentlyUsed;en-US;Maximum recently used items
v101-ar-006;settings.resetFavorites;ar-EG;إعادة تعيين المفضلة
v101-en-006;settings.resetFavorites;en-US;Reset favorites
v101-ar-007;settings.sessionHint;ar-EG;اختر المدة التي تظل الجلسة فيها نشطة قبل انتهاء الصلاحية.
v101-en-007;settings.sessionHint;en-US;Choose how long a session stays active before timeout.
v101-ar-008;settings.sessionMinutes;ar-EG;مهلة انتهاء الجلسة (بالدقائق)
v101-en-008;settings.sessionMinutes;en-US;Session timeout (minutes)
v101-ar-009;settings.sessionTitle;ar-EG;الجلسة
v101-en-009;settings.sessionTitle;en-US;Session
