id;translation_key;locale;text_value
v334-001;policy.title;ar-EG;مجموعات السياسات والصلاحيات المتقدمة (PBAC)
v334-002;policy.title;en-US;Policy Groups & Granular Access Control (PBAC)
v334-003;policy.subtitle;ar-EG;إدارة الصلاحيات الديناميكية والمجموعات المخصصة وتحديد نطاقات الفروع ومراكز التكلفة
v334-004;policy.subtitle;en-US;Manage dynamic permissions, custom policy groups, and branch/cost-center scopes
v334-005;policy.createGroup;ar-EG;+ إنشاء مجموعة سياسات جديدة
v334-006;policy.createGroup;en-US;+ Create Policy Group
v334-007;policy.editGroup;ar-EG;تعديل مجموعة السياسات
v334-008;policy.editGroup;en-US;Edit Policy Group
v334-009;policy.deleteGroup;ar-EG;حذف مجموعة السياسات
v334-010;policy.deleteGroup;en-US;Delete Policy Group
v334-011;policy.groupName;ar-EG;اسم مجموعة السياسات
v334-012;policy.groupName;en-US;Policy Group Name
v334-013;policy.description;ar-EG;الوصف
v334-014;policy.description;en-US;Description
v334-015;policy.permissionsCount;ar-EG;عدد الصلاحيات الممنوحة
v334-016;policy.permissionsCount;en-US;Granted Permissions Count
v334-017;policy.assignedUsers;ar-EG;المستخدمون المعينون
v334-018;policy.assignedUsers;en-US;Assigned Users
v334-019;policy.matrixTitle;ar-EG;مصفوفة الصلاحيات التفصيلية
v334-020;policy.matrixTitle;en-US;Granular Permission Matrix
v334-021;policy.moduleAll;ar-EG;تحديد كل صلاحيات الموديول
v334-022;policy.moduleAll;en-US;Select All Module Permissions
v334-023;policy.selectAll;ar-EG;تحديد الكل
v334-024;policy.selectAll;en-US;Select All
v334-025;policy.deselectAll;ar-EG;إلغاء تحديد الكل
v334-026;policy.deselectAll;en-US;Deselect All
v334-027;policy.userAssignments;ar-EG;تعيين السياسات للمستخدمين
v334-028;policy.userAssignments;en-US;User Policy Assignments
v334-029;policy.assignScope;ar-EG;نطاق التطبيق
v334-030;policy.assignScope;en-US;Assignment Scope
v334-031;policy.scopeBranch;ar-EG;نطاق الفرع
v334-032;policy.scopeBranch;en-US;Branch Scope
v334-033;policy.scopeCostCenter;ar-EG;نطاق مركز التكلفة
v334-034;policy.scopeCostCenter;en-US;Cost Center Scope
v334-035;policy.savedSuccess;ar-EG;تم حفظ مجموعة السياسات بنجاح
v334-036;policy.savedSuccess;en-US;Policy group saved successfully
v334-037;policy.deletedSuccess;ar-EG;تم حذف مجموعة السياسات بنجاح
v334-038;policy.deletedSuccess;en-US;Policy group deleted successfully
v334-039;policy.assignedSuccess;ar-EG;تم تحديث تعيينات السياسات للمستخدم بنجاح
v334-040;policy.assignedSuccess;en-US;User policy assignments updated successfully
v334-041;policy.confirmDelete;ar-EG;هل أنت متأكد من حذف مجموعة السياسات هذه؟
v334-042;policy.confirmDelete;en-US;Are you sure you want to delete this policy group?
v334-043;policy.systemGroupHint;ar-EG;مجموعة نظام مدمجة - لا يمكن حذفها
v334-044;policy.systemGroupHint;en-US;System group - cannot be deleted
v334-045;policy.noGroups;ar-EG;لا توجد مجموعات سياسات معرفة حالياً
v334-046;policy.noGroups;en-US;No policy groups defined currently
v334-047;policy.searchPermissions;ar-EG;بحث في الصلاحيات والموديولات...
v334-048;policy.searchPermissions;en-US;Search permissions & modules...
v334-049;policy.effectivePermissions;ar-EG;الصلاحيات الفعلية المحتسبة
v334-050;policy.effectivePermissions;en-US;Calculated Effective Permissions
v334-051;policy.tabGroups;ar-EG;مجموعات السياسات
v334-052;policy.tabGroups;en-US;Policy Groups
v334-053;policy.tabMatrix;ar-EG;مصفوفة الصلاحيات
v334-054;policy.tabMatrix;en-US;Permission Matrix
v334-055;policy.tabAssignments;ar-EG;تخصيص المستخدمين
v334-056;policy.tabAssignments;en-US;User Assignments
v334-057;policy.branchAll;ar-EG;جميع الفروع (بدون تقييد)
v334-058;policy.branchAll;en-US;All Branches (Unrestricted)
v334-059;policy.costCenterAll;ar-EG;جميع مراكز التكلفة (بدون تقييد)
v334-060;policy.costCenterAll;en-US;All Cost Centers (Unrestricted)
