id;translation_key;locale;text_value
v242-001;PAYROLL_GL_POSTING_SERVER_MANAGED;en-US;Payroll GL posting is managed by the approved payroll lifecycle.
v242-002;PAYROLL_GL_POSTING_SERVER_MANAGED;ar-EG;يُدار ترحيل الرواتب إلى الأستاذ العام من خلال دورة الرواتب المعتمدة.
v242-003;RESERVATION_REPLAY_CONFLICT;en-US;A reservation replay must use the original quantity.
v242-004;RESERVATION_REPLAY_CONFLICT;ar-EG;يجب أن تستخدم إعادة طلب الحجز الكمية الأصلية نفسها.
v242-005;INVENTORY_VALUATION_LEGACY_DISABLED;en-US;The legacy valuation endpoint is disabled. Use the authoritative movement-cost valuation report.
v242-006;INVENTORY_VALUATION_LEGACY_DISABLED;ar-EG;تم تعطيل مسار التقييم القديم. استخدم تقرير تقييم تكاليف الحركات المعتمد.
v242-007;payroll.glPostingReference;en-US;Posted payroll journal
v242-008;payroll.glPostingReference;ar-EG;قيد الرواتب المُرحّل
v242-009;payroll.glPostingAmounts;en-US;Gross {gross} · Net {net}
v242-010;payroll.glPostingAmounts;ar-EG;الإجمالي {gross} · الصافي {net}
v242-011;financeWorkbench.reportReference;en-US;Report reference
v242-012;financeWorkbench.reportReference;ar-EG;مرجع التقرير
v242-013;payroll.fullMonthLifecycleNotice;en-US;Lifecycle actions apply to every employee and category in the selected month - category is a view filter only.
v242-014;payroll.fullMonthLifecycleNotice;ar-EG;تُطبق إجراءات دورة الرواتب على جميع الموظفين والفئات في الشهر المحدد؛ والفئة مجرد عامل تصفية للعرض.
