id;key;locale;value
v445-ar-001;workspace.serviceOps;ar-EG;الخدمات والتأجير والعمليات
v445-en-001;workspace.serviceOps;en-US;Service Operations & Rentals
v445-ar-002;nav.serviceOps;ar-EG;إدارة الخدمات والتأجير
v445-en-002;nav.serviceOps;en-US;Service Operations & Rentals
v445-ar-003;nav.serviceOpsHint;ar-EG;إدارة عقود التأجير وأوامر الشغل وحجوزات الموارد
v445-en-003;nav.serviceOpsHint;en-US;Manage rentals, work orders, and resource bookings
v445-ar-004;serviceOps.title;ar-EG;مركز العمليات والخدمات
v445-en-004;serviceOps.title;en-US;Service Operations Center
v445-ar-005;serviceOps.subtitle;ar-EG;إدارة متكاملة لعقود التأجير، أوامر الشغل، وحجوزات الموارد
v445-en-005;serviceOps.subtitle;en-US;Unified management for rental contracts, service work orders, and resource scheduling
v445-ar-006;serviceOps.tabRentals;ar-EG;عقود التأجير والمعدات
v445-en-006;serviceOps.tabRentals;en-US;Rentals & Equipment
v445-ar-007;serviceOps.tabWorkOrders;ar-EG;أوامر الشغل والصيانة
v445-en-007;serviceOps.tabWorkOrders;en-US;Work Orders
v445-ar-008;serviceOps.tabBookings;ar-EG;حجوزات الموارد
v445-en-008;serviceOps.tabBookings;en-US;Resource Bookings
v445-ar-009;rental.newItem;ar-EG;إضافة معدة تأجير
v445-en-009;rental.newItem;en-US;New Rental Item
v445-ar-010;rental.newContract;ar-EG;عقد تأجير جديد
v445-en-010;rental.newContract;en-US;New Rental Contract
v445-ar-011;rental.contractNo;ar-EG;رقم العقد
v445-en-011;rental.contractNo;en-US;Contract #
v445-ar-012;rental.item;ar-EG;المعدة / الأصل
v445-en-012;rental.item;en-US;Rental Item
v445-ar-013;rental.rateDaily;ar-EG;السعر اليومي
v445-en-013;rental.rateDaily;en-US;Daily Rate
v445-ar-014;rental.rateWeekly;ar-EG;السعر الأسبوعي
v445-en-014;rental.rateWeekly;en-US;Weekly Rate
v445-ar-015;rental.rateMonthly;ar-EG;السعر الشهري
v445-en-015;rental.rateMonthly;en-US;Monthly Rate
v445-ar-016;rental.deposit;ar-EG;التأمين المالي
v445-en-016;rental.deposit;en-US;Security Deposit
v445-ar-017;rental.damageFee;ar-EG;رسوم التلفيات / الأضرار
v445-en-017;rental.damageFee;en-US;Damage Fee
v445-ar-018;rental.returnAndClose;ar-EG;استلام وتسوية العقد
v445-en-018;rental.returnAndClose;en-US;Return & Settle Contract
v445-ar-019;rental.utilization;ar-EG;معدل تشغيل المعدات
v445-en-019;rental.utilization;en-US;Equipment Utilization
v445-ar-020;rental.activeContracts;ar-EG;العقود النشطة
v445-en-020;rental.activeContracts;en-US;Active Contracts
v445-ar-021;rental.overdueContracts;ar-EG;عقود متأخرة في الإرجاع
v445-en-021;rental.overdueContracts;en-US;Overdue Returns
