id;translation_key;locale;text_value
v270-001;workspace.projects;ar-EG;إدارة المشاريع والإنشاءات
v270-002;workspace.projects;en-US;Projects & Construction
v270-003;nav.projects;ar-EG;سجل المشاريع وهيكل العمل
v270-004;nav.projects;en-US;Projects & WBS Register
v270-005;nav.projectsHint;ar-EG;إدارة سجل المشاريع وهيكل تجزئة العمل وجداول الكميات والمقايسات WBS / BOQ
v270-006;nav.projectsHint;en-US;Manage project register, work breakdown structures, and BOQ items
v270-007;projects.title;ar-EG;سجل المشاريع وهيكل العمل
v270-008;projects.title;en-US;Projects & WBS Register
v270-009;projects.subtitle;ar-EG;إدارة المشاريع والمواقع والعقود ومخطط تجزئة العمل والمقايسة
v270-010;projects.subtitle;en-US;Manage construction projects, sites, contracts, and BOQ work breakdown
v270-011;projects.createProject;ar-EG;إضافة مشروع جديد
v270-012;projects.createProject;en-US;New Project
v270-013;projects.kpiTotal;ar-EG;إجمالي المشاريع
v270-014;projects.kpiTotal;en-US;Total Projects
v270-015;projects.kpiActive;ar-EG;المشاريع النشطة
v270-016;projects.kpiActive;en-US;Active Projects
v270-017;projects.kpiOnHold;ar-EG;المتوقفة مؤقتاً
v270-018;projects.kpiOnHold;en-US;On Hold
v270-019;projects.kpiCompleted;ar-EG;المشاريع المكتملة
v270-020;projects.kpiCompleted;en-US;Completed Projects
v270-021;projects.kpiContractValue;ar-EG;إجمالي قيمة العقود
v270-022;projects.kpiContractValue;en-US;Total Contract Value
v270-023;projects.kpiPlannedAmount;ar-EG;إجمالي المخطط (BOQ)
v270-024;projects.kpiPlannedAmount;en-US;Total Planned (BOQ)
v270-025;projects.searchPlaceholder;ar-EG;البحث في المشاريع بالكود أو الاسم أو الموقع...
v270-026;projects.searchPlaceholder;en-US;Search projects by code, name, site...
v270-027;projects.statusAll;ar-EG;كل الحالات
v270-028;projects.statusAll;en-US;All Statuses
v270-029;projects.statusDraft;ar-EG;مسودة
v270-030;projects.statusDraft;en-US;Draft
v270-031;projects.statusActive;ar-EG;نشط / جاري
v270-032;projects.statusActive;en-US;Active
v270-033;projects.statusOnHold;ar-EG;متوقف مؤقتاً
v270-034;projects.statusOnHold;en-US;On Hold
v270-035;projects.statusCompleted;ar-EG;مكتمل
v270-036;projects.statusCompleted;en-US;Completed
v270-037;projects.statusClosed;ar-EG;مغلق
v270-038;projects.statusClosed;en-US;Closed
v270-039;projects.code;ar-EG;كود المشروع
v270-040;projects.code;en-US;Project Code
v270-041;projects.name;ar-EG;اسم المشروع
v270-042;projects.name;en-US;Project Name
v270-043;projects.siteAddress;ar-EG;الموقع / العنوان
v270-044;projects.siteAddress;en-US;Site Address
v270-045;projects.contractValue;ar-EG;قيمة العقد
v270-046;projects.contractValue;en-US;Contract Value
v270-047;projects.plannedAmount;ar-EG;المبلغ المخطط (BOQ)
v270-048;projects.plannedAmount;en-US;Planned Amount (BOQ)
v270-049;projects.duration;ar-EG;مدة المشروع
v270-050;projects.duration;en-US;Duration
v270-051;projects.status;ar-EG;الحالة
v270-052;projects.status;en-US;Status
v270-053;projects.actions;ar-EG;الإجراءات
v270-054;projects.actions;en-US;Actions
v270-055;projects.openWorkbench;ar-EG;فتح منصة عمل المشروع
v270-056;projects.openWorkbench;en-US;Open Project Workbench
v270-057;projects.delete;ar-EG;حذف
v270-058;projects.delete;en-US;Delete
v270-059;projects.deleteConfirmTitle;ar-EG;تأكيد حذف المشروع
v270-060;projects.deleteConfirmTitle;en-US;Confirm Project Deletion
v270-061;projects.deleteConfirmMessage;ar-EG;هل أنت متأكد من حذف هذا المشروع المسودة؟ سيتم حذف جميع بنود هيكل العمل المرتبطة به نهائياً.
v270-062;projects.deleteConfirmMessage;en-US;Are you sure you want to delete this draft project? All associated WBS nodes will be permanently removed.
v270-063;projects.createTitle;ar-EG;إنشاء مشروع جديد
v270-064;projects.createTitle;en-US;Create New Project
v270-065;projects.formCode;ar-EG;كود المشروع
v270-066;projects.formCode;en-US;Project Code
v270-067;projects.formCodePlaceholder;ar-EG;مثال: PRJ-2026-001
v270-068;projects.formCodePlaceholder;en-US;e.g. PRJ-2026-001
v270-069;projects.formName;ar-EG;اسم المشروع بالعربية
v270-070;projects.formName;en-US;Project Name (Arabic)
v270-071;projects.formNamePlaceholder;ar-EG;مثال: إنشاء برج الأعمال الإداري
v270-072;projects.formNamePlaceholder;en-US;e.g. Business Tower Construction
v270-073;projects.formNameEn;ar-EG;اسم المشروع بالإنجليزية
v270-074;projects.formNameEn;en-US;Project Name (English)
v270-075;projects.formNameEnPlaceholder;ar-EG;e.g. Business Tower Construction
v270-076;projects.formNameEnPlaceholder;en-US;e.g. Business Tower Construction
v270-077;projects.formSiteAddress;ar-EG;موقع المشروع
v270-078;projects.formSiteAddress;en-US;Site Address
v270-079;projects.formSiteAddressPlaceholder;ar-EG;مثال: القطعة 14، الحي المالي، العاصمة الإدارية
v270-080;projects.formSiteAddressPlaceholder;en-US;e.g. Plot 14, Financial District
v270-081;projects.formContractNumber;ar-EG;رقم العقد
v270-082;projects.formContractNumber;en-US;Contract Number
v270-083;projects.formContractNumberPlaceholder;ar-EG;مثال: CNT-2026-089
v270-084;projects.formContractNumberPlaceholder;en-US;e.g. CNT-2026-089
v270-085;projects.formContractValue;ar-EG;قيمة العقد
v270-086;projects.formContractValue;en-US;Contract Value
v270-087;projects.formCurrency;ar-EG;العملة
v270-088;projects.formCurrency;en-US;Currency
v270-089;projects.formStartDate;ar-EG;تاريخ البدء
v270-090;projects.formStartDate;en-US;Start Date
v270-091;projects.formEndDate;ar-EG;تاريخ الانتهاء
v270-092;projects.formEndDate;en-US;End Date
v270-093;projects.formDescription;ar-EG;الوصف ونطاق العمل
v270-094;projects.formDescription;en-US;Description & Scope
v270-095;projects.formDescriptionPlaceholder;ar-EG;اكتب وصفاً مختصراً لنطاق عمل المشروع...
v270-096;projects.formDescriptionPlaceholder;en-US;Enter a brief description of the project scope...
v270-097;projects.formBudgetBlocking;ar-EG;إلزام مالي بالميزانية (منع التجاوز الصارم)
v270-098;projects.formBudgetBlocking;en-US;Budget Blocking (Strict Overspend Prevention)
v270-099;projects.loadError;ar-EG;تعذر تحميل بيانات المشاريع
v270-100;projects.loadError;en-US;Failed to load project data
v270-101;projects.createdSuccess;ar-EG;تم إنشاء المشروع بنجاح
v270-102;projects.createdSuccess;en-US;Project created successfully
v270-103;projects.createError;ar-EG;تعذر إنشاء المشروع
v270-104;projects.createError;en-US;Failed to create project
v270-105;projects.deletedSuccess;ar-EG;تم حذف المشروع بنجاح
v270-106;projects.deletedSuccess;en-US;Project deleted successfully
v270-107;projects.deleteError;ar-EG;تعذر حذف المشروع
v270-108;projects.deleteError;en-US;Failed to delete project
v270-109;projects.emptyTitle;ar-EG;لا توجد مشاريع مسجلة
v270-110;projects.emptyTitle;en-US;No projects registered
v270-111;projects.emptyDesc;ar-EG;ابدأ بإنشاء أول مشروع لإدارة هيكل العمل ومقايسات الكميات
v270-112;projects.emptyDesc;en-US;Start by creating your first project to manage WBS and BOQ items
v270-113;projects.loading;ar-EG;جارٍ تحميل بيانات المشروع...
v270-114;projects.loading;en-US;Loading project data...
v270-115;projects.backToProjects;ar-EG;العودة إلى سجل المشاريع
v270-116;projects.backToProjects;en-US;Back to Projects
v270-117;projects.actionActivate;ar-EG;تفعيل المشروع
v270-118;projects.actionActivate;en-US;Activate Project
v270-119;projects.actionHold;ar-EG;إيقاف مؤقت
v270-120;projects.actionHold;en-US;Hold Project
v270-121;projects.actionComplete;ar-EG;إكمال المشروع
v270-122;projects.actionComplete;en-US;Complete Project
v270-123;projects.actionClose;ar-EG;إغلاق المشروع
v270-124;projects.actionClose;en-US;Close Project
v270-125;projects.actionReopen;ar-EG;إعادة فتح المشروع
v270-126;projects.actionReopen;en-US;Reopen Project
v270-127;projects.tabWbs;ar-EG;هيكل العمل والمقايسة (WBS / BOQ)
v270-128;projects.tabWbs;en-US;WBS / BOQ Tree
v270-129;projects.tabOverview;ar-EG;نظرة عامة وبيانات العقد
v270-130;projects.tabOverview;en-US;Overview & Contract
