id;key;locale;text
v169-001;industryPack.tab;en-US;Industry pack
v169-002;industryPack.tab;ar-EG;حزمة النشاط
v169-003;industryPack.title;en-US;Industry pack and go-live
v169-004;industryPack.title;ar-EG;حزمة النشاط والاستعداد للتشغيل
v169-005;industryPack.description;en-US;Install versioned defaults and follow the relevant onboarding path
v169-006;industryPack.description;ar-EG;ثبّت الإعدادات ذات الإصدار واتبع مسار التجهيز المناسب
v169-007;industryPack.contractorWorkforce.name;en-US;Egypt contractor workforce
v169-008;industryPack.contractorWorkforce.name;ar-EG;عمالة المقاولين في مصر
v169-009;industryPack.contractorWorkforce.description;en-US;Contractors workers attendance advances settlements invoices and payments
v169-010;industryPack.contractorWorkforce.description;ar-EG;المقاولون والعمال والحضور والسلف والتسويات والفواتير والمدفوعات
v169-011;industryPack.install;en-US;Install pack
v169-012;industryPack.install;ar-EG;تثبيت الحزمة
v169-013;industryPack.installed;en-US;Installed
v169-014;industryPack.installed;ar-EG;مثبتة
v169-015;industryPack.version;en-US;Version
v169-016;industryPack.version;ar-EG;الإصدار
v169-017;industryPack.requiredModules;en-US;Required modules
v169-018;industryPack.requiredModules;ar-EG;الوحدات المطلوبة
v169-019;industryPack.onboarding;en-US;Go-live checklist
v169-020;industryPack.onboarding;ar-EG;قائمة الاستعداد للتشغيل
v169-021;industryPack.complete;en-US;Complete
v169-022;industryPack.complete;ar-EG;إكمال
v169-023;industryPack.skip;en-US;Skip optional
v169-024;industryPack.skip;ar-EG;تخطي الاختياري
v169-025;industryPack.ready;en-US;Ready
v169-026;industryPack.ready;ar-EG;جاهز
v169-027;industryPack.blocked;en-US;Blocked by prerequisite
v169-028;industryPack.blocked;ar-EG;محجوب بمتطلب سابق
v169-029;industryPack.kpis;en-US;Default KPIs
v169-030;industryPack.kpis;ar-EG;مؤشرات الأداء الافتراضية
v169-031;industryPack.roles;en-US;Default roles
v169-032;industryPack.roles;ar-EG;الأدوار الافتراضية
v169-033;industryPack.importTemplates;en-US;Import templates
v169-034;industryPack.importTemplates;ar-EG;قوالب الاستيراد
v169-035;industryPack.installSuccess;en-US;Industry pack installed
v169-036;industryPack.installSuccess;ar-EG;تم تثبيت حزمة النشاط
v169-037;industryPack.step.company;en-US;Confirm company and sites
v169-038;industryPack.step.company;ar-EG;تأكيد الشركة والمواقع
v169-039;industryPack.step.contractors;en-US;Create contractors
v169-040;industryPack.step.contractors;ar-EG;إنشاء المقاولين
v169-041;industryPack.step.categories;en-US;Configure worker categories and rates
v169-042;industryPack.step.categories;ar-EG;ضبط فئات العمال والأسعار
v169-043;industryPack.step.workers;en-US;Import workers
v169-044;industryPack.step.workers;ar-EG;استيراد العمال
v169-045;industryPack.step.attendance;en-US;Import and review attendance
v169-046;industryPack.step.attendance;ar-EG;استيراد ومراجعة الحضور
v169-047;industryPack.step.settlement;en-US;Run the first settlement
v169-048;industryPack.step.settlement;ar-EG;تشغيل أول تسوية
v169-049;INDUSTRY_PACK_NOT_FOUND;en-US;Industry pack was not found
v169-050;INDUSTRY_PACK_NOT_FOUND;ar-EG;حزمة النشاط غير موجودة
v169-051;INDUSTRY_PACK_STEP_BLOCKED;en-US;Complete the prerequisite onboarding step first
v169-052;INDUSTRY_PACK_STEP_BLOCKED;ar-EG;أكمل خطوة التجهيز السابقة أولاً
v169-053;INDUSTRY_PACK_STEP_NOT_FOUND;en-US;Onboarding step was not found
v169-054;INDUSTRY_PACK_STEP_NOT_FOUND;ar-EG;خطوة التجهيز غير موجودة
v169-055;INDUSTRY_PACK_STEP_NOT_OPTIONAL;en-US;Only optional onboarding steps can be skipped
v169-056;INDUSTRY_PACK_STEP_NOT_OPTIONAL;ar-EG;يمكن تخطي خطوات التجهيز الاختيارية فقط
v169-057;INDUSTRY_PACK_SETTINGS_INVALID;en-US;Industry pack settings are not valid JSON
v169-058;INDUSTRY_PACK_SETTINGS_INVALID;ar-EG;إعدادات حزمة النشاط ليست JSON صالحاً
v169-059;industryPack.settings;en-US;Pack settings JSON
v169-060;industryPack.settings;ar-EG;إعدادات الحزمة JSON
v169-061;industryPack.saveSettings;en-US;Save custom settings
v169-062;industryPack.saveSettings;ar-EG;حفظ الإعدادات المخصصة
v169-063;industryPack.settingsSaved;en-US;Industry pack settings saved
v169-064;industryPack.settingsSaved;ar-EG;تم حفظ إعدادات حزمة النشاط
v169-065;industryPack.goLiveReady;en-US;Ready for go-live
v169-066;industryPack.goLiveReady;ar-EG;جاهز للتشغيل
v169-067;industryPack.step.advances;en-US;Configure advances and deductions
v169-068;industryPack.step.advances;ar-EG;ضبط السلف والخصومات
v169-069;industryPack.upgrade;en-US;Apply non-destructive upgrade
v169-070;industryPack.upgrade;ar-EG;تطبيق ترقية غير مدمرة
v169-071;industryPack.upgradeSuccess;en-US;Industry pack upgraded without replacing custom settings
v169-072;industryPack.upgradeSuccess;ar-EG;تمت ترقية الحزمة دون استبدال الإعدادات المخصصة
