id;key;locale;text
v155-ar-001;operations.valuation.totalValue;ar-EG;إجمالي قيمة المخزون
v155-en-001;operations.valuation.totalValue;en-US;Total inventory value
v155-ar-002;operations.valuation.title;ar-EG;تقييم المخزون
v155-en-002;operations.valuation.title;en-US;Inventory valuation
v155-ar-003;operations.valuation.description;ar-EG;تكلفة قابلة للتدقيق لكل حركة مع ربط تلقائي بدفتر الأستاذ
v155-en-003;operations.valuation.description;en-US;Auditable cost per movement with automatic general-ledger linkage
v155-ar-004;operations.valuation.settings;ar-EG;إعدادات التقييم
v155-en-004;operations.valuation.settings;en-US;Valuation settings
v155-ar-005;operations.valuation.revalue;ar-EG;إعادة تقييم
v155-en-005;operations.valuation.revalue;en-US;Revalue
v155-ar-006;operations.valuation.fifo;ar-EG;الوارد أولاً يصرف أولاً
v155-en-006;operations.valuation.fifo;en-US;FIFO
v155-ar-007;operations.valuation.weightedAverage;ar-EG;المتوسط المرجح
v155-en-007;operations.valuation.weightedAverage;en-US;Weighted average
v155-ar-008;operations.valuation.onHand;ar-EG;الكمية المتاحة
v155-en-008;operations.valuation.onHand;en-US;On-hand quantity
v155-ar-009;operations.valuation.averageCost;ar-EG;متوسط تكلفة الوحدة
v155-en-009;operations.valuation.averageCost;en-US;Average unit cost
v155-ar-010;operations.valuation.inventoryValue;ar-EG;قيمة المخزون
v155-en-010;operations.valuation.inventoryValue;en-US;Inventory value
v155-ar-011;operations.valuation.openingGap;ar-EG;فرق الكمية الافتتاحية
v155-en-011;operations.valuation.openingGap;en-US;Opening quantity gap
v155-ar-012;operations.valuation.empty;ar-EG;لا توجد أصناف مخزون لتقييمها
v155-en-012;operations.valuation.empty;en-US;No inventory items are available for valuation
v155-ar-013;operations.valuation.unitCost;ar-EG;تكلفة الوحدة
v155-en-013;operations.valuation.unitCost;en-US;Unit cost
v155-ar-014;operations.valuation.unitCostHint;ar-EG;مطلوبة لأول استلام عند تفعيل الترحيل المالي
v155-en-014;operations.valuation.unitCostHint;en-US;Required for the first receipt when GL posting is enabled
v155-ar-015;operations.valuation.method;ar-EG;طريقة التقييم
v155-en-015;operations.valuation.method;en-US;Valuation method
v155-ar-016;operations.valuation.glPosting;ar-EG;ترحيل أثر المخزون تلقائياً إلى دفتر الأستاذ
v155-en-016;operations.valuation.glPosting;en-US;Post inventory effects automatically to the general ledger
v155-ar-017;operations.valuation.inventoryAccount;ar-EG;حساب المخزون
v155-en-017;operations.valuation.inventoryAccount;en-US;Inventory account
v155-ar-018;operations.valuation.receiptOffsetAccount;ar-EG;الحساب المقابل للاستلام
v155-en-018;operations.valuation.receiptOffsetAccount;en-US;Receipt offset account
v155-ar-019;operations.valuation.cogsAccount;ar-EG;حساب تكلفة المبيعات
v155-en-019;operations.valuation.cogsAccount;en-US;Cost of goods sold account
v155-ar-020;operations.valuation.adjustmentAccount;ar-EG;حساب فروق وتسويات المخزون
v155-en-020;operations.valuation.adjustmentAccount;en-US;Inventory variance and adjustment account
