id;translation_key;locale;text_value
v378-001-en;reports.scheduledDelivery;en-US;Scheduled Delivery
v378-001-ar;reports.scheduledDelivery;ar-EG;التوصيل المجدول
v378-002-en;reports.scheduledDeliveryHint;en-US;Automatically deliver reports via email or WhatsApp
v378-002-ar;reports.scheduledDeliveryHint;ar-EG;توصيل التقارير تلقائياً عبر البريد الإلكتروني أو واتساب
v378-003-en;reports.scheduleName;en-US;Schedule Name
v378-003-ar;reports.scheduleName;ar-EG;اسم الجدولة
v378-004-en;reports.reportType;en-US;Report Type
v378-004-ar;reports.reportType;ar-EG;نوع التقرير
v378-005-en;reports.channel;en-US;Channel
v378-005-ar;reports.channel;ar-EG;القناة
v378-006-en;reports.recipients;en-US;Recipients
v378-006-ar;reports.recipients;ar-EG;المستلمون
v378-007-en;reports.cadence;en-US;Cadence
v378-007-ar;reports.cadence;ar-EG;التكرار
v378-008-en;reports.timeOfDay;en-US;Time of Day
v378-008-ar;reports.timeOfDay;ar-EG;وقت التنفيذ
v378-009-en;reports.daily;en-US;Daily
v378-009-ar;reports.daily;ar-EG;يومي
v378-010-en;reports.weekly;en-US;Weekly
v378-010-ar;reports.weekly;ar-EG;أسبوعي
v378-011-en;reports.monthlyCron;en-US;Monthly
v378-011-ar;reports.monthlyCron;ar-EG;شهري
v378-012-en;reports.lastRun;en-US;Last Run
v378-012-ar;reports.lastRun;ar-EG;آخر تشغيل
v378-013-en;reports.lastStatus;en-US;Status
v378-013-ar;reports.lastStatus;ar-EG;الحالة
v378-014-en;reports.runNow;en-US;Run Now
v378-014-ar;reports.runNow;ar-EG;تشغيل الآن
v378-015-en;reports.noSchedules;en-US;No scheduled deliveries configured
v378-015-ar;reports.noSchedules;ar-EG;لا توجد توصيلات مجدولة
v378-016-en;reports.createSchedule;en-US;Create Schedule
v378-016-ar;reports.createSchedule;ar-EG;إنشاء جدولة
v378-017-en;reports.scheduleCreated;en-US;Schedule created successfully
v378-017-ar;reports.scheduleCreated;ar-EG;تم إنشاء الجدولة بنجاح
v378-018-en;reports.scheduleUpdated;en-US;Schedule updated successfully
v378-018-ar;reports.scheduleUpdated;ar-EG;تم تحديث الجدولة بنجاح
v378-019-en;reports.scheduleDeleted;en-US;Schedule deleted
v378-019-ar;reports.scheduleDeleted;ar-EG;تم حذف الجدولة
v378-020-en;reports.runStarted;en-US;Schedule run started
v378-020-ar;reports.runStarted;ar-EG;بدأ تشغيل الجدولة
v378-021-en;reports.success;en-US;Success
v378-021-ar;reports.success;ar-EG;نجح
v378-022-en;reports.failed;en-US;Failed
v378-022-ar;reports.failed;ar-EG;فشل
v378-023-en;reports.skipped;en-US;Skipped
v378-023-ar;reports.skipped;ar-EG;متخطى
v378-024-en;reports.consecutiveFailures;en-US;Consecutive Failures
v378-024-ar;reports.consecutiveFailures;ar-EG;فشل متتالي
v378-025-en;reports.autoDisabled;en-US;Auto-disabled after 5 failures
v378-025-ar;reports.autoDisabled;ar-EG;تم التعطيل تلقائياً بعد 5 فشلات
