id;translation_key;locale;text_value
v277-001;tenders.title;ar-EG;إدارة المناقصات والمنافسات
v277-002;tenders.title;en-US;Tender & Competition Management
v277-003;tenders.subtitle;ar-EG;تسجيل المنافسات وتحديد نوعها (داخلية/خارجية) وإدارة العطاءات والتقييم الفني والمالي والترسية
v277-004;tenders.subtitle;en-US;Tender registration (internal/external), bidding, technical & financial evaluation, and award
v277-005;tenders.createTender;ar-EG;إنشاء مناقصة جديدة
v277-006;tenders.createTender;en-US;Create New Tender
v277-007;tenders.editTender;ar-EG;تعديل بيانات المناقصة
v277-008;tenders.editTender;en-US;Edit Tender Details
v277-009;tenders.deleteTender;ar-EG;حذف المناقصة
v277-010;tenders.deleteTender;en-US;Delete Tender
v277-011;tenders.tenderNumber;ar-EG;رقم المناقصة
v277-012;tenders.tenderNumber;en-US;Tender Number
v277-013;tenders.tenderType;ar-EG;نوع المنافسة
v277-014;tenders.tenderType;en-US;Tender Type
v277-015;tenders.typeInternal;ar-EG;منافسة داخلية (مقاولين باطن)
v277-016;tenders.typeInternal;en-US;Internal Subcontractor Competition
v277-017;tenders.typeExternal;ar-EG;مناقصة خارجية (عملاء ومشاريع)
v277-018;tenders.typeExternal;en-US;External Client Tender
v277-019;tenders.statusDraft;ar-EG;مسودة
v277-020;tenders.statusDraft;en-US;Draft
v277-021;tenders.statusPublished;ar-EG;مطروحة للمنافسة
v277-022;tenders.statusPublished;en-US;Published
v277-023;tenders.statusEvaluation;ar-EG;قيد التقييم والدراسة
v277-024;tenders.statusEvaluation;en-US;Under Evaluation
v277-025;tenders.statusAwarded;ar-EG;تمت الترسية
v277-026;tenders.statusAwarded;en-US;Awarded
v277-027;tenders.statusCancelled;ar-EG;ملغاة
v277-028;tenders.statusCancelled;en-US;Cancelled
v277-029;tenders.submissionDeadline;ar-EG;الموعد النهائي لتقديم العطاءات
v277-030;tenders.submissionDeadline;en-US;Submission Deadline
v277-031;tenders.estimatedValue;ar-EG;القيمة التقديرية (المقايسة)
v277-032;tenders.estimatedValue;en-US;Estimated Budget Value
v277-033;tenders.technicalWeight;ar-EG;وزن التقييم الفني %
v277-034;tenders.technicalWeight;en-US;Technical Weight %
v277-035;tenders.financialWeight;ar-EG;وزن التقييم المالي %
v277-036;tenders.financialWeight;en-US;Financial Weight %
v277-037;tenders.bidBondRequired;ar-EG;طلب خطاب ضمان ابتدائي (تأمين مؤقت)
v277-038;tenders.bidBondRequired;en-US;Bid Bond Required
v277-039;tenders.bidBondAmount;ar-EG;قيمة التأمين الابتدائي
v277-040;tenders.bidBondAmount;en-US;Bid Bond Amount
v277-041;tenders.bidBondValidity;ar-EG;صلاحية التأمين (أيام)
v277-042;tenders.bidBondValidity;en-US;Bond Validity (Days)
v277-043;tenders.bidBondNumber;ar-EG;رقم خطاب الضمان
v277-044;tenders.bidBondNumber;en-US;Bid Bond Number
v277-045;tenders.bidBondReceived;ar-EG;تم استلام خطاب الضمان
v277-046;tenders.bidBondReceived;en-US;Bid Bond Received
v277-047;tenders.tabOverview;ar-EG;البيانات العامة
v277-048;tenders.tabOverview;en-US;Overview & Terms
v277-049;tenders.tabBoq;ar-EG;جدول الكميات والمواصفات (BOQ)
v277-050;tenders.tabBoq;en-US;Tender BOQ Items
v277-051;tenders.tabBidders;ar-EG;المتنافسون والعطاءات المقدمة
v277-052;tenders.tabBidders;en-US;Bidders & Submissions
v277-053;tenders.tabEvaluation;ar-EG;مصفوفة التقييم والمفاضلة
v277-054;tenders.tabEvaluation;en-US;Evaluation Matrix & Ranking
v277-055;tenders.tabClarifications;ar-EG;الاستفسارات والملاحق الفنية (Addenda)
v277-056;tenders.tabClarifications;en-US;Clarifications & Addenda
v277-057;tenders.tabAward;ar-EG;الترسية والتعاقد
v277-058;tenders.tabAward;en-US;Award & Contract
v277-059;tenders.addBoqItem;ar-EG;إضافة بند مقايسة
v277-060;tenders.addBoqItem;en-US;Add BOQ Item
v277-061;tenders.editBoqItem;ar-EG;تعديل بند المقايسة
v277-062;tenders.editBoqItem;en-US;Edit BOQ Item
v277-063;tenders.deleteBoqItem;ar-EG;حذف بند المقايسة
v277-064;tenders.deleteBoqItem;en-US;Delete BOQ Item
v277-065;tenders.itemCode;ar-EG;كود البند
v277-066;tenders.itemCode;en-US;Item Code
v277-067;tenders.estimatedRate;ar-EG;الفئة التقديرية
v277-068;tenders.estimatedRate;en-US;Estimated Rate
v277-069;tenders.estimatedAmount;ar-EG;الإجمالي التقديري
v277-070;tenders.estimatedAmount;en-US;Estimated Total
v277-071;tenders.inviteBidder;ar-EG;دعوة متنافس / مقاول
v277-072;tenders.inviteBidder;en-US;Invite Bidder
v277-073;tenders.bidderName;ar-EG;اسم المتنافس / الشركة
