id;translation_key;locale;text_value
v346-001-en;ATT_SELFIE_OPERATION_TAKEN;en-US;This operation id was already used by another employee.
v346-001-ar;ATT_SELFIE_OPERATION_TAKEN;ar-EG;معرّف العملية هذا مستخدم بالفعل من موظف آخر.
v346-002-en;ATT_SELFIE_EMPLOYEE_NOT_LINKED;en-US;No employee record is linked to the signed-in user.
v346-002-ar;ATT_SELFIE_EMPLOYEE_NOT_LINKED;ar-EG;لا يوجد ملف موظف مرتبط بالمستخدم الحالي.
v346-003-en;ATT_SELFIE_IMAGE_REQUIRED;en-US;A selfie image is required.
v346-003-ar;ATT_SELFIE_IMAGE_REQUIRED;ar-EG;صورة السيلفي مطلوبة.
v346-004-en;ATT_SELFIE_IMAGE_INVALID;en-US;The selfie image payload is invalid.
v346-004-ar;ATT_SELFIE_IMAGE_INVALID;ar-EG;بيانات صورة السيلفي غير صالحة.
v346-005-en;ATT_SELFIE_IMAGE_TOO_LARGE;en-US;The selfie image must not exceed 2 MB.
v346-005-ar;ATT_SELFIE_IMAGE_TOO_LARGE;ar-EG;يجب ألا تتجاوز صورة السيلفي 2 ميجابايت.
v346-006-en;native.serverSetupTitle;en-US;Connect to your company server
v346-006-ar;native.serverSetupTitle;ar-EG;الاتصال بخادم شركتك
v346-007-en;native.serverSetupHint;en-US;Enter the address your company gave you. You only need to do this once.
v346-007-ar;native.serverSetupHint;ar-EG;أدخل العنوان الذي توفرت عليه شركتك. تحتاج لذلك مرة واحدة فقط.
v346-008-en;native.serverUrlLabel;en-US;Server address
v346-008-ar;native.serverUrlLabel;ar-EG;عنوان الخادم
v346-009-en;native.probing;en-US;Checking…
v346-009-ar;native.probing;ar-EG;جارٍ التحقق…
v346-010-en;native.connect;en-US;Connect
v346-010-ar;native.connect;ar-EG;اتصال
v346-011-en;native.probeInvalidUrl;en-US;Please enter a valid server address starting with http or https.
v346-011-ar;native.probeInvalidUrl;ar-EG;يرجى إدخال عنوان خادم صحيح يبدأ بـ http أو https.
v346-012-en;native.probeNotBemoServer;en-US;That address did not answer like a Bemo ERP server.
v346-012-ar;native.probeNotBemoServer;ar-EG;هذا العنوان لا يستجيب كخادم Bemo ERP.
v346-013-en;native.probeUnreachable;en-US;Could not reach the server. Check the address and your connection.
v346-013-ar;native.probeUnreachable;ar-EG;تعذر الوصول إلى الخادم. تحقق من العنوان والاتصال.
v346-014-en;native.serverSaved;en-US;Server connected successfully.
v346-014-ar;native.serverSaved;ar-EG;تم الاتصال بالخادم بنجاح.
v346-015-en;native.exitMessage;en-US;Exit Bemo ERP?
v346-015-ar;native.exitMessage;ar-EG;الخروج من Bemo ERP؟
v346-016-en;native.scan;en-US;Scan
v346-016-ar;native.scan;ar-EG;مسح
v346-017-en;native.scanPrompt;en-US;Enter or scan a barcode
v346-017-ar;native.scanPrompt;ar-EG;أدخل الباركود أو امسحه
v346-018-en;native.barcodePlaceholder;en-US;Scan or type a barcode…
v346-018-ar;native.barcodePlaceholder;ar-EG;امسح أو اكتب الباركود…
v346-019-en;operations.itemCode;en-US;Item Code
v346-019-ar;operations.itemCode;ar-EG;رمز الصنف
v346-020-en;operations.itemName;en-US;Item Name
v346-020-ar;operations.itemName;ar-EG;اسم الصنف
v346-021-en;attendance.selfieEyebrow;en-US;Self-service
v346-021-ar;attendance.selfieEyebrow;ar-EG;الخدمة الذاتية
v346-022-en;attendance.selfieTitle;en-US;Selfie punch
v346-022-ar;attendance.selfieTitle;ar-EG;بصمة بالصورة
v346-023-en;attendance.selfieHint;en-US;Take a quick photo to record your attendance. Works offline — it syncs automatically.
v346-023-ar;attendance.selfieHint;ar-EG;التقط صورة سريعة لتسجيل حضورك. تعمل دون اتصال وتُزامن تلقائياً.
v346-024-en;attendance.selfiePreviewAlt;en-US;Captured selfie preview
v346-024-ar;attendance.selfiePreviewAlt;ar-EG;معاينة الصورة الملتقطة
v346-025-en;attendance.selfieEmpty;en-US;No photo captured yet.
v346-025-ar;attendance.selfieEmpty;ar-EG;لم يتم التقاط صورة بعد.
v346-026-en;attendance.selfieCapture;en-US;Capture
v346-026-ar;attendance.selfieCapture;ar-EG;التقاط
v346-027-en;attendance.selfieSubmit;en-US;Record punch
v346-027-ar;attendance.selfieSubmit;ar-EG;تسجيل البصمة
v346-028-en;attendance.selfiePendingNotice;en-US;punch(es) waiting to sync:
v346-028-ar;attendance.selfiePendingNotice;ar-EG;بصمة في انتظار المزامنة:
v346-029-en;attendance.selfiePunchSuccess;en-US;Your punch was recorded.
v346-029-ar;attendance.selfiePunchSuccess;ar-EG;تم تسجيل بصمتك.
v346-030-en;attendance.selfieQueuedOffline;en-US;You appear to be offline. The punch will sync automatically.
v346-030-ar;attendance.selfieQueuedOffline;ar-EG;يبدو أنك غير متصل. ستتم مزامنة البصمة تلقائياً.
v346-031-en;attendance.selfieCaptureFailed;en-US;Could not capture a photo. Please try again.
v346-031-ar;attendance.selfieCaptureFailed;ar-EG;تعذر التقاط الصورة. حاول مرة أخرى.
v346-032-en;attendance.selfieTooLarge;en-US;The photo exceeds 2 MB. Please retake it.
v346-032-ar;attendance.selfieTooLarge;ar-EG;حجم الصورة يتجاوز 2 ميجابايت. أعد التصوير.
v346-033-en;native.biometricReason;en-US;Unlock Bemo ERP
v346-033-ar;native.biometricReason;ar-EG;فتح Bemo ERP
