id;translation_key;locale;text_value
v146-001-en;deviceIntegrations.open;en-US;Device integrations
v146-001-ar;deviceIntegrations.open;ar-EG;تكامل الأجهزة
v146-002-en;deviceIntegrations.title;en-US;Biometric & Access Device Integrations
v146-002-ar;deviceIntegrations.title;ar-EG;تكامل أجهزة البصمة والتحكم في الدخول
v146-003-en;deviceIntegrations.description;en-US;Version-aware integrations for supported biometric and access-control suppliers.
v146-003-ar;deviceIntegrations.description;ar-EG;تكاملات واعية بالإصدار لموردي أجهزة البصمة والتحكم في الدخول المدعومين.
v146-004-en;deviceIntegrations.add;en-US;Add device
v146-004-ar;deviceIntegrations.add;ar-EG;إضافة جهاز
v146-005-en;deviceIntegrations.backImports;en-US;Attendance imports
v146-005-ar;deviceIntegrations.backImports;ar-EG;استيراد الحضور
v146-006-en;deviceIntegrations.resolve;en-US;Check compatibility
v146-006-ar;deviceIntegrations.resolve;ar-EG;فحص التوافق
v146-007-en;deviceIntegrations.routeMustBeCompatible;en-US;Select a COMPATIBLE integration route first.
v146-007-ar;deviceIntegrations.routeMustBeCompatible;ar-EG;اختر مسار تكامل متوافق أولاً.
v146-008-en;deviceIntegrations.saved;en-US;Device integration saved.
v146-008-ar;deviceIntegrations.saved;ar-EG;تم حفظ تكامل الجهاز.
v146-009-en;deviceIntegrations.probeSuccess;en-US;Connection test succeeded.
v146-009-ar;deviceIntegrations.probeSuccess;ar-EG;نجح اختبار الاتصال.
v146-010-en;deviceIntegrations.docs;en-US;Official docs ↗
v146-010-ar;deviceIntegrations.docs;ar-EG;التوثيق الرسمي ↗
v146-011-en;deviceIntegrations.bridgeWarning;en-US;Vendor SDK/API completion may still be required for event retrieval.
v146-011-ar;deviceIntegrations.bridgeWarning;ar-EG;قد يلزم استكمال SDK/API الخاص بالمورد لقراءة سجلات الحضور.
v146-012-en;deviceIntegrations.versionAware;en-US;Model + firmware + API/SDK version aware
v146-012-ar;deviceIntegrations.versionAware;ar-EG;مطابقة الموديل + الفيرموير + إصدار API/SDK
v146-013-en;deviceIntegrations.actions;en-US;Actions
v146-013-ar;deviceIntegrations.actions;ar-EG;الإجراءات
v146-014-en;deviceIntegrations.addTitle;en-US;Add device integration
v146-014-ar;deviceIntegrations.addTitle;ar-EG;إضافة تكامل جهاز
v146-015-en;deviceIntegrations.advanced;en-US;Version & SDK/API details
v146-015-ar;deviceIntegrations.advanced;ar-EG;تفاصيل الإصدارات وSDK/API
v146-016-en;deviceIntegrations.apiVersions;en-US;API versions (route=version)
v146-016-ar;deviceIntegrations.apiVersions;ar-EG;إصدارات API (route=version)
v146-017-en;deviceIntegrations.arch;en-US;Architecture
v146-017-ar;deviceIntegrations.arch;ar-EG;المعمارية
v146-018-en;deviceIntegrations.authHeader;en-US;API-key header name
v146-018-ar;deviceIntegrations.authHeader;ar-EG;اسم ترويسة API Key
v146-019-en;deviceIntegrations.authMode;en-US;API authentication
v146-019-ar;deviceIntegrations.authMode;ar-EG;مصادقة API
v146-020-en;deviceIntegrations.authVendorSpecific;en-US;Vendor specific / none
v146-020-ar;deviceIntegrations.authVendorSpecific;ar-EG;حسب المورد / بدون
v146-021-en;deviceIntegrations.autoSync;en-US;Enable scheduled attendance sync
v146-021-ar;deviceIntegrations.autoSync;ar-EG;تفعيل المزامنة الدورية للحضور
v146-022-en;deviceIntegrations.baseUrl;en-US;API / platform base URL
v146-022-ar;deviceIntegrations.baseUrl;ar-EG;رابط API / المنصة
v146-023-en;deviceIntegrations.capabilities;en-US;Capability hints
v146-023-ar;deviceIntegrations.capabilities;ar-EG;إشارات القدرات
v146-024-en;deviceIntegrations.checking;en-US;Checking…
v146-024-ar;deviceIntegrations.checking;ar-EG;جارٍ التحقق…
v146-025-en;deviceIntegrations.device;en-US;Device
v146-025-ar;deviceIntegrations.device;ar-EG;الجهاز
v146-026-en;deviceIntegrations.devices;en-US;Configured devices
v146-026-ar;deviceIntegrations.devices;ar-EG;الأجهزة المهيأة
v146-027-en;deviceIntegrations.devicesHint;en-US;Each device is pinned to a route only after version compatibility is verified.
v146-027-ar;deviceIntegrations.devicesHint;ar-EG;يتم تثبيت مسار الجهاز فقط بعد التحقق من توافق الإصدار.
v146-028-en;deviceIntegrations.editTitle;en-US;Edit device integration
v146-028-ar;deviceIntegrations.editTitle;ar-EG;تعديل تكامل الجهاز
v146-029-en;deviceIntegrations.empty;en-US;No multi-vendor devices configured yet.
v146-029-ar;deviceIntegrations.empty;ar-EG;لا توجد أجهزة متعددة الموردين مهيأة بعد.
v146-030-en;deviceIntegrations.eyebrow;en-US;ATTENDANCE · DEVICE CONNECTIVITY
v146-030-ar;deviceIntegrations.eyebrow;ar-EG;الحضور · ربط الأجهزة
v146-031-en;deviceIntegrations.firmware;en-US;Firmware version
v146-031-ar;deviceIntegrations.firmware;ar-EG;إصدار الفيرموير
v146-032-en;deviceIntegrations.host;en-US;Device host/IP
v146-032-ar;deviceIntegrations.host;ar-EG;عنوان الجهاز/IP
v146-033-en;deviceIntegrations.hubStatus;en-US;Integration hub
v146-033-ar;deviceIntegrations.hubStatus;ar-EG;خدمة التكامل
v146-034-en;deviceIntegrations.implementation;en-US;Implementation
v146-034-ar;deviceIntegrations.implementation;ar-EG;حالة التنفيذ
v146-035-en;deviceIntegrations.interval;en-US;Sync every (minutes)
v146-035-ar;deviceIntegrations.interval;ar-EG;المزامنة كل (دقيقة)
v146-036-en;deviceIntegrations.keepPassword;en-US;Leave blank to keep the existing password.
v146-036-ar;deviceIntegrations.keepPassword;ar-EG;اتركها فارغة للاحتفاظ بكلمة المرور الحالية.
v146-037-en;deviceIntegrations.model;en-US;Model
v146-037-ar;deviceIntegrations.model;ar-EG;الموديل
v146-038-en;deviceIntegrations.name;en-US;Device name
v146-038-ar;deviceIntegrations.name;ar-EG;اسم الجهاز
v146-039-en;deviceIntegrations.normalizedPunches;en-US;Normalized into Bortqala attendance
v146-039-ar;deviceIntegrations.normalizedPunches;ar-EG;توحيد السجلات داخل حضور برتقالة
v146-040-en;deviceIntegrations.offline;en-US;Unavailable
v146-040-ar;deviceIntegrations.offline;ar-EG;غير متاح
v146-041-en;deviceIntegrations.online;en-US;Online
v146-041-ar;deviceIntegrations.online;ar-EG;متصل
v146-042-en;deviceIntegrations.options;en-US;Other advanced adapter options (JSON)
v146-042-ar;deviceIntegrations.options;ar-EG;خيارات المحول المتقدمة الأخرى (JSON)
v146-043-en;deviceIntegrations.os;en-US;SDK host OS
v146-043-ar;deviceIntegrations.os;ar-EG;نظام تشغيل SDK
v146-044-en;deviceIntegrations.password;en-US;Password
v146-044-ar;deviceIntegrations.password;ar-EG;كلمة المرور
v146-045-en;deviceIntegrations.platformVersion;en-US;Device platform version
v146-045-ar;deviceIntegrations.platformVersion;ar-EG;إصدار منصة الجهاز
v146-046-en;deviceIntegrations.port;en-US;Port
v146-046-ar;deviceIntegrations.port;ar-EG;المنفذ
v146-047-en;deviceIntegrations.punchArrayPath;en-US;Response array path
v146-047-ar;deviceIntegrations.punchArrayPath;ar-EG;مسار المصفوفة في الاستجابة
v146-048-en;deviceIntegrations.punchMethod;en-US;Event request method
v146-048-ar;deviceIntegrations.punchMethod;ar-EG;طريقة طلب الأحداث
v146-049-en;deviceIntegrations.punchPath;en-US;Attendance/event endpoint path
v146-049-ar;deviceIntegrations.punchPath;ar-EG;مسار API لسجلات الحضور/الأحداث
v146-050-en;deviceIntegrations.registered;en-US;Registered devices
v146-050-ar;deviceIntegrations.registered;ar-EG;الأجهزة المسجلة
v146-051-en;deviceIntegrations.resolveHint;en-US;The resolver checks device generation plus firmware, API/SDK, server, OS and architecture constraints.
v146-051-ar;deviceIntegrations.resolveHint;ar-EG;يتحقق النظام من جيل الجهاز والفيرموير وإصدارات API/SDK والخادم ونظام التشغيل والمعمارية.
v146-052-en;deviceIntegrations.resolveTitle;en-US;Resolve supported integration
v146-052-ar;deviceIntegrations.resolveTitle;ar-EG;تحديد التكامل المدعوم
v146-053-en;deviceIntegrations.route;en-US;Integration route
v146-053-ar;deviceIntegrations.route;ar-EG;مسار التكامل
v146-054-en;deviceIntegrations.routes;en-US;routes
v146-054-ar;deviceIntegrations.routes;ar-EG;مسار
v146-055-en;deviceIntegrations.sdkVersions;en-US;Installed SDK versions (route=version)
v146-055-ar;deviceIntegrations.sdkVersions;ar-EG;إصدارات SDK المثبتة (route=version)
v146-056-en;deviceIntegrations.search;en-US;Search devices…
v146-056-ar;deviceIntegrations.search;ar-EG;بحث في الأجهزة…
v146-057-en;deviceIntegrations.selected;en-US;Selected
v146-057-ar;deviceIntegrations.selected;ar-EG;محدد
v146-058-en;deviceIntegrations.serial;en-US;Serial number
v146-058-ar;deviceIntegrations.serial;ar-EG;الرقم التسلسلي
v146-059-en;deviceIntegrations.serverVersion;en-US;Server/platform version
v146-059-ar;deviceIntegrations.serverVersion;ar-EG;إصدار الخادم/المنصة
v146-060-en;deviceIntegrations.sinceParam;en-US;Incremental sync parameter
v146-060-ar;deviceIntegrations.sinceParam;ar-EG;باراميتر المزامنة التراكمية
v146-061-en;deviceIntegrations.supplier;en-US;Supplier
v146-061-ar;deviceIntegrations.supplier;ar-EG;المورد
v146-062-en;deviceIntegrations.suppliers;en-US;Suppliers
v146-062-ar;deviceIntegrations.suppliers;ar-EG;الموردون
v146-063-en;deviceIntegrations.sync;en-US;Sync punches
v146-063-ar;deviceIntegrations.sync;ar-EG;مزامنة البصمات
v146-064-en;deviceIntegrations.test;en-US;Test
v146-064-ar;deviceIntegrations.test;ar-EG;اختبار
v146-065-en;deviceIntegrations.testStatus;en-US;Last test
v146-065-ar;deviceIntegrations.testStatus;ar-EG;آخر اختبار
v146-066-en;deviceIntegrations.useRoute;en-US;Use route
v146-066-ar;deviceIntegrations.useRoute;ar-EG;استخدام المسار
v146-067-en;deviceIntegrations.username;en-US;Username
v146-067-ar;deviceIntegrations.username;ar-EG;اسم المستخدم
v146-068-en;deviceIntegrations.vendor;en-US;Supplier
v146-068-ar;deviceIntegrations.vendor;ar-EG;المورد
v146-069-en;deviceIntegrations.syncSuccess;en-US;Imported {count} punch records.
v146-069-ar;deviceIntegrations.syncSuccess;ar-EG;تم استيراد {count} سجل بصمة.
v146-070-en;deviceIntegrations.optionsInvalid;en-US;Advanced options must be valid JSON.
v146-070-ar;deviceIntegrations.optionsInvalid;ar-EG;الخيارات المتقدمة يجب أن تكون JSON صالحاً.
v146-071-en;deviceIntegrations.sdkLabel;en-US;SDK
v146-071-ar;deviceIntegrations.sdkLabel;ar-EG;SDK
v146-072-en;deviceIntegrations.apiLabel;en-US;API
v146-072-ar;deviceIntegrations.apiLabel;ar-EG;API
v146-073-en;deviceIntegrations.serverLabel;en-US;Server
v146-073-ar;deviceIntegrations.serverLabel;ar-EG;الخادم
v146-074-en;deviceIntegrations.firmwareShort;en-US; · FW 
v146-074-ar;deviceIntegrations.firmwareShort;ar-EG; · FW 
v146-075-en;deviceIntegrations.authBasic;en-US;Basic
v146-075-ar;deviceIntegrations.authBasic;ar-EG;Basic
v146-076-en;deviceIntegrations.authDigest;en-US;Digest
v146-076-ar;deviceIntegrations.authDigest;ar-EG;Digest
v146-077-en;deviceIntegrations.authBearer;en-US;Bearer token
v146-077-ar;deviceIntegrations.authBearer;ar-EG;رمز Bearer
v146-078-en;deviceIntegrations.authApiKey;en-US;API key header
v146-078-ar;deviceIntegrations.authApiKey;ar-EG;ترويسة API Key
v146-079-en;deviceIntegrations.methodGet;en-US;GET
v146-079-ar;deviceIntegrations.methodGet;ar-EG;GET
v146-080-en;deviceIntegrations.methodPost;en-US;POST
v146-080-ar;deviceIntegrations.methodPost;ar-EG;POST
