id;translation_key;locale;text_value
x56-ar-002;users.dashboardCustomization;ar-EG;السماح بتخصيص لوحة المتابعة
x56-ar-003;users.dashboardCustomizationHint;ar-EG;يسمح لهذا المستخدم بإظهار عناصر لوحة المتابعة أو إخفائها وترتيبها.
x56-ar-004;settings.dashboardPolicyTitle;ar-EG;سياسة تخصيص لوحات المديرين
x56-ar-005;settings.adminDashboardCustomization;ar-EG;السماح للمديرين بتخصيص لوحاتهم
x56-ar-006;settings.adminDashboardCustomizationHint;ar-EG;يتحكم المدير الشامل وحده في ظهور أداة تخصيص لوحة المتابعة لحسابات المديرين.
x56-ar-007;dashboard.customize;ar-EG;تخصيص اللوحة
x56-ar-008;dashboard.customizeHint;ar-EG;اختيار عناصر لوحة المتابعة وترتيبها
x56-ar-009;dashboard.editorTitle;ar-EG;تنظيم لوحة المتابعة
x56-ar-010;dashboard.editorHint;ar-EG;اختر العناصر الظاهرة وحركها للأعلى أو للأسفل، ثم احفظ التخطيط.
x56-ar-011;dashboard.customizationSaved;ar-EG;تم حفظ تخصيص لوحة المتابعة.
x56-ar-012;dashboard.animations;ar-EG;حركة لوحة المتابعة
x56-ar-013;dashboard.animationsHint;ar-EG;تشغيل انتقالات مرئية خفيفة مع احترام إعداد تقليل الحركة في الجهاز.
x56-ar-014;dashboard.animationsOn;ar-EG;الحركة مفعلة
x56-ar-015;dashboard.animationsOff;ar-EG;الحركة متوقفة
x56-ar-016;dashboard.enableAnimations;ar-EG;تشغيل حركة لوحة المتابعة
x56-ar-017;dashboard.disableAnimations;ar-EG;إيقاف حركة لوحة المتابعة
x56-ar-018;dashboard.moveUp;ar-EG;تحريك لأعلى
x56-ar-019;dashboard.moveDown;ar-EG;تحريك لأسفل
x56-ar-020;dashboard.resetLayout;ar-EG;إعادة التخطيط الافتراضي
x56-ar-021;dashboard.widgetSummary;ar-EG;بطاقات الملخص
x56-ar-022;dashboard.widgetReport;ar-EG;ملخص التقرير الشهري
x56-ar-023;dashboard.widgetAttendanceChart;ar-EG;مخطط الحضور
x56-ar-024;dashboard.widgetInsights;ar-EG;الرؤى والرسوم
x56-ar-025;dashboard.widgetUnits;ar-EG;وحدات التشغيل
x56-ar-026;dashboard.widgetDepartments;ar-EG;مؤشرات الإدارات
x56-ar-027;dashboard.widgetCategories;ar-EG;ملخص الفئات
x56-ar-028;dashboard.widgetImports;ar-EG;أحدث الاستيرادات
x56-ar-029;dashboard.insightsTitle;ar-EG;رؤى الأداء
x56-ar-030;dashboard.insightsHint;ar-EG;نظرة مرئية سريعة على الحضور والرواتب وأداء الإدارات.
x56-ar-031;dashboard.attendanceMix;ar-EG;نسبة الحضور
x56-ar-032;dashboard.payrollProgress;ar-EG;تقدم صرف الرواتب
x56-ar-033;dashboard.departmentCoverage;ar-EG;أداء الحضور حسب الإدارة
x56-en-002;users.dashboardCustomization;en-US;Allow dashboard customization
x56-en-003;users.dashboardCustomizationHint;en-US;Lets this user show, hide, and reorder dashboard widgets.
x56-en-004;settings.dashboardPolicyTitle;en-US;Admin dashboard policy
x56-en-005;settings.adminDashboardCustomization;en-US;Allow admins to customize their dashboards
x56-en-006;settings.adminDashboardCustomizationHint;en-US;Only a Super Admin controls whether dashboard customization is available to Admin accounts.
x56-en-007;dashboard.customize;en-US;Customize dashboard
x56-en-008;dashboard.customizeHint;en-US;Choose and reorder dashboard widgets
x56-en-009;dashboard.editorTitle;en-US;Arrange your dashboard
x56-en-010;dashboard.editorHint;en-US;Choose visible widgets, move them up or down, then save the layout.
x56-en-011;dashboard.customizationSaved;en-US;Dashboard customization saved.
x56-en-012;dashboard.animations;en-US;Dashboard motion
x56-en-013;dashboard.animationsHint;en-US;Use subtle visual transitions while respecting the device reduced-motion setting.
x56-en-014;dashboard.animationsOn;en-US;Motion on
x56-en-015;dashboard.animationsOff;en-US;Motion off
x56-en-016;dashboard.enableAnimations;en-US;Enable dashboard motion
x56-en-017;dashboard.disableAnimations;en-US;Disable dashboard motion
x56-en-018;dashboard.moveUp;en-US;Move up
x56-en-019;dashboard.moveDown;en-US;Move down
x56-en-020;dashboard.resetLayout;en-US;Reset default layout
x56-en-021;dashboard.widgetSummary;en-US;Summary cards
x56-en-022;dashboard.widgetReport;en-US;Monthly report summary
x56-en-023;dashboard.widgetAttendanceChart;en-US;Attendance chart
x56-en-024;dashboard.widgetInsights;en-US;Insights and charts
x56-en-025;dashboard.widgetUnits;en-US;Operating units
x56-en-026;dashboard.widgetDepartments;en-US;Department metrics
x56-en-027;dashboard.widgetCategories;en-US;Category summary
x56-en-028;dashboard.widgetImports;en-US;Recent imports
x56-en-029;dashboard.insightsTitle;en-US;Performance insights
x56-en-030;dashboard.insightsHint;en-US;A quick visual view of attendance, payroll, and department performance.
x56-en-031;dashboard.attendanceMix;en-US;Attendance rate
x56-en-032;dashboard.payrollProgress;en-US;Payroll payment progress
x56-en-033;dashboard.departmentCoverage;en-US;Attendance performance by department
