id;translation_key;locale;text_value
x55-ar-tab;settings.tabShortcuts;ar-EG;الاختصارات
x55-en-tab;settings.tabShortcuts;en-US;Shortcuts
x55-ar-title;shortcuts.title;ar-EG;اختصارات لوحة المفاتيح
x55-en-title;shortcuts.title;en-US;Keyboard shortcuts
x55-ar-subtitle;shortcuts.subtitle;ar-EG;تنقل ونفّذ المهام بسرعة دون مغادرة لوحة المفاتيح.
x55-en-subtitle;shortcuts.subtitle;en-US;Navigate and complete common actions without leaving the keyboard.
x55-ar-global;shortcuts.globalTitle;ar-EG;اختصارات عامة
x55-en-global;shortcuts.globalTitle;en-US;General shortcuts
x55-ar-navigation;shortcuts.navigationTitle;ar-EG;الانتقال إلى القوائم
x55-en-navigation;shortcuts.navigationTitle;en-US;Menu navigation
x55-ar-quick-open;shortcuts.openQuickNav;ar-EG;فتح قائمة الانتقال السريع
x55-en-quick-open;shortcuts.openQuickNav;en-US;Open quick navigation
x55-ar-help;shortcuts.showHelp;ar-EG;عرض دليل الاختصارات
x55-en-help;shortcuts.showHelp;en-US;Show shortcut reference
x55-ar-close;shortcuts.closeDialog;ar-EG;إغلاق النافذة أو إلغاء العملية
x55-en-close;shortcuts.closeDialog;en-US;Close a dialog or cancel
x55-ar-submit;shortcuts.submitForm;ar-EG;حفظ أو إرسال النموذج
x55-en-submit;shortcuts.submitForm;en-US;Save or submit a form
x55-ar-next;shortcuts.nextField;ar-EG;الانتقال إلى الحقل التالي
x55-en-next;shortcuts.nextField;en-US;Move to the next field
x55-ar-quick-title;shortcuts.quickNavTitle;ar-EG;الانتقال السريع
x55-en-quick-title;shortcuts.quickNavTitle;en-US;Quick navigation
x55-ar-quick-hint;shortcuts.quickNavHint;ar-EG;ابحث باسم الشاشة أو وظيفتها، والنتائج تراعي صلاحياتك.
x55-en-quick-hint;shortcuts.quickNavHint;en-US;Search by screen name or purpose, and results respect your permissions.
x55-ar-search;shortcuts.searchPlaceholder;ar-EG;ابحث في القوائم والشاشات…
x55-en-search;shortcuts.searchPlaceholder;en-US;Search menus and screens…
x55-ar-empty;shortcuts.noResults;ar-EG;لا توجد شاشة مطابقة لبحثك.
x55-en-empty;shortcuts.noResults;en-US;No permitted screen matches your search.
x55-ar-move;shortcuts.move;ar-EG;للتنقل
x55-en-move;shortcuts.move;en-US;to move
x55-ar-open;shortcuts.open;ar-EG;للفتح
x55-en-open;shortcuts.open;en-US;to open
x55-ar-all;shortcuts.showAll;ar-EG;كل الاختصارات
x55-en-all;shortcuts.showAll;en-US;All shortcuts
x55-ar-permission;shortcuts.availableByPermission;ar-EG;تعمل اختصارات القوائم فقط للشاشات المسموح بها لصلاحيات المستخدم.
x55-en-permission;shortcuts.availableByPermission;en-US;Menu shortcuts only open screens permitted for the signed-in user.
x55-ar-waiting;shortcuts.waitingForDestination;ar-EG;اختر حرف الوجهة…
x55-en-waiting;shortcuts.waitingForDestination;en-US;choose a destination letter…
x55-ar-quick-tip;shortcuts.quickNavTooltip;ar-EG;فتح الانتقال السريع — Ctrl + K
x55-en-quick-tip;shortcuts.quickNavTooltip;en-US;Open quick navigation — Ctrl + K
x55-ar-help-tip;shortcuts.openHelpTooltip;ar-EG;عرض اختصارات لوحة المفاتيح — ?
x55-en-help-tip;shortcuts.openHelpTooltip;en-US;Show keyboard shortcuts — ?
x55-ar-expand;shortcuts.expandGroup;ar-EG;فتح هذه المجموعة
x55-en-expand;shortcuts.expandGroup;en-US;Expand this group
x55-ar-collapse;shortcuts.collapseGroup;ar-EG;غلق هذه المجموعة
x55-en-collapse;shortcuts.collapseGroup;en-US;Collapse this group
