id;translation_key;locale;text_value
v144-001;WORKER_CATEGORY_REQUIRED;ar-EG;"فئة العامل مطلوبة."
v144-002;WORKER_CATEGORY_REQUIRED;en-US;"A worker category is required."
v144-003;WORKFORCE_CATEGORY_NOT_FOUND;ar-EG;"الفئة غير موجودة."
v144-004;WORKFORCE_CATEGORY_NOT_FOUND;en-US;"Category not found."
v144-005;WORKFORCE_CATEGORY_INACTIVE;ar-EG;"اختر فئة عامل نشطة."
v144-006;WORKFORCE_CATEGORY_INACTIVE;en-US;"Select an active worker category."
v144-007;WORKFORCE_CATEGORY_EMPLOYEE_ONLY;ar-EG;"هذه الفئة مخصصة للموظفين."
v144-008;WORKFORCE_CATEGORY_EMPLOYEE_ONLY;en-US;"This category is reserved for employees."
v144-009;WORKFORCE_CATEGORY_CODE_EXISTS;ar-EG;"كود الفئة مستخدم بالفعل."
v144-010;WORKFORCE_CATEGORY_CODE_EXISTS;en-US;"Worker category code already exists."
