id;key;locale;text
v175-001;actionCenter.exception;en-US;Exception
v175-002;actionCenter.exception;ar-EG;الاستثناء
v175-003;actionCenter.impact;en-US;Business impact
v175-004;actionCenter.impact;ar-EG;الأثر على الأعمال
v175-005;actionCenter.reason;en-US;Reason
v175-006;actionCenter.reason;ar-EG;السبب
v175-007;actionCenter.recommendation;en-US;Recommendation
v175-008;actionCenter.recommendation;ar-EG;التوصية
v175-009;actionCenter.openAction;en-US;Open action
v175-010;actionCenter.openAction;ar-EG;فتح الإجراء
v175-011;actionCenter.priority.critical;en-US;Critical
v175-012;actionCenter.priority.critical;ar-EG;حرج
v175-013;actionCenter.priority.high;en-US;High
v175-014;actionCenter.priority.high;ar-EG;مرتفع
v175-015;actionCenter.priority.medium;en-US;Medium
v175-016;actionCenter.priority.medium;ar-EG;متوسط
v175-017;actionCenter.priority.info;en-US;Information
v175-018;actionCenter.priority.info;ar-EG;معلومة
