id;translation_key;locale;text_value
v212-001;WAREHOUSE_BIN_CODE_REQUIRED;en-US;Bin code is required.
v212-002;WAREHOUSE_BIN_CODE_REQUIRED;ar-EG;رمز الموقع التخزيني مطلوب.
v212-003;WAREHOUSE_BIN_CODE_EXISTS;en-US;Bin code already exists in this warehouse.
v212-004;WAREHOUSE_BIN_CODE_EXISTS;ar-EG;رمز الموقع التخزيني موجود بالفعل في هذا المستودع.
v212-005;WAREHOUSE_STATUS_CHANGE_INVALID;en-US;Select two different stock statuses.
v212-006;WAREHOUSE_STATUS_CHANGE_INVALID;ar-EG;اختر حالتين مختلفتين للمخزون.
v212-007;WAREHOUSE_STATUS_STOCK_INSUFFICIENT;en-US;Insufficient quantity in the source stock status.
v212-008;WAREHOUSE_STATUS_STOCK_INSUFFICIENT;ar-EG;الكمية غير كافية في حالة المخزون المصدر.
v212-009;WAREHOUSE_BIN_MISMATCH;en-US;The bin does not belong to the selected warehouse.
v212-010;WAREHOUSE_BIN_MISMATCH;ar-EG;الموقع التخزيني لا يتبع المستودع المحدد.
v212-011;CYCLE_COUNT_NOT_IN_PROGRESS;en-US;Lines can only be added to an active cycle count.
v212-012;CYCLE_COUNT_NOT_IN_PROGRESS;ar-EG;لا يمكن إضافة البنود إلا إلى جرد دوري نشط.
v212-013;LOT_SERIAL_QUANTITY_INVALID;en-US;Lot or serial quantity is invalid.
v212-014;LOT_SERIAL_QUANTITY_INVALID;ar-EG;كمية التشغيلة أو الرقم المسلسل غير صحيحة.
v212-015;LOT_SERIAL_ISSUE_INVALID;en-US;Lot or serial cannot be issued with this quantity.
v212-016;LOT_SERIAL_ISSUE_INVALID;ar-EG;لا يمكن صرف التشغيلة أو الرقم المسلسل بهذه الكمية.
v212-017;LOT_SERIAL_RETURN_INVALID;en-US;Lot or serial cannot be returned with this quantity.
v212-018;LOT_SERIAL_RETURN_INVALID;ar-EG;لا يمكن إرجاع التشغيلة أو الرقم المسلسل بهذه الكمية.
v212-019;LOT_SERIAL_DUPLICATE;en-US;Serial number already exists.
v212-020;LOT_SERIAL_DUPLICATE;ar-EG;الرقم المسلسل موجود بالفعل.
v212-021;LOT_SERIAL_IDENTITY_REQUIRED;en-US;A lot or serial number is required.
v212-022;LOT_SERIAL_IDENTITY_REQUIRED;ar-EG;رقم التشغيلة أو الرقم المسلسل مطلوب.
v212-023;operations.newBin;en-US;New bin
v212-024;operations.newBin;ar-EG;موقع تخزيني جديد
v212-025;operations.bins;en-US;Warehouse bins
v212-026;operations.bins;ar-EG;مواقع المستودعات
v212-027;operations.binsHint;en-US;Maintain the operational location hierarchy inside each warehouse.
v212-028;operations.binsHint;ar-EG;إدارة التسلسل المكاني التشغيلي داخل كل مستودع.
v212-029;operations.binCode;en-US;Bin code
v212-030;operations.binCode;ar-EG;رمز الموقع
v212-031;operations.aisle;en-US;Aisle
v212-032;operations.aisle;ar-EG;الممر
v212-033;operations.rack;en-US;Rack
v212-034;operations.rack;ar-EG;الحامل
v212-035;operations.shelf;en-US;Shelf
v212-036;operations.shelf;ar-EG;الرف
v212-037;operations.noBins;en-US;No warehouse bins configured.
v212-038;operations.noBins;ar-EG;لا توجد مواقع تخزينية مهيأة.
v212-039;operations.binSaved;en-US;Warehouse bin saved.
v212-040;operations.binSaved;ar-EG;تم حفظ الموقع التخزيني.
