id;translation_key;locale;text_value
v132-001;operations.documentTypeNone;ar-EG;"بدون"
v132-002;operations.documentTypeNone;en-US;"None"
v132-003;operations.documentType.goodsReceipt;ar-EG;"إذن استلام"
v132-004;operations.documentType.goodsReceipt;en-US;"Goods receipt"
v132-005;operations.documentType.purchaseOrder;ar-EG;"أمر شراء"
v132-006;operations.documentType.purchaseOrder;en-US;"Purchase order"
v132-007;operations.documentType.supplierInvoice;ar-EG;"فاتورة مورد"
v132-008;operations.documentType.supplierInvoice;en-US;"Supplier invoice"
v132-009;operations.documentType.supplierPayment;ar-EG;"دفعة مورد"
v132-010;operations.documentType.supplierPayment;en-US;"Supplier payment"
v132-011;operations.documentType.adjustment;ar-EG;"تسوية جرد"
v132-012;operations.documentType.adjustment;en-US;"Inventory adjustment"
v132-013;operations.documentType.voucher;ar-EG;"سند قيد"
v132-014;operations.documentType.voucher;en-US;"Journal voucher"
