id;translation_key;locale;text_value
v263-001;attendanceBrowser.thEmployeeCode;ar-EG;كود الموظف
v263-002;attendanceBrowser.thEmployeeCode;en-US;Employee code
v263-003;attendanceBrowser.thFirstPunch;ar-EG;أول بصمة
v263-004;attendanceBrowser.thFirstPunch;en-US;First punch
v263-005;attendanceBrowser.thLastPunch;ar-EG;آخر بصمة
v263-006;attendanceBrowser.thLastPunch;en-US;Last punch
v263-007;attendanceBrowser.importedAttendance;ar-EG;الحضور المستورد
v263-008;attendanceBrowser.importedAttendance;en-US;Imported attendance
v263-009;attendanceBrowser.latestBiometricMonth;ar-EG;ملخص آخر شهر بالبصمة
v263-010;attendanceBrowser.latestBiometricMonth;en-US;Latest biometric month
v263-011;attendanceBrowser.fromBiometricData;ar-EG;من بيانات البصمة المستوردة
v263-012;attendanceBrowser.fromBiometricData;en-US;from imported biometric punches
v263-013;attendanceBrowser.unmappedUsersCount;ar-EG;يوجد {count} مستخدم غير مربوط بموظف.
v263-014;attendanceBrowser.unmappedUsersCount;en-US;{count} biometric users are still unmapped.
v263-015;attendanceBrowser.refreshFailed;ar-EG;تعذر تحديث ملخص الحضور المستورد.
v263-016;attendanceBrowser.refreshFailed;en-US;Could not refresh imported attendance summary.
v263-017;common.refresh;ar-EG;تحديث
v263-018;common.refresh;en-US;Refresh
v263-019;subscription.noPlan;ar-EG;لا توجد خطة
v263-020;subscription.noPlan;en-US;No plan
v263-021;subscription.planEnterprise;ar-EG;المؤسسات
v263-022;subscription.planEnterprise;en-US;Enterprise
v263-023;subscription.planGrowth;ar-EG;النمو
v263-024;subscription.planGrowth;en-US;Growth
v263-025;subscription.planStarter;ar-EG;المبتدئة
v263-026;subscription.planStarter;en-US;Starter
v263-027;workforce.importBusy;ar-EG;جارٍ الاستيراد…
v263-028;workforce.importBusy;en-US;Importing…
v263-029;workforce.importExcel;ar-EG;استيراد Excel
v263-030;workforce.importExcel;en-US;Import Excel
v263-031;workforce.importDialogAria;ar-EG;استيراد Excel
v263-032;workforce.importDialogAria;en-US;Excel import
v263-033;workforce.importDialogTitle;ar-EG;استيراد من Excel
v263-034;workforce.importDialogTitle;en-US;Import from Excel
v263-035;workforce.importDialogHint;ar-EG;حمّل القالب المعتمد، اختر طريقة المطابقة، ثم ارفع الملف.
v263-036;workforce.importDialogHint;en-US;Download the approved template, choose the matching method, then upload the file.
v263-037;workforce.importDownloadTemplate;ar-EG;تحميل قالب Excel
v263-038;workforce.importDownloadTemplate;en-US;Download Excel template
v263-039;workforce.importMatchingMethod;ar-EG;طريقة المطابقة
v263-040;workforce.importMatchingMethod;en-US;Matching method
v263-041;workforce.importMatchUserCode;ar-EG;بكود المستخدم / العامل
v263-042;workforce.importMatchUserCode;en-US;User / worker code
v263-043;workforce.importMatchAuto;ar-EG;تلقائي (الكود ثم الهوية)
v263-044;workforce.importMatchAuto;en-US;Automatic (code, then identity)
v263-045;workforce.importTemplateHint;ar-EG;ابدأ بالقالب لتجنب أخطاء أسماء الأعمدة والحقول المطلوبة.
v263-046;workforce.importTemplateHint;en-US;Start from the template to avoid header and required-field errors.
v263-047;workforce.importChooseFile;ar-EG;اختيار الملف وبدء الاستيراد
v263-048;workforce.importChooseFile;en-US;Choose file and import
v263-049;workforce.importRowErrors;ar-EG;أخطاء الصفوف
v263-050;workforce.importRowErrors;en-US;Row errors
v263-051;workforce.importRow;ar-EG;صف
v263-052;workforce.importRow;en-US;Row
v263-053;workforce.importFirst20Errors;ar-EG;يتم عرض أول 20 خطأ فقط.
v263-054;workforce.importFirst20Errors;en-US;Showing the first 20 errors.
v263-055;workforce.importTemplateDownloadFailed;ar-EG;تعذر تحميل قالب Excel.
v263-056;workforce.importTemplateDownloadFailed;en-US;Could not download the Excel template.
v263-057;workforce.importInvalidFileType;ar-EG;اختر ملف Excel بصيغة xlsx أو xls.
v263-058;workforce.importInvalidFileType;en-US;Choose an .xlsx or .xls file.
v263-059;workforce.importFileTooLarge;ar-EG;حجم الملف يتجاوز 20 ميجابايت.
v263-060;workforce.importFileTooLarge;en-US;The file exceeds the 20 MB limit.
