id;translation_key;locale;text_value
v148-001-en;auth.logoutTitle;en-US;Sign out
v148-001-ar;auth.logoutTitle;ar-EG;تسجيل الخروج
v148-002-en;auth.logoutHint;en-US;Choose where this account should be signed out.
v148-002-ar;auth.logoutHint;ar-EG;اختر نطاق تسجيل الخروج لهذا الحساب.
v148-003-en;auth.logoutCurrentBrowser;en-US;Sign out from this browser
v148-003-ar;auth.logoutCurrentBrowser;ar-EG;تسجيل الخروج من هذا المتصفح
v148-004-en;auth.logoutCurrentBrowserHint;en-US;Signs this account out from every tab in this browser only.
v148-004-ar;auth.logoutCurrentBrowserHint;ar-EG;سيتم تسجيل خروج هذا الحساب من جميع علامات التبويب في هذا المتصفح فقط.
v148-005-en;auth.logoutAllDevices;en-US;Sign out from all devices
v148-005-ar;auth.logoutAllDevices;ar-EG;تسجيل الخروج من جميع الأجهزة
v148-006-en;auth.logoutAllDevicesHint;en-US;Revokes every session for this account on all browsers and devices.
v148-006-ar;auth.logoutAllDevicesHint;ar-EG;سيتم إلغاء جميع جلسات هذا الحساب على كل الأجهزة والمتصفحات.
v148-007-en;auth.logoutAllDevicesWorking;en-US;Signing out from all devices…
v148-007-ar;auth.logoutAllDevicesWorking;ar-EG;جارٍ تسجيل الخروج من جميع الأجهزة…
v148-008-en;auth.logoutAllDevicesError;en-US;Could not sign out from all devices. Check the connection and try again.
v148-008-ar;auth.logoutAllDevicesError;ar-EG;تعذر تسجيل الخروج من جميع الأجهزة. تحقق من الاتصال وحاول مرة أخرى.
v148-009-en;action.cancel;en-US;Cancel
v148-009-ar;action.cancel;ar-EG;إلغاء
