id;translation_key;locale;text_value
v119-001;accounts.add;ar-EG;"إضافة حساب جديد"
v119-002;accounts.add;en-US;"Add new account"
v119-003;accounts.codeLabel;ar-EG;"كود الحساب"
v119-004;accounts.codeLabel;en-US;"Account code"
v119-005;accounts.codePlaceholder;ar-EG;"مثال: 10103"
v119-006;accounts.codePlaceholder;en-US;"e.g. 10103"
v119-007;accounts.colCategory;ar-EG;"تصنيف الحساب"
v119-008;accounts.colCategory;en-US;"Account category"
v119-009;accounts.colCode;ar-EG;"كود الحساب"
v119-010;accounts.colCode;en-US;"Account code"
v119-011;accounts.colCurrency;ar-EG;"العملة"
v119-012;accounts.colCurrency;en-US;"Currency"
v119-013;accounts.colName;ar-EG;"اسم الحساب"
v119-014;accounts.colName;en-US;"Account name"
v119-015;accounts.colStatus;ar-EG;"الحالة"
v119-016;accounts.colStatus;en-US;"Status"
v119-017;accounts.colType;ar-EG;"نوع الحساب"
v119-018;accounts.colType;en-US;"Account type"
v119-019;accounts.currencyLabel;ar-EG;"العملة"
v119-020;accounts.currencyLabel;en-US;"Currency"
v119-021;accounts.description;ar-EG;"شجرة واستعراض الأصول والخصوم وحقوق الملكية والإيرادات والمصروفات."
v119-022;accounts.description;en-US;"Browse the tree of assets, liabilities, equity, revenues and expenses."
v119-023;accounts.drawerEyebrow;ar-EG;"دليل الحسابات"
v119-024;accounts.drawerEyebrow;en-US;"Chart of accounts"
v119-025;accounts.empty;ar-EG;"لا توجد حسابات مسجلة في دليل الحسابات بعد"
v119-026;accounts.empty;en-US;"No accounts registered in the chart of accounts yet"
v119-027;accounts.eyebrow;ar-EG;"النظام المالي المحاسبي (General Ledger COA)"
v119-028;accounts.eyebrow;en-US;"General Ledger Chart of Accounts"
v119-029;accounts.headerAccount;ar-EG;"حساب رئيسي (Header)"
v119-030;accounts.headerAccount;en-US;"Header account"
v119-031;accounts.isHeaderLabel;ar-EG;"حساب رئيسي (Header Account - لا يقبل قيود مباشرة)"
v119-032;accounts.isHeaderLabel;en-US;"Header account (does not accept direct postings)"
v119-033;accounts.nameLabel;ar-EG;"اسم الحساب"
v119-034;accounts.nameLabel;en-US;"Account name"
v119-035;accounts.namePlaceholder;ar-EG;"مثال: بنك مصر - حساب الجاري"
v119-036;accounts.namePlaceholder;en-US;"e.g. Bank of Egypt - Current account"
v119-037;accounts.newTitle;ar-EG;"حساب جديد"
v119-038;accounts.newTitle;en-US;"New account"
v119-039;accounts.noParent;ar-EG;"(بدون حساب أب - رئيسي)"
v119-040;accounts.noParent;en-US;"(No parent - root account)"
v119-041;accounts.parentLabel;ar-EG;"الحساب الأب (Parent)"
v119-042;accounts.parentLabel;en-US;"Parent account"
v119-043;accounts.postingAccount;ar-EG;"حساب فرعي (Posting)"
v119-044;accounts.postingAccount;en-US;"Posting account"
v119-045;accounts.save;ar-EG;"حفظ الحساب"
v119-046;accounts.save;en-US;"Save account"
v119-047;accounts.title;ar-EG;"دليل الحسابات الشامل (Chart of Accounts)"
v119-048;accounts.title;en-US;"Chart of Accounts"
v119-049;accounts.typeAsset;ar-EG;"أصول"
v119-050;accounts.typeAsset;en-US;"Assets"
v119-051;accounts.typeAssetFull;ar-EG;"أصول (Assets)"
v119-052;accounts.typeAssetFull;en-US;"Assets"
v119-053;accounts.typeEquity;ar-EG;"حقوق ملكية"
v119-054;accounts.typeEquity;en-US;"Equity"
v119-055;accounts.typeEquityFull;ar-EG;"حقوق ملكية (Equity)"
v119-056;accounts.typeEquityFull;en-US;"Equity"
v119-057;accounts.typeExpense;ar-EG;"مصروفات"
v119-058;accounts.typeExpense;en-US;"Expenses"
v119-059;accounts.typeExpenseFull;ar-EG;"مصروفات (Expenses)"
v119-060;accounts.typeExpenseFull;en-US;"Expenses"
v119-061;accounts.typeLabel;ar-EG;"نوع الحساب"
v119-062;accounts.typeLabel;en-US;"Account type"
v119-063;accounts.typeLiability;ar-EG;"خصوم"
v119-064;accounts.typeLiability;en-US;"Liabilities"
v119-065;accounts.typeLiabilityFull;ar-EG;"خصوم والتزامات (Liabilities)"
v119-066;accounts.typeLiabilityFull;en-US;"Liabilities"
v119-067;accounts.typeRevenue;ar-EG;"إيرادات"
v119-068;accounts.typeRevenue;en-US;"Revenue"
v119-069;accounts.typeRevenueFull;ar-EG;"إيرادات (Revenue)"
v119-070;accounts.typeRevenueFull;en-US;"Revenue"
v119-071;employees.fingerprintNotLinked;ar-EG;"لم يتم ربط رقم البصمة"
v119-072;employees.fingerprintNotLinked;en-US;"No fingerprint number linked"
v119-073;operations.approvalStatement;ar-EG;"أؤكد أن هذه التسوية راجعها واعتمدها مستخدم مخول، وأن السبب والمستند المرجعي صحيحان."
v119-074;operations.approvalStatement;en-US;"I confirm this adjustment was reviewed and approved by an authorized user, and the reason and reference document are correct."
v119-075;parties.bankAccount;ar-EG;"تفاصيل الحساب البنكي / IBAN"
v119-076;parties.bankAccount;en-US;"Bank account / IBAN details"
v119-077;parties.baseCurrency;ar-EG;"العملة الأساسية"
v119-078;parties.baseCurrency;en-US;"Base currency"
v119-079;parties.currencyEgp;ar-EG;"الجنيه المصري (ج.م)"
v119-080;parties.currencyEgp;en-US;"Egyptian Pound (EGP)"
v119-081;parties.currencyEur;ar-EG;"اليورو (€)"
v119-082;parties.currencyEur;en-US;"Euro (€)"
v119-083;parties.currencyUsd;ar-EG;"الدولار الأمريكي ($)"
v119-084;parties.currencyUsd;en-US;"US Dollar ($)"
v119-085;parties.invoicePolicy;ar-EG;"سياسة الفاتورة والضرائب"
v119-086;parties.invoicePolicy;en-US;"Invoice and tax policy"
v119-087;parties.managedBrokered;ar-EG;"بالوساطة (Managed Supplier)"
v119-088;parties.managedBrokered;en-US;"Brokered (Managed Supplier)"
v119-089;parties.managedDirect;ar-EG;"مباشر (Direct Supplier)"
v119-090;parties.managedDirect;en-US;"Direct (Direct Supplier)"
v119-091;parties.managedType;ar-EG;"نوع التعامل"
v119-092;parties.managedType;en-US;"Deal type"
v119-093;parties.paymentTerms;ar-EG;"شروط الدفع والتسوية"
v119-094;parties.paymentTerms;en-US;"Payment and settlement terms"
v119-095;parties.policyEInvoice;ar-EG;"فاتورة إلكترونية ضريبية"
v119-096;parties.policyEInvoice;en-US;"Electronic tax invoice"
v119-097;parties.policyExempt;ar-EG;"معفى ضريبياً"
v119-098;parties.policyExempt;en-US;"Tax exempt"
v119-099;parties.policyReceipt;ar-EG;"إيصال استلام رسمي"
v119-100;parties.policyReceipt;en-US;"Official receipt"
v119-101;parties.relationshipEnd;ar-EG;"تاريخ انتهاء العلاقة"
v119-102;parties.relationshipEnd;en-US;"Relationship end date"
v119-103;parties.relationshipStart;ar-EG;"تاريخ بدء العلاقة"
v119-104;parties.relationshipStart;en-US;"Relationship start date"
v119-105;parties.responsibleParty;ar-EG;"المسؤول / الشريك الإداري"
v119-106;parties.responsibleParty;en-US;"Responsible party / managing partner"
v119-107;parties.responsibleSelectPlaceholder;ar-EG;"-- اختر المسئول --"
v119-108;parties.responsibleSelectPlaceholder;en-US;"-- Select responsible --"
v119-109;parties.taxId;ar-EG;"رقم التسجيل الضريبي"
v119-110;parties.taxId;en-US;"Tax registration number"
v119-111;parties.termsCash;ar-EG;"نقدي (Cash on Delivery)"
v119-112;parties.termsCash;en-US;"Cash on Delivery"
v119-113;parties.termsNet15;ar-EG;"آجل 15 يوماً"
v119-114;parties.termsNet15;en-US;"Net 15 days"
v119-115;parties.termsNet30;ar-EG;"آجل 30 يوماً"
v119-116;parties.termsNet30;en-US;"Net 30 days"
