id;translation_key;locale;text_value
v281-001;costControl.title;ar-EG;مراقبة تكاليف المشروع والربحية (Cost Control)
v281-002;costControl.title;en-US;Project Budget, Cost Control & Profitability
v281-003;costControl.subtitle;ar-EG;مقارنة الميزانية بالتكاليف المرتبطة والفعلية وتحليل انحراف التكاليف وتوقعات الإنجاز (EAC)
v281-004;costControl.subtitle;en-US;Real-time comparison of budget vs committed and actual costs with variance and forecast at completion
v281-005;costControl.navCostControl;ar-EG;مراقبة التكاليف والربحية
v281-006;costControl.navCostControl;en-US;Cost Control & Profitability
v281-007;costControl.kpiBudget;ar-EG;الميزانية المعتمدة
v281-008;costControl.kpiBudget;en-US;Approved Budget
v281-009;costControl.kpiCommitted;ar-EG;التكاليف المرتبطة (أوامر الشراء)
v281-010;costControl.kpiCommitted;en-US;Committed Costs (PO)
v281-011;costControl.kpiActual;ar-EG;المصروفات الفعلية
v281-012;costControl.kpiActual;en-US;Actual Incurred Cost
v281-013;costControl.kpiRevenue;ar-EG;الإيرادات المستحقة (المستخلصات)
v281-014;costControl.kpiRevenue;en-US;Recognized Revenue (Claims)
v281-015;costControl.kpiGrossProfit;ar-EG;مجمل الربح الحالي
v281-016;costControl.kpiGrossProfit;en-US;Current Gross Profit
v281-017;costControl.kpiGrossMargin;ar-EG;هامش الربح %
v281-018;costControl.kpiGrossMargin;en-US;Profit Margin %
v281-019;costControl.tabProfitability;ar-EG;لوحة الربحية وتحليل التكاليف
v281-020;costControl.tabProfitability;en-US;Profitability & Cost Analysis
v281-021;costControl.tabWbsVariance;ar-EG;انحراف التكاليف حسب WBS
v281-022;costControl.tabWbsVariance;en-US;WBS Cost Variance
v281-023;costControl.tabForecastEac;ar-EG;توقعات التكلفة عند الإنجاز (EAC/ETC)
v281-024;costControl.tabForecastEac;en-US;Forecast at Completion (EAC / ETC)
v281-025;costControl.tabCostLedger;ar-EG;دفتر أستاذ تكاليف المشروع
v281-026;costControl.tabCostLedger;en-US;Project Cost Ledger
v281-027;costControl.budgetVersions;ar-EG;إصدارات الميزانية
v281-028;costControl.budgetVersions;en-US;Budget Versions
v281-029;costControl.createBudgetVersion;ar-EG;إنشاء إصدار ميزانية جديد
v281-030;costControl.createBudgetVersion;en-US;Create Budget Version
v281-031;costControl.approveBudgetVersion;ar-EG;اعتماد إصدار الميزانية
v281-032;costControl.approveBudgetVersion;en-US;Approve Budget Version
v281-033;costControl.versionName;ar-EG;اسم الإصدار
v281-034;costControl.versionName;en-US;Version Name
v281-035;costControl.versionStatus;ar-EG;حالة الإصدار
v281-036;costControl.versionStatus;en-US;Version Status
v281-037;costControl.costCategory;ar-EG;تصنيف التكلفة
v281-038;costControl.costCategory;en-US;Cost Category
v281-039;costControl.catLabor;ar-EG;عمالة
v281-040;costControl.catLabor;en-US;Labor
v281-041;costControl.catEquipment;ar-EG;معدات
v281-042;costControl.catEquipment;en-US;Equipment
v281-043;costControl.catMaterial;ar-EG;مواد وخامات
v281-044;costControl.catMaterial;en-US;Materials
v281-045;costControl.catSubcontractor;ar-EG;مقاولي باطن
v281-046;costControl.catSubcontractor;en-US;Subcontractor
v281-047;costControl.catOverhead;ar-EG;مصاريف غير مباشرة / موقع
v281-048;costControl.catOverhead;en-US;Site Overhead
v281-049;costControl.catContingency;ar-EG;احتياطي طوارئ
v281-050;costControl.catContingency;en-US;Contingency
v281-051;costControl.entryType;ar-EG;نوع القيد
v281-052;costControl.entryType;en-US;Entry Type
v281-053;costControl.typeCommitted;ar-EG;تكلفة مرتبطة
v281-054;costControl.typeCommitted;en-US;Committed Cost
v281-055;costControl.typeActual;ar-EG;تكلفة فعلية
v281-056;costControl.typeActual;en-US;Actual Cost
v281-057;costControl.typeRevenue;ar-EG;إيراد مستحق
v281-058;costControl.typeRevenue;en-US;Recognized Revenue
v281-059;costControl.etc;ar-EG;المتبقي للإنجاز (ETC)
v281-060;costControl.etc;en-US;Estimate to Complete (ETC)
v281-061;costControl.eac;ar-EG;التكلفة المتوقعة عند الإنجاز (EAC)
v281-062;costControl.eac;en-US;Estimate at Completion (EAC)
v281-063;costControl.vac;ar-EG;انحراف الإنجاز (VAC)
v281-064;costControl.vac;en-US;Variance at Completion (VAC)
v281-065;costControl.costVariance;ar-EG;انحراف التكلفة
v281-066;costControl.costVariance;en-US;Cost Variance
v281-067;costControl.rateVariance;ar-EG;انحراف السعر / الفئة
v281-068;costControl.rateVariance;en-US;Rate / Price Variance
v281-069;costControl.quantityVariance;ar-EG;انحراف الكمية / الاستهلاك
v281-070;costControl.quantityVariance;en-US;Quantity / Usage Variance
v281-071;costControl.sourceModule;ar-EG;المصدر
v281-072;costControl.sourceModule;en-US;Source Module
v281-073;costControl.sourceDocNumber;ar-EG;رقم المستند المصدر
v281-074;costControl.sourceDocNumber;en-US;Source Document #
v281-075;costControl.drillDown;ar-EG;استعراض حركات التكلفة التفصيلية
v281-076;costControl.drillDown;en-US;Drill Down Transactions
