id;translation_key;locale;text_value
x14-ar-001;nav.operations;ar-EG;المخزون والحسابات
x14-en-001;nav.operations;en-US;Inventory & ledgers
x14-ar-002;nav.operationsHint;ar-EG;الأصناف والحركات وأرصدة العملاء والسُلف
x14-en-002;nav.operationsHint;en-US;Stock, movements, partner balances and advances
x14-ar-003;operations.eyebrow;ar-EG;التشغيل والحسابات
x14-en-003;operations.eyebrow;en-US;Operations and accounting
x14-ar-004;operations.title;ar-EG;المخزون ودفاتر الحساب
x14-en-004;operations.title;en-US;Inventory and ledgers
x14-ar-005;operations.description;ar-EG;تابع الخامات والكرتون ومستلزمات الإنتاج وحسابات الموردين والعملاء والسُلف من سجل حركات واضح.
x14-en-005;operations.description;en-US;Track materials, cartons, production supplies, partner balances and advances through an auditable movement ledger.
x14-ar-006;operations.newAdvance;ar-EG;سُلفة جديدة
x14-en-006;operations.newAdvance;en-US;New advance
x14-ar-007;operations.newItem;ar-EG;صنف جديد
x14-en-007;operations.newItem;en-US;New item
x14-ar-008;operations.newTransaction;ar-EG;حركة جديدة
x14-en-008;operations.newTransaction;en-US;New transaction
x14-ar-009;operations.items;ar-EG;الأصناف
x14-en-009;operations.items;en-US;Items
x14-ar-010;operations.movements;ar-EG;حركات المخزون
x14-en-010;operations.movements;en-US;Stock movements
x14-ar-011;operations.partners;ar-EG;جهات التعامل
x14-en-011;operations.partners;en-US;Partners
x14-ar-012;operations.advances;ar-EG;حركات السُلف
x14-en-012;operations.advances;en-US;Advance entries
x14-ar-013;operations.stockBalances;ar-EG;أرصدة المخزون
x14-en-013;operations.stockBalances;en-US;Stock balances
x14-ar-014;operations.signedHint;ar-EG;الرصيد ناتج من جمع الوارد الموجب والمنصرف السالب.
x14-en-014;operations.signedHint;en-US;Balance is the sum of positive receipts and negative issues.
x14-ar-015;operations.itemType;ar-EG;نوع الصنف
x14-en-015;operations.itemType;en-US;Item type
x14-ar-016;operations.unit;ar-EG;وحدة القياس
x14-en-016;operations.unit;en-US;Unit
x14-ar-017;operations.balance;ar-EG;الرصيد
x14-en-017;operations.balance;en-US;Balance
x14-ar-018;operations.noItems;ar-EG;لا توجد أصناف مخزون بعد.
x14-en-018;operations.noItems;en-US;No inventory items yet.
x14-ar-019;operations.stockMovements;ar-EG;سجل حركات المخزون
x14-en-019;operations.stockMovements;en-US;Stock movement ledger
x14-ar-020;operations.lossHint;ar-EG;يمكن تسجيل نسبة الهالك أو المكبّة في عمليات التشغيل والفرز.
x14-en-020;operations.lossHint;en-US;Processing and sorting movements can record a loss percentage.
x14-ar-021;operations.date;ar-EG;التاريخ والوقت
x14-en-021;operations.date;en-US;Date and time
x14-ar-022;operations.operation;ar-EG;نوع العملية
x14-en-022;operations.operation;en-US;Operation
x14-ar-023;operations.item;ar-EG;الصنف
x14-en-023;operations.item;en-US;Item
x14-ar-024;operations.party;ar-EG;المورد أو العميل
x14-en-024;operations.party;en-US;Supplier or customer
x14-ar-025;operations.quantity;ar-EG;الكمية
x14-en-025;operations.quantity;en-US;Quantity
x14-ar-026;operations.loss;ar-EG;الهالك %
x14-en-026;operations.loss;en-US;Loss %
x14-ar-027;operations.reference;ar-EG;رقم المرجع
x14-en-027;operations.reference;en-US;Reference
x14-ar-028;operations.noMovements;ar-EG;لا توجد حركات مخزون بعد.
x14-en-028;operations.noMovements;en-US;No stock movements yet.
x14-ar-029;operations.partnerBalances;ar-EG;أرصدة جهات التعامل
x14-en-029;operations.partnerBalances;en-US;Partner balances
x14-ar-030;operations.partyType;ar-EG;نوع الجهة
x14-en-030;operations.partyType;en-US;Party type
x14-ar-031;operations.financialBalance;ar-EG;الرصيد المالي
x14-en-031;operations.financialBalance;en-US;Financial balance
x14-ar-032;operations.noBalances;ar-EG;لا توجد أرصدة بعد.
x14-en-032;operations.noBalances;en-US;No balances yet.
x14-ar-033;operations.employeeAdvances;ar-EG;سُلف الموظفين
x14-en-033;operations.employeeAdvances;en-US;Employee advances
x14-ar-034;operations.employee;ar-EG;الموظف
x14-en-034;operations.employee;en-US;Employee
x14-ar-035;operations.entry;ar-EG;نوع الحركة
x14-en-035;operations.entry;en-US;Entry type
x14-ar-036;operations.amount;ar-EG;المبلغ
x14-en-036;operations.amount;en-US;Amount
x14-ar-037;operations.noAdvances;ar-EG;لا توجد سُلف مسجلة.
x14-en-037;operations.noAdvances;en-US;No advances recorded.
x14-ar-038;operations.rawMaterial;ar-EG;مادة خام
x14-en-038;operations.rawMaterial;en-US;Raw material
x14-ar-039;operations.packaging;ar-EG;كرتون وتعبئة
x14-en-039;operations.packaging;en-US;Packaging
x14-ar-040;operations.productionSupply;ar-EG;مستلزم إنتاج
x14-en-040;operations.productionSupply;en-US;Production supply
x14-ar-041;operations.sortingOutput;ar-EG;ناتج فرزة
x14-en-041;operations.sortingOutput;en-US;Sorting output
x14-ar-042;operations.finishedGood;ar-EG;منتج جاهز
x14-en-042;operations.finishedGood;en-US;Finished good
x14-ar-043;operations.transactionSignHelp;ar-EG;أدخل الوارد بالموجب والمنصرف بالسالب. المبلغ الموجب يعني أن الجهة مدينة للشركة، والسالب يعني أن للشريك مستحقات أو تم دفع مبلغ له.
x14-en-043;operations.transactionSignHelp;en-US;Use positive quantity for receipts and negative for issues. A positive amount is owed to the company, while a negative amount is owed or paid to the partner.
x14-ar-044;operations.quantityDelta;ar-EG;تغير الكمية (+ / -)
x14-en-044;operations.quantityDelta;en-US;Quantity change (+ / -)
x14-ar-045;operations.amountDelta;ar-EG;تغير المبلغ (+ / -)
x14-en-045;operations.amountDelta;en-US;Amount change (+ / -)
x14-ar-046;operations.lossPercentage;ar-EG;نسبة الهالك أو المكبّة %
x14-en-046;operations.lossPercentage;en-US;Loss percentage
x14-ar-047;operations.chooseEmployee;ar-EG;اختر الموظف
x14-en-047;operations.chooseEmployee;en-US;Choose employee
x14-ar-048;operations.advancePaid;ar-EG;صرف سُلفة
x14-en-048;operations.advancePaid;en-US;Advance paid
x14-ar-049;operations.advanceRepaid;ar-EG;سداد من السُلفة
x14-en-049;operations.advanceRepaid;en-US;Advance repayment
x14-ar-050;common.code;ar-EG;الكود
x14-en-050;common.code;en-US;Code
x14-ar-051;common.name;ar-EG;الاسم
x14-en-051;common.name;en-US;Name
x14-ar-052;common.save;ar-EG;حفظ
x14-en-052;common.save;en-US;Save
x14-ar-053;common.cancel;ar-EG;إلغاء
x14-en-053;common.cancel;en-US;Cancel
x14-ar-054;common.notes;ar-EG;ملاحظات
x14-en-054;common.notes;en-US;Notes
x14-ar-055;employees.employeeCodeOptionalHint;ar-EG;اختياري؛ إذا تركته فارغًا سيولد النظام كودًا من كود الفئة والرقم التالي.
x14-en-055;employees.employeeCodeOptionalHint;en-US;Optional. Leave blank to generate the category prefix and next sequence number.
