id;message_key;locale;message_value;description
v423-001;LAB_ORDER_NOT_FOUND;ar-EG;تعذر العثور على طلب الفحص المعملي أو الأشعة;
v423-002;LAB_ORDER_NOT_FOUND;en-US;Lab or imaging order was not found;
v423-003;LAB_TEST_NOT_FOUND;ar-EG;تعذر العثور على الفحص في دليل التحاليل والأشعة;
v423-004;LAB_TEST_NOT_FOUND;en-US;Test or imaging service not found in catalog;
v423-005;LAB_INVALID_STATUS_TRANSITION;ar-EG;تغيير حالة طلب التحليل غير مسموح به;
v423-006;LAB_INVALID_STATUS_TRANSITION;en-US;Invalid status transition for lab order;
v423-007;LAB_CANNOT_CANCEL_NON_ORDERED;ar-EG;يمكن إلغاء الطلبات فقط عندما تكون في حالة جديد;
v423-008;LAB_CANNOT_CANCEL_NON_ORDERED;en-US;Only orders in ORDERED status can be cancelled;
v423-009;LAB_VALIDATION_REQUIRES_RESULT;ar-EG;لا يمكن اعتماد الفحص قبل إدخال وتوثيق نتائج التحليل;
v423-010;LAB_VALIDATION_REQUIRES_RESULT;en-US;Cannot validate an order before entering test results;
v423-011;LAB_CRITICAL_VALUE;ar-EG;نتيجة فحص حرجة تتطلب مراجعة فورية من الطبيب المعالج;
v423-012;LAB_CRITICAL_VALUE;en-US;Critical laboratory or imaging result requires immediate doctor attention;
v423-013;LAB_ATTACHMENT_TOO_LARGE;ar-EG;حجم الملف المرفق يتجاوز الحد الأقصى المسموح به;
v423-014;LAB_ATTACHMENT_TOO_LARGE;en-US;Attached report file exceeds allowed size limit;
v423-015;nav.clinicLab;ar-EG;التحاليل والأشعة;
v423-016;nav.clinicLab;en-US;Laboratory & Imaging;
v423-017;nav.clinicLabHint;ar-EG;طلب التحاليل والأشعة، متابعة العينات، إدخال النتائج، واعتماد التقارير;
v423-018;nav.clinicLabHint;en-US;Order lab tests and radiology, track samples, enter results, and review reports;
v423-019;clinic.labTitle;ar-EG;طلبات وفحوصات التحاليل والأشعة;
v423-020;clinic.labTitle;en-US;Laboratory & Imaging Orders;
v423-021;clinic.labSubtitle;ar-EG;دليل الفحوصات، سحب العينات، إدخال النتائج، وتنبيهات القيم الحرجة;
v423-022;clinic.labSubtitle;en-US;Test catalog, sample collection, result entry, and critical value alerts;
v423-023;clinic.tabLabOrders;ar-EG;قائمة الطلبات والتشغيل;
v423-024;clinic.tabLabOrders;en-US;Orders & Worklist;
v423-025;clinic.tabTestCatalog;ar-EG;دليل التحاليل والأشعة;
v423-026;clinic.tabTestCatalog;en-US;Tests & Procedures;
v423-027;clinic.testCode;ar-EG;كود الفحص;
v423-028;clinic.testCode;en-US;Test Code;
v423-029;clinic.testName;ar-EG;اسم الفحص;
v423-030;clinic.testName;en-US;Test Name;
v423-031;clinic.sampleType;ar-EG;نوع العينة;
v423-032;clinic.sampleType;en-US;Sample Type;
v423-033;clinic.normalRange;ar-EG;المعدل الطبيعي;
v423-034;clinic.normalRange;en-US;Reference Range;
v423-035;clinic.orderedAt;ar-EG;تاريخ الطلب;
v423-036;clinic.orderedAt;en-US;Ordered At;
v423-037;clinic.resultValue;ar-EG;النتيجة;
v423-038;clinic.resultValue;en-US;Result;
v423-039;clinic.resultFlag;ar-EG;التقييم;
v423-040;clinic.resultFlag;en-US;Flag;
v423-041;clinic.externalLab;ar-EG;المعمل / المركز الخارجي;
v423-042;clinic.externalLab;en-US;External Center;
v423-043;clinic.orderAction;ar-EG;طلب فحص جديد;
v423-044;clinic.orderAction;en-US;New Order;
v423-045;clinic.collectAction;ar-EG;سحب العينة;
v423-046;clinic.collectAction;en-US;Collect Sample;
v423-047;clinic.sendOutAction;ar-EG;إرسال لمعمل خارجي;
v423-048;clinic.sendOutAction;en-US;Send Out;
v423-049;clinic.enterResultAction;ar-EG;إدخال النتيجة;
v423-050;clinic.enterResultAction;en-US;Enter Result;
v423-051;clinic.validateAction;ar-EG;اعتماد وتوقيع;
v423-052;clinic.validateAction;en-US;Validate & Sign;
v423-053;clinic.cancelOrderAction;ar-EG;إلغاء الطلب;
v423-054;clinic.cancelOrderAction;en-US;Cancel Order;
v423-055;clinic.criticalAlert;ar-EG;تنبيه قيمة حرجة;
v423-056;clinic.criticalAlert;en-US;Critical Value Alert;
v423-057;clinic.ackCritical;ar-EG;تأكيد استلام التنبيه;
v423-058;clinic.ackCritical;en-US;Acknowledge Alert;
v423-059;clinic.validated;ar-EG;تم الاعتماد;
v423-060;clinic.validated;en-US;Validated;
v423-061;clinic.agingSentOut;ar-EG;متأخر بالمعمل الخارجي (> ٣ أيام);
v423-062;clinic.agingSentOut;en-US;Sent out > 3 days;
v423-063;clinic.resultSuccess;ar-EG;تم تحديث نتيجة الفحص بنجاح;
v423-064;clinic.resultSuccess;en-US;Lab order updated successfully;
