id;translation_key;locale;text_value
x53-ar-001;action.collapseAll;ar-EG;غلق كل القوائم
x53-en-001;action.collapseAll;en-US;Close All
x53-ar-002;settings.procurementNumberingTitle;ar-EG;ترقيم مستندات المشتريات
x53-en-002;settings.procurementNumberingTitle;en-US;Procurement document numbering
x53-ar-003;settings.procurementNumberingAutomatic;ar-EG;ترقيم تلقائي متسلسل
x53-en-003;settings.procurementNumberingAutomatic;en-US;Automatic sequential numbering
x53-ar-004;settings.procurementNumberingHint;ar-EG;عند تفعيله ينشئ الخادم أرقام أوامر الشراء وأذون الاستلام بالتتابع ويمنع تعديلها. عند إيقافه يدخل المستخدم أرقاماً يدوية غير مكررة.
x53-en-004;settings.procurementNumberingHint;en-US;When enabled, the server generates sequential purchase-order and receipt numbers and locks them. When disabled, users enter unique manual numbers.
x53-ar-005;imports.completedWithErrors;ar-EG;مكتمل مع أخطاء
x53-en-005;imports.completedWithErrors;en-US;Completed with errors
