id;message_key;locale;message_value;description
v429-001;DENTAL_TOOTH_INVALID;ar-EG;رقم السن غير صحيح وفق الترقيم الدولي للأسنان FDI (11..48);
v429-002;DENTAL_TOOTH_INVALID;en-US;Invalid FDI tooth number (must be in adult ranges 11-18, 21-28, 31-38, 41-48);
v429-003;DENTAL_RECORD_NOT_FOUND;ar-EG;سجل حالة السن غير موجود;
v429-004;DENTAL_RECORD_NOT_FOUND;en-US;Dental tooth record not found;
v429-005;DENTAL_PLAN_NOT_FOUND;ar-EG;خطة علاج الأسنان غير مسجلة;
v429-006;DENTAL_PLAN_NOT_FOUND;en-US;Dental treatment plan not found;
v429-007;DENTAL_ITEM_NOT_FOUND;ar-EG;إجراء خطة علاج السن غير موجود;
v429-008;DENTAL_ITEM_NOT_FOUND;en-US;Treatment plan item not found;
v429-009;DENTAL_ITEM_ALREADY_DONE;ar-EG;تم إنجاز هذا الإجراء مسبقاً;
v429-010;DENTAL_ITEM_ALREADY_DONE;en-US;Treatment plan item already marked done;
v429-011;EXAM_TEMPLATE_NOT_FOUND;ar-EG;نموذج الفحص التخصصي غير موجود;
v429-012;EXAM_TEMPLATE_NOT_FOUND;en-US;Specialty examination template not found;
v429-013;EXAM_ANSWER_NOT_FOUND;ar-EG;سجل إجابات الفحص التخصصي غير موجود;
v429-014;EXAM_ANSWER_NOT_FOUND;en-US;Specialty examination answers not found;
v429-015;nav.dentalCharting;ar-EG;مخطط الأسنان والفحوصات التخصصية;
v429-016;nav.dentalCharting;en-US;Dental & Specialty Charting;
v429-017;nav.dentalChartingHint;ar-EG;مخطط الأسنان التفاعلي (Odontogram)، خطط العلاج، ونماذج الفحص التخصصية;
v429-018;nav.dentalChartingHint;en-US;Interactive 32-tooth odontogram, treatment plans, and specialty exam forms;
v429-019;clinic.dentalTitle;ar-EG;مخطط الأسنان والفحوصات التخصصية;
v429-020;clinic.dentalTitle;en-US;Dental Odontogram & Specialty Forms;
v429-021;clinic.dentalSubtitle;ar-EG;مخطط الأسنان البالغين والأطفال، تسجيل حالات الأسور والترميمات، وخطط العلاج التخصصية;
v429-022;clinic.dentalSubtitle;en-US;Adult and child odontogram charting, tooth condition logs, and specialty exam templates;
v429-023;clinic.tabOdontogram;ar-EG;مخطط الأسنان (Odontogram);
v429-024;clinic.tabOdontogram;en-US;Tooth Chart (Odontogram);
v429-025;clinic.tabTreatmentPlans;ar-EG;خطط علاج الأسنان;
v429-026;clinic.tabTreatmentPlans;en-US;Treatment Plans;
