id;translation_key;locale;text_value
v438-001;DEVICE_NOT_FOUND;ar-EG;الجهاز المسجل غير موجود
v438-002;DEVICE_NOT_FOUND;en-US;Registered device not found
v438-003;DEVICE_NOT_ACTIVE;ar-EG;الجهاز غير نشط أو تم إيقافه
v438-004;DEVICE_NOT_ACTIVE;en-US;Device is not active or has been disabled
v438-005;DEVICE_ALREADY_EXISTS;ar-EG;الجهاز مسجل بالفعل لهذا المستخدم
v438-006;DEVICE_ALREADY_EXISTS;en-US;Device identifier is already registered for this user
v438-007;DEVICE_REVOKED;ar-EG;تم إلغاء اعتماد هذا الجهاز
v438-008;DEVICE_REVOKED;en-US;This device has been revoked
v438-009;DEVICE_PUBLIC_KEY_INVALID;ar-EG;المفتاح العام للتشفير غير صالح
v438-010;DEVICE_PUBLIC_KEY_INVALID;en-US;Device public cryptographic key is invalid
v438-011;SIGNING_CHALLENGE_NOT_FOUND;ar-EG;طلب التوقيع الرقمي غير موجود
v438-012;SIGNING_CHALLENGE_NOT_FOUND;en-US;Signing challenge not found
v438-013;SIGNING_CHALLENGE_EXPIRED;ar-EG;انتهت صلاحية طلب التوقيع الرقمي
v438-014;SIGNING_CHALLENGE_EXPIRED;en-US;Signing challenge has expired
v438-015;SIGNING_CHALLENGE_ALREADY_USED;ar-EG;تم استخدام رمز التوقيع مسبقاً (محاولة إعادة غير مصرح بها)
v438-016;SIGNING_CHALLENGE_ALREADY_USED;en-US;Signing challenge nonce has already been used (replay attack prevented)
v438-017;SIGNING_PAYLOAD_TAMPERED;ar-EG;تم تعديل بيانات العملية، التوقيع الرقمي غير متطابق مع البيانات الأصلية
v438-018;SIGNING_PAYLOAD_TAMPERED;en-US;Transaction payload has been modified, signature does not match original payload
v438-019;INVALID_DEVICE_SIGNATURE;ar-EG;التوقيع الرقمي للجهاز غير صالح
v438-020;INVALID_DEVICE_SIGNATURE;en-US;Cryptographic device signature is invalid
v438-021;SIGNING_ALGORITHM_NOT_SUPPORTED;ar-EG;خوارزمية التوقيع الرقمي غير مدعومة
v438-022;SIGNING_ALGORITHM_NOT_SUPPORTED;en-US;Signing algorithm is not supported
v438-023;security.deviceManagementTitle;ar-EG;إدارة الأجهزة المعتمدة والتوقيع الرقمي
v438-024;security.deviceManagementTitle;en-US;Enrolled Devices & Cryptographic Signing
v438-025;security.enrolledDevices;ar-EG;الأجهزة المعتمدة
v438-026;security.enrolledDevices;en-US;Enrolled Devices
v438-027;security.enrollNewDevice;ar-EG;تسجيل واعتماد جهاز جديد
v438-028;security.enrollNewDevice;en-US;Enroll New Device
v438-029;security.deviceName;ar-EG;اسم الجهاز
v438-030;security.deviceName;en-US;Device Name
v438-031;security.deviceIdentifier;ar-EG;معرف الجهاز
v438-032;security.deviceIdentifier;en-US;Device Identifier
v438-033;security.deviceAlgorithm;ar-EG;خوارزمية التشفير
v438-034;security.deviceAlgorithm;en-US;Cryptographic Algorithm
v438-035;security.deviceStatus;ar-EG;الحالة
v438-036;security.deviceStatus;en-US;Status
v438-037;security.deviceEnrolledAt;ar-EG;تاريخ الاعتماد
v438-038;security.deviceEnrolledAt;en-US;Enrolled At
v438-039;security.deviceLastUsed;ar-EG;آخر استخدام
v438-040;security.deviceLastUsed;en-US;Last Used
v438-041;security.revokeDevice;ar-EG;إلغاء الاعتماد
v438-042;security.revokeDevice;en-US;Revoke Device
v438-043;security.revokeConfirmTitle;ar-EG;تأكيد إلغاء اعتماد الجهاز
v438-044;security.revokeConfirmTitle;en-US;Confirm Device Revocation
v438-045;security.revokeConfirmMessage;ar-EG;هل أنت متأكد من رغبتك في إلغاء اعتماد هذا الجهاز؟ لن يتمكن من توقيع أي عمليات حساسة بعد الآن.
v438-046;security.revokeConfirmMessage;en-US;Are you sure you want to revoke this device? It will no longer be able to sign sensitive operations.
v438-047;security.enrollSuccess;ar-EG;تم اعتماد الجهاز وتوليد المفاتيح التشفيرية بنجاح
v438-048;security.enrollSuccess;en-US;Device enrolled and cryptographic keys generated successfully
v438-049;security.revokeSuccess;ar-EG;تم إلغاء اعتماد الجهاز بنجاح
v438-050;security.revokeSuccess;en-US;Device revoked successfully
v438-051;security.signatureVerified;ar-EG;تم التحقق من التوقيع الرقمي للجهاز بنجاح
v438-052;security.signatureVerified;en-US;Device cryptographic signature verified successfully
v438-053;security.signOperation;ar-EG;توقيع العملية رقمياً
v438-054;security.signOperation;en-US;Sign Operation Cryptographically
