id;key;locale;value
v196-001;notificationsSend.searchPlaceholder;en-US;Search username or display name
v196-002;notificationsSend.searchPlaceholder;ar-EG;ابحث باسم المستخدم أو الاسم المعروض
v196-003;notificationsSend.selectAll;en-US;Select all
v196-004;notificationsSend.selectAll;ar-EG;تحديد الكل
v196-005;notificationsSend.total;en-US;Total
v196-006;notificationsSend.total;ar-EG;الإجمالي
v196-007;notificationsSend.valid;en-US;Valid
v196-008;notificationsSend.valid;ar-EG;صالح
v196-009;notificationsSend.duplicates;en-US;Duplicates
v196-010;notificationsSend.duplicates;ar-EG;المكرر
v196-011;notificationsSend.notFound;en-US;Not found
v196-012;notificationsSend.notFound;ar-EG;غير موجود
v196-013;notificationsSend.previewIssues;en-US;Preview issues
v196-014;notificationsSend.previewIssues;ar-EG;مشكلات المعاينة
v196-015;notificationsSend.titleAr;en-US;Arabic title
v196-016;notificationsSend.titleAr;ar-EG;العنوان بالعربية
v196-017;notificationsSend.titleEn;en-US;English title
v196-018;notificationsSend.titleEn;ar-EG;العنوان بالإنجليزية
v196-019;notificationsSend.messageAr;en-US;Arabic message
v196-020;notificationsSend.messageAr;ar-EG;الرسالة بالعربية
v196-021;notificationsSend.messageEn;en-US;English message
v196-022;notificationsSend.messageEn;ar-EG;الرسالة بالإنجليزية
v196-023;notificationsSend.priority;en-US;Priority
v196-024;notificationsSend.priority;ar-EG;الأولوية
v196-025;notificationsSend.deepLink;en-US;Deep link (optional and must start with /)
v196-026;notificationsSend.deepLink;ar-EG;رابط داخلي اختياري ويجب أن يبدأ بعلامة /
v196-027;notificationsSend.recipients;en-US;Recipients
v196-028;notificationsSend.recipients;ar-EG;المستلمون
v196-029;notificationsSend.reviewSend;en-US;Review and send
v196-030;notificationsSend.reviewSend;ar-EG;مراجعة وإرسال
v196-031;notificationsSend.confirmTitle;en-US;Confirm notification delivery
v196-032;notificationsSend.confirmTitle;ar-EG;تأكيد إرسال الإشعار
v196-033;notificationsSend.sending;en-US;Sending…
v196-034;notificationsSend.sending;ar-EG;جارٍ الإرسال…
v196-035;notificationsSend.confirmSend;en-US;Confirm send
v196-036;notificationsSend.confirmSend;ar-EG;تأكيد الإرسال
v196-037;notificationsSend.result;en-US;Delivery result
v196-038;notificationsSend.result;ar-EG;نتيجة الإرسال
v196-039;notificationsSend.requested;en-US;Requested
v196-040;notificationsSend.requested;ar-EG;المطلوب
v196-041;notificationsSend.created;en-US;Created
v196-042;notificationsSend.created;ar-EG;تم إنشاؤه
v196-043;notificationsSend.missing;en-US;Missing
v196-044;notificationsSend.missing;ar-EG;غير موجود
v196-045;notificationsSend.bulkId;en-US;Bulk ID
v196-046;notificationsSend.bulkId;ar-EG;معرف الدفعة
v196-049;common.clear;en-US;Clear
v196-050;common.clear;ar-EG;مسح
v196-051;common.type;en-US;Type
v196-052;common.type;ar-EG;النوع
v196-053;notificationsSend.priorityInfo;en-US;Information
v196-054;notificationsSend.priorityInfo;ar-EG;معلومات
v196-055;notificationsSend.priorityMedium;en-US;Medium
v196-056;notificationsSend.priorityMedium;ar-EG;متوسطة
v196-057;notificationsSend.priorityHigh;en-US;High
v196-058;notificationsSend.priorityHigh;ar-EG;عالية
v196-059;notificationsSend.priorityCritical;en-US;Critical
v196-060;notificationsSend.priorityCritical;ar-EG;حرجة
