id;translation_key;locale;text_value
v289-001;journal.projectDimension;ar-EG;بُعد المشروع
v289-002;journal.projectDimension;en-US;Project Dimension
v289-003;journal.wbsDimension;ar-EG;حزمة عمل WBS
v289-004;journal.wbsDimension;en-US;WBS Package
v289-005;journal.costCodeDimension;ar-EG;رمز التكلفة
v289-006;journal.costCodeDimension;en-US;Cost Code
v289-007;journal.costCenterDimension;ar-EG;مركز التكلفة
v289-008;journal.costCenterDimension;en-US;Cost Center
v289-009;journal.departmentDimension;ar-EG;القسم / الإدارة
v289-010;journal.departmentDimension;en-US;Department
v289-011;journal.sourceDrilldown;ar-EG;المستند المصدري الأصلي
v289-012;journal.sourceDrilldown;en-US;Original Source Document
v289-013;journal.subledgerReconciliation;ar-EG;مطابقة الدفاتر الفرعية مع الأستاذ العام
v289-014;journal.subledgerReconciliation;en-US;Subledger to General Ledger Reconciliation
v289-015;journal.filterProject;ar-EG;تصفية حسب المشروع
v289-016;journal.filterProject;en-US;Filter by Project
v289-017;journal.filterCostCode;ar-EG;تصفية حسب رمز التكلفة
v289-018;journal.filterCostCode;en-US;Filter by Cost Code
v289-019;journal.filterCostCenter;ar-EG;تصفية حسب مركز التكلفة
v289-020;journal.filterCostCenter;en-US;Filter by Cost Center
v289-021;journal.filterDepartment;ar-EG;تصفية حسب القسم
v289-022;journal.filterDepartment;en-US;Filter by Department
v289-023;journal.projectGlReport;ar-EG;تقرير الأستاذ العام التحليلي للمشاريع
v289-024;journal.projectGlReport;en-US;Project Analytic General Ledger Report
v289-025;journal.unposted;ar-EG;غير مرحل
v289-026;journal.unposted;en-US;Unposted
v289-027;journal.reversalSuccess;ar-EG;تم إلغاء وعكس القيد بنجاح
v289-028;journal.reversalSuccess;en-US;Journal entry reversed successfully
v289-029;journal.postedSuccess;ar-EG;تم ترحيل القيد المحاسبي بنجاح
v289-030;journal.postedSuccess;en-US;Journal entry posted successfully
v289-031;journal.dimensionSummary;ar-EG;ملخص الأبعاد التحليلية
v289-032;journal.dimensionSummary;en-US;Analytic Dimensions Summary
v289-033;journal.allProjects;ar-EG;جميع المشاريع
v289-034;journal.allProjects;en-US;All Projects
v289-035;journal.allCostCenters;ar-EG;جميع مراكز التكلفة
v289-036;journal.allCostCenters;en-US;All Cost Centers
v289-037;journal.allDepartments;ar-EG;جميع الأقسام
v289-038;journal.allDepartments;en-US;All Departments
v289-039;journal.selectCostCode;ar-EG;اختر رمز التكلفة
v289-040;journal.selectCostCode;en-US;Select Cost Code
