id;key;locale;value
v199-001;workforce.dispatch.title;en-US;Dispatch & disputes
v199-002;workforce.dispatch.title;ar-EG;الإرسال والنزاعات
v199-003;workforce.dispatch.hint;en-US;Manage labor dispatches, worker assignments, and settlement disputes
v199-004;workforce.dispatch.hint;ar-EG;إدارة إرسال العمال والتكليفات ونزاعات التسوية
v199-005;workforce.dispatch.eyebrow;en-US;Workforce fulfilment
v199-006;workforce.dispatch.eyebrow;ar-EG;تنفيذ طلبات العمالة
v199-007;workforce.dispatch.list;en-US;Labor dispatches
v199-008;workforce.dispatch.list;ar-EG;إرسالات العمالة
v199-009;workforce.dispatch.request;en-US;Labor request
v199-010;workforce.dispatch.request;ar-EG;طلب العمالة
v199-011;workforce.dispatch.contractor;en-US;Contractor
v199-012;workforce.dispatch.contractor;ar-EG;المقاول
v199-013;workforce.dispatch.date;en-US;Dispatch date
v199-014;workforce.dispatch.date;ar-EG;تاريخ الإرسال
v199-015;workforce.dispatch.create;en-US;Create draft
v199-016;workforce.dispatch.create;ar-EG;إنشاء مسودة
v199-017;workforce.dispatch.send;en-US;Dispatch
v199-018;workforce.dispatch.send;ar-EG;إرسال
v199-019;workforce.dispatch.empty;en-US;No labor dispatches yet
v199-020;workforce.dispatch.empty;ar-EG;لا توجد إرسالات عمالة بعد
v199-021;workforce.dispatch.created;en-US;Dispatch draft created
v199-022;workforce.dispatch.created;ar-EG;تم إنشاء مسودة الإرسال
v199-023;workforce.dispatch.dispatched;en-US;Dispatch sent
v199-024;workforce.dispatch.dispatched;ar-EG;تم إرسال العمالة
v199-025;workforce.dispatch.accepted;en-US;Dispatch accepted
v199-026;workforce.dispatch.accepted;ar-EG;تم قبول الإرسال
v199-027;workforce.dispatch.cancelled;en-US;Dispatch cancelled
v199-028;workforce.dispatch.cancelled;ar-EG;تم إلغاء الإرسال
v199-029;workforce.dispatch.status.DRAFT;en-US;Draft
v199-030;workforce.dispatch.status.DRAFT;ar-EG;مسودة
v199-031;workforce.dispatch.status.DISPATCHED;en-US;Dispatched
v199-032;workforce.dispatch.status.DISPATCHED;ar-EG;تم الإرسال
v199-033;workforce.dispatch.status.ACCEPTED;en-US;Accepted
v199-034;workforce.dispatch.status.ACCEPTED;ar-EG;مقبول
v199-035;workforce.dispatch.status.CANCELLED;en-US;Cancelled
v199-036;workforce.dispatch.status.CANCELLED;ar-EG;ملغي
v199-037;workforce.assignment.title;en-US;Worker assignments
