id;translation_key;locale;text_value
epg-ar-001;errors.forbiddenTitle;ar-EG;غير مصرح بالوصول
epg-en-001;errors.forbiddenTitle;en-US;Access denied
epg-ar-002;errors.forbiddenDetail;ar-EG;ليس لديك الصلاحية للوصول إلى هذه الصفحة.
epg-en-002;errors.forbiddenDetail;en-US;You do not have permission to access this page.
epg-ar-003;errors.notFoundTitle;ar-EG;الصفحة غير موجودة
epg-en-003;errors.notFoundTitle;en-US;Page not found
epg-ar-004;errors.notFoundDetail;ar-EG;الصفحة التي تبحث عنها غير موجودة أو تم نقلها.
epg-en-004;errors.notFoundDetail;en-US;The page you are looking for does not exist or has been moved.
epg-ar-005;errors.backHome;ar-EG;العودة إلى الرئيسية
epg-en-005;errors.backHome;en-US;Back to home
