id;translation_key;locale;text_value
v220-001;BUDGET_REVISION_REQUIRED;en-US;Change the approved budget amount through a revision.
v220-002;BUDGET_REVISION_REQUIRED;ar-EG;يجب تغيير مبلغ الميزانية المعتمد من خلال مراجعة.
v220-003;BUDGET_REVISION_AMOUNT_INVALID;en-US;Budget revision amount must be zero or greater.
v220-004;BUDGET_REVISION_AMOUNT_INVALID;ar-EG;يجب أن يكون مبلغ مراجعة الميزانية صفراً أو أكبر.
v220-005;BUDGET_REVISION_REASON_REQUIRED;en-US;A reason is required for the budget revision.
v220-006;BUDGET_REVISION_REASON_REQUIRED;ar-EG;سبب مراجعة الميزانية مطلوب.
v220-007;BUDGET_REVISION_PENDING;en-US;A budget revision is already pending approval.
v220-008;BUDGET_REVISION_PENDING;ar-EG;توجد مراجعة ميزانية قيد الاعتماد بالفعل.
v220-009;BUDGET_REVISION_SOD;en-US;The requester cannot approve the same budget revision.
v220-010;BUDGET_REVISION_SOD;ar-EG;لا يمكن لمقدم الطلب اعتماد مراجعة الميزانية نفسها.
v220-011;BUDGET_REVISION_STATE_INVALID;en-US;The budget revision is not pending.
v220-012;BUDGET_REVISION_STATE_INVALID;ar-EG;مراجعة الميزانية ليست قيد الاعتماد.
v220-013;budget.revisions;en-US;Revisions
v220-014;budget.revisions;ar-EG;المراجعات
v220-015;budget.revisionApprovalRequired;en-US;Require approval for budget revisions
v220-016;budget.revisionApprovalRequired;ar-EG;طلب اعتماد مراجعات الميزانية
v220-017;budget.currentAmount;en-US;Current effective amount
v220-018;budget.currentAmount;ar-EG;المبلغ الفعلي الحالي
v220-019;budget.newAmount;en-US;New amount
v220-020;budget.newAmount;ar-EG;المبلغ الجديد
v220-021;budget.revisionReason;en-US;Revision reason
v220-022;budget.revisionReason;ar-EG;سبب المراجعة
v220-023;budget.requestRevision;en-US;Request revision
v220-024;budget.requestRevision;ar-EG;طلب مراجعة
v220-025;budget.revisionNumber;en-US;Revision
v220-026;budget.revisionNumber;ar-EG;المراجعة
v220-027;budget.previousAmount;en-US;Previous amount
v220-028;budget.previousAmount;ar-EG;المبلغ السابق
v220-029;budget.noRevisions;en-US;No budget revisions recorded.
v220-030;budget.noRevisions;ar-EG;لا توجد مراجعات مسجلة للميزانية.
v220-031;budget.revisionRequested;en-US;Budget revision submitted.
v220-032;budget.revisionRequested;ar-EG;تم تقديم مراجعة الميزانية.
v220-033;budget.revisionApproved;en-US;Budget revision approved.
v220-034;budget.revisionApproved;ar-EG;تم اعتماد مراجعة الميزانية.
v220-035;budget.revisionRejected;en-US;Budget revision rejected.
v220-036;budget.revisionRejected;ar-EG;تم رفض مراجعة الميزانية.
