id;translation_key;locale;text_value
v275-001;schedule.title;ar-EG;الجدول الزمني ومخطط جانت للمشروع
v275-002;schedule.title;en-US;Project Schedule & Gantt Chart
v275-003;schedule.subtitle;ar-EG;تخطيط المهام وحساب المسار الحرج (CPM) وإدارة خطوط الأساس وتوزيع الموارد
v275-004;schedule.subtitle;en-US;Task scheduling, Critical Path Method (CPM), baselines, and resource allocations
v275-005;schedule.createTask;ar-EG;إضافة مهمة جديدة
v275-006;schedule.createTask;en-US;Add New Task
v275-007;schedule.editTask;ar-EG;تعديل بيانات المهمة
v275-008;schedule.editTask;en-US;Edit Task Details
v275-009;schedule.deleteTask;ar-EG;حذف المهمة
v275-010;schedule.deleteTask;en-US;Delete Task
v275-011;schedule.taskCode;ar-EG;كود المهمة
v275-012;schedule.taskCode;en-US;Task Code
v275-013;schedule.taskName;ar-EG;اسم المهمة
v275-014;schedule.taskName;en-US;Task Name
v275-015;schedule.taskNameEn;ar-EG;الاسم بالإنجليزية
v275-016;schedule.taskNameEn;en-US;Name in English
v275-017;schedule.durationDays;ar-EG;المدة (أيام)
v275-018;schedule.durationDays;en-US;Duration (Days)
v275-019;schedule.duration;ar-EG;المدة
v275-020;schedule.duration;en-US;Duration
v275-021;schedule.plannedStart;ar-EG;تاريخ البداية المخطط
v275-022;schedule.plannedStart;en-US;Planned Start Date
v275-023;schedule.plannedEnd;ar-EG;تاريخ النهاية المخطط
v275-024;schedule.plannedEnd;en-US;Planned End Date
v275-025;schedule.earlyStart;ar-EG;البداية المبكرة (ES)
v275-026;schedule.earlyStart;en-US;Early Start (ES)
v275-027;schedule.earlyEnd;ar-EG;النهاية المبكرة (EF)
v275-028;schedule.earlyEnd;en-US;Early Finish (EF)
v275-029;schedule.lateStart;ar-EG;البداية المتأخرة (LS)
v275-030;schedule.lateStart;en-US;Late Start (LS)
v275-031;schedule.lateEnd;ar-EG;النهاية المتأخرة (LF)
v275-032;schedule.lateEnd;en-US;Late Finish (LF)
v275-033;schedule.freeFloat;ar-EG;السماحية الحرة (FF)
v275-034;schedule.freeFloat;en-US;Free Float (FF)
v275-035;schedule.totalFloat;ar-EG;السماحية الكلية (TF)
v275-036;schedule.totalFloat;en-US;Total Float (TF)
v275-037;schedule.isCritical;ar-EG;مهمة حرجة
v275-038;schedule.isCritical;en-US;Critical Task
v275-039;schedule.criticalPath;ar-EG;المسار الحرج
v275-040;schedule.criticalPath;en-US;Critical Path
v275-041;schedule.isMilestone;ar-EG;معلم رئيسي (Milestone)
v275-042;schedule.isMilestone;en-US;Milestone
v275-043;schedule.percentComplete;ar-EG;نسبة الإنجاز %
v275-044;schedule.percentComplete;en-US;% Complete
v275-045;schedule.dependencies;ar-EG;العلاقات والاعتماديات
v275-046;schedule.dependencies;en-US;Dependencies
v275-047;schedule.addDependency;ar-EG;إضافة علاقة اعتمادية
v275-048;schedule.addDependency;en-US;Add Dependency
v275-049;schedule.predecessor;ar-EG;المهمة السابقة
v275-050;schedule.predecessor;en-US;Predecessor
v275-051;schedule.successor;ar-EG;المهمة اللاحقة
v275-052;schedule.successor;en-US;Successor
v275-053;schedule.dependencyType;ar-EG;نوع العلاقة
v275-054;schedule.dependencyType;en-US;Dependency Type
v275-055;schedule.lagDays;ar-EG;فترة الإبطاء/التقديم (أيام)
v275-056;schedule.lagDays;en-US;Lag (Days)
v275-057;schedule.depFS;ar-EG;نهاية إلى بداية (FS)
v275-058;schedule.depFS;en-US;Finish-to-Start (FS)
v275-059;schedule.depSS;ar-EG;بداية إلى بداية (SS)
v275-060;schedule.depSS;en-US;Start-to-Start (SS)
v275-061;schedule.depFF;ar-EG;نهاية إلى نهاية (FF)
v275-062;schedule.depFF;en-US;Finish-to-Finish (FF)
v275-063;schedule.depSF;ar-EG;بداية إلى نهاية (SF)
v275-064;schedule.depSF;en-US;Start-to-Finish (SF)
v275-065;schedule.constraints;ar-EG;القيود الزمنية
v275-066;schedule.constraints;en-US;Constraints
