id;translation_key;locale;text_value
v81-001-ar;reports.previewHead;ar-EG;معاينة التوليد
v81-001-en;reports.previewHead;en-US;Generation preview
v81-002-ar;reports.previewCategories;ar-EG;الفئات
v81-002-en;reports.previewCategories;en-US;Categories
v81-003-ar;reports.previewEmployees;ar-EG;الموظفين
v81-003-en;reports.previewEmployees;en-US;Employees
v81-004-ar;reports.previewWorkdays;ar-EG;أيام العمل
v81-004-en;reports.previewWorkdays;en-US;Workdays
v81-005-ar;reports.previewCoverage;ar-EG;تغطية الجداول
v81-005-en;reports.previewCoverage;en-US;Schedule coverage
v81-006-ar;reports.previewTotalRecords;ar-EG;إجمالي السجلات
v81-006-en;reports.previewTotalRecords;en-US;Total records
v81-007-ar;reports.previewNoActiveCategories;ar-EG;لا توجد فئات نشطة تستخدم دورة الدفع المحددة — لن يمكن توليد التقرير.
v81-007-en;reports.previewNoActiveCategories;en-US;No active categories use the selected pay cycle — the report cannot be generated.
v81-008-ar;reports.previewCoverageWarning;ar-EG;{count} سجل يومي لا تغطيه جداول المواعيد ضمن الفترة (حالة «بدون جدول»).
v81-008-en;reports.previewCoverageWarning;en-US;{count} daily records are not covered by schedule rules in the period (status «Missing schedule»).
v81-009-ar;reports.previewCoverageOk;ar-EG;المواعيد تغطي كامل الفترة المحددة لجميع الفئات.
v81-009-en;reports.previewCoverageOk;en-US;Schedules cover the entire selected period for all categories.
v81-010-ar;reports.previewExistingReport;ar-EG;تقرير مولد مسبقًا لهذه الفترة — إعادة التوليد ستفتح نفس التقرير.
v81-010-en;reports.previewExistingReport;en-US;A report already exists for this period — regenerating opens the same report.
v81-011-ar;reports.previewOverlapWarning;ar-EG;الفترة تتداخل مع تقرير موجود — التوليد سيفشل.
v81-011-en;reports.previewOverlapWarning;en-US;The period overlaps an existing report — generation will fail.
v81-012-ar;review.anomalyHeading;ar-EG;حالات شذوذ البصمة اليومية
v81-012-en;review.anomalyHeading;en-US;Daily punch anomalies
v81-013-ar;review.anomalyHint;ar-EG;يكشف الخادم الأيام التي تتجاوز نسبة الغياب عن البصمة المضبوطة، ولا يطبق أي قرار تلقائياً.
v81-013-en;review.anomalyHint;en-US;The server detects days whose punch absence ratio exceeds the configured threshold, and never applies a decision automatically.
v81-014-ar;review.anomalyDetect;ar-EG;فحص الأيام غير الطبيعية
v81-014-en;review.anomalyDetect;en-US;Detect abnormal days
v81-015-ar;review.anomalyDetectRunning;ar-EG;جارٍ الفحص...
v81-015-en;review.anomalyDetectRunning;en-US;Scanning...
v81-016-ar;review.anomalyAffectedOf;ar-EG;{affected} من {total} موظف
v81-016-en;review.anomalyAffectedOf;en-US;{affected} of {total} employees
v81-017-ar;review.anomalyAbsenceRate;ar-EG;{rate}% بلا بصمة · الحد {threshold}%
v81-017-en;review.anomalyAbsenceRate;en-US;{rate}% no punch · {threshold}% threshold
v81-018-ar;review.anomalyExplain;ar-EG;سيشمل القرار {count} سجلاً في هذا التاريخ والفئة فقط. إجمالي وقت الأجر المتوقع المتأثر
v81-018-en;review.anomalyExplain;en-US;The decision will cover {count} records on this date and category only. The total expected paid time affected is
v81-019-ar;review.anomalyExplainTail;ar-EG;قبل التنفيذ.
v81-019-en;review.anomalyExplainTail;en-US;before applying.
